#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
294,Bryce Eldridge,SFG,100,357,396,85,51,17,1,17,46,53,33,4,118,3,3,0,2,0,2,0.239,0.306,0.431,0.737,0.305,29.90%,8.40%
295,Edgar Quero,CHW,109,378,422,95,69,17,1,8,43,42,35,1,74,5,4,1,1,0,1,0.252,0.321,0.366,0.687,0.292,17.60%,8.20%
296,Vaughn Grissom,LAA,83,298,327,74,54,13,1,5,33,29,22,0,66,4,2,0,6,2,4,0.247,0.306,0.35,0.657,0.298,20.10%,6.70%
297,Austin Hays,CHW,111,408,446,98,63,20,1,13,47,49,28,1,106,5,3,1,3,1,2,0.24,0.296,0.392,0.688,0.291,23.80%,6.40%
298,Tommy Pham,,82,297,332,72,48,14,1,9,39,36,30,1,76,2,2,0,5,2,3,0.241,0.313,0.386,0.7,0.291,22.80%,9.00%
299,Javier Baez,DET,83,291,313,67,45,14,0,8,32,34,12,0,77,4,2,0,4,2,2,0.231,0.27,0.363,0.633,0.284,24.60%,3.90%
300,Luke Raley,SEA,71,234,267,51,32,10,1,9,31,29,20,0,81,9,1,2,5,1,4,0.219,0.304,0.383,0.687,0.29,30.40%,7.60%
301,Ramon Urias,STL,57,196,216,47,31,9,1,6,24,24,16,0,48,3,1,0,1,1,0,0.239,0.302,0.386,0.688,0.283,22.30%,7.20%
302,Rhys Hoskins,CLE,95,332,382,72,41,14,0,16,44,49,42,1,100,5,3,0,2,1,1,0.216,0.311,0.404,0.715,0.256,26.30%,10.90%
303,Tom Murphy,,23,78,87,18,11,3,0,3,10,11,7,0,26,1,1,0,0,0,0,0.226,0.295,0.396,0.691,0.29,29.60%,8.30%
304,Mike Tauchman,NYM,74,261,301,61,41,12,0,8,34,31,34,0,68,3,2,1,2,1,1,0.232,0.326,0.369,0.695,0.282,22.50%,11.50%
305,Michael Massey,KCR,80,291,314,68,44,15,1,9,32,38,16,1,59,3,3,1,2,1,1,0.236,0.28,0.388,0.668,0.262,18.70%,5.10%
306,Darell Hernaiz,ATH,49,171,187,44,32,9,1,2,21,16,12,0,28,1,1,1,4,1,3,0.258,0.309,0.358,0.667,0.294,15.20%,6.50%
307,Noelvi Marte,CIN,122,469,508,117,75,23,2,17,61,58,30,1,117,5,3,1,14,4,10,0.249,0.299,0.413,0.713,0.295,23.00%,6.00%
308,Nathan Lukes,TOR,105,365,405,93,68,16,2,7,44,37,30,1,64,3,3,4,4,1,3,0.253,0.313,0.36,0.673,0.289,15.90%,7.50%
309,Gavin Sheets,SDP,118,429,475,102,65,22,0,14,52,54,39,1,94,4,3,0,2,1,1,0.238,0.304,0.391,0.695,0.271,19.80%,8.10%
310,Cesar Salazar,HOU,50,126,142,26,18,5,0,2,13,12,10,0,29,4,1,1,1,0,1,0.204,0.281,0.297,0.578,0.246,20.50%,7.40%
311,Keibert Ruiz,WSN,87,312,336,71,51,14,0,6,27,35,17,0,38,4,3,0,1,1,0,0.229,0.274,0.333,0.607,0.241,11.40%,5.00%
312,J.C. Escarra,NYY,44,132,148,27,19,6,0,3,14,13,12,0,28,2,1,0,1,0,1,0.208,0.281,0.315,0.597,0.241,18.70%,8.20%
313,Max Kepler,,40,144,162,34,21,7,0,6,18,20,14,1,33,2,1,0,1,0,1,0.236,0.309,0.413,0.722,0.263,20.40%,8.90%
314,Spencer Steer,CIN,109,395,447,92,58,19,2,14,52,48,42,0,96,6,3,1,8,3,5,0.232,0.312,0.39,0.702,0.269,21.40%,9.40%
315,Brady House,WSN,121,452,481,107,75,20,1,10,44,51,21,1,135,4,3,1,5,2,3,0.236,0.275,0.356,0.631,0.312,28.10%,4.40%
316,Travis Bazzana,CLE,51,184,208,39,26,8,1,5,22,19,20,0,58,2,1,1,3,1,2,0.214,0.298,0.344,0.641,0.285,28.10%,9.60%
317,Dane Myers,CIN,63,212,231,52,36,9,1,6,26,23,15,0,58,3,1,0,7,2,5,0.244,0.298,0.378,0.676,0.304,24.90%,6.30%
318,Josh Lowe,LAA,114,423,466,97,62,20,3,12,56,43,37,2,127,2,3,1,21,5,16,0.229,0.293,0.376,0.669,0.296,27.30%,8.00%
319,Jimmy Crooks,STL,28,90,100,22,15,4,0,2,10,10,7,0,25,1,1,0,0,0,0,0.239,0.302,0.364,0.666,0.304,24.80%,7.10%
320,Randal Grichuk,,62,208,226,51,30,10,0,10,26,31,14,0,47,2,2,0,1,0,1,0.245,0.298,0.441,0.739,0.27,20.90%,6.20%
321,Jake Fraley,TBR,95,313,349,74,51,14,2,7,40,33,30,1,74,3,2,0,12,3,9,0.235,0.308,0.359,0.667,0.284,21.10%,8.60%
322,TJ Friedl,CIN,131,490,567,113,81,19,2,12,63,48,56,0,94,11,4,6,11,3,8,0.231,0.322,0.35,0.673,0.261,16.50%,9.90%
323,Walker Jenkins,MIN,29,104,116,26,17,5,1,3,13,11,9,0,25,1,1,0,2,0,2,0.247,0.314,0.381,0.696,0.299,21.40%,8.10%
324,Jose Fermin,STL,67,199,224,48,35,9,1,3,24,18,19,1,29,4,2,2,7,2,5,0.242,0.317,0.341,0.658,0.267,12.90%,8.50%
325,Max Muncy,ATH,88,312,340,72,46,15,1,10,38,35,20,1,102,4,2,2,4,1,3,0.229,0.283,0.378,0.662,0.304,29.90%,5.90%
326,Colby Thomas,ATH,69,245,265,57,33,13,1,10,31,30,14,0,83,4,2,1,5,1,4,0.231,0.282,0.407,0.689,0.305,31.40%,5.30%
327,Nick Castellanos,SDP,78,291,316,74,49,14,2,10,36,37,19,0,73,3,3,0,2,1,1,0.253,0.301,0.41,0.711,0.302,23.00%,5.90%
328,Alek Thomas,ARI,114,399,435,96,64,20,3,10,49,44,26,1,102,4,3,4,8,2,6,0.24,0.291,0.375,0.666,0.298,23.60%,5.90%
329,Liam Hicks,MIA,87,284,325,68,51,13,1,3,31,28,31,0,51,6,3,1,1,0,1,0.239,0.324,0.325,0.649,0.277,15.70%,9.60%
330,Ben Williamson,TBR,59,208,226,52,40,9,1,2,23,20,13,0,48,2,1,1,4,1,3,0.252,0.301,0.34,0.641,0.315,21.20%,5.80%
331,Zack Gelof,ATH,44,154,170,34,21,7,0,6,21,17,13,0,57,1,1,1,6,2,4,0.219,0.283,0.379,0.662,0.304,33.70%,7.70%
332,Leo Rivas,SEA,45,125,146,27,20,5,0,2,16,10,17,0,36,1,1,2,6,1,5,0.216,0.313,0.306,0.619,0.286,24.70%,11.60%
333,Elias Diaz,KCR,39,125,137,27,18,5,0,4,13,15,9,0,34,1,1,1,0,0,0,0.215,0.272,0.352,0.624,0.259,24.60%,6.60%
334,Ezequiel Duran,TEX,80,266,286,61,42,12,1,6,31,25,14,0,70,3,2,1,8,2,6,0.228,0.273,0.347,0.621,0.287,24.50%,4.90%
335,Alex Call,LAD,48,155,178,36,25,7,1,4,22,16,18,0,33,2,1,2,3,1,2,0.234,0.319,0.354,0.674,0.274,18.60%,9.90%
336,Andrew McCutchen,,70,257,294,60,37,12,0,10,34,34,32,0,68,2,2,0,2,1,1,0.232,0.321,0.395,0.715,0.276,23.20%,10.90%
337,Andy Ibanez,ATH,53,163,177,39,27,8,0,4,19,18,11,0,35,2,1,0,2,1,1,0.242,0.295,0.376,0.671,0.282,19.80%,6.30%
338,Blake Perkins,MIL,60,203,227,44,30,8,2,4,24,19,21,0,63,1,1,1,8,2,6,0.216,0.291,0.327,0.618,0.29,27.60%,9.10%
339,Derek Hill,CHW,37,123,133,29,20,5,1,4,15,12,7,0,39,1,1,1,4,1,3,0.236,0.284,0.374,0.658,0.313,29.20%,5.50%
340,Andrew Knizner,SEA,38,119,131,25,18,4,0,2,11,11,9,0,28,2,1,1,0,0,0,0.208,0.276,0.3,0.576,0.254,21.60%,6.90%
341,Jose Iglesias,,48,163,179,42,33,7,1,2,19,16,8,0,30,3,1,1,2,1,1,0.259,0.304,0.344,0.649,0.307,17.00%,4.70%
342,Rafael Marchan,PHI,47,150,166,33,24,7,0,2,15,15,12,0,28,2,1,1,1,0,1,0.223,0.287,0.319,0.606,0.258,17.10%,7.20%
343,Santiago Espinal,LAD,52,172,188,43,32,7,1,3,19,17,12,0,26,1,1,2,3,1,2,0.25,0.301,0.348,0.648,0.277,13.60%,6.40%
344,Miguel Rojas,LAD,57,182,202,44,33,8,0,3,23,19,12,0,29,2,1,2,3,1,2,0.244,0.296,0.345,0.641,0.272,14.20%,6.10%
345,Austin Wynns,ATH,43,137,150,30,21,5,0,4,15,15,9,0,42,1,1,1,1,0,1,0.221,0.274,0.35,0.624,0.285,28.00%,6.10%
346,Sung-Mun Song,SDP,65,235,255,53,35,11,0,6,26,25,18,1,52,1,2,0,4,1,3,0.224,0.278,0.35,0.628,0.262,20.50%,6.90%
347,JJ Bleday,CIN,82,285,322,65,37,14,1,13,37,41,33,1,73,2,2,0,2,1,1,0.227,0.308,0.422,0.73,0.256,22.80%,10.20%
348,Dominic Canzone,SEA,105,371,406,86,55,17,1,14,43,51,29,2,95,3,3,0,3,1,2,0.233,0.292,0.396,0.688,0.274,23.50%,7.20%
349,Ryan Mountcastle,BAL,47,171,187,44,30,8,1,6,22,22,12,0,45,1,2,0,1,0,1,0.259,0.309,0.416,0.726,0.313,24.00%,6.40%
350,Drew Millas,WSN,35,112,122,27,20,5,0,1,11,10,8,1,21,1,1,1,3,1,2,0.238,0.293,0.326,0.62,0.281,17.30%,6.90%
351,Ryan Waldschmidt,ARI,34,123,138,30,21,6,1,3,16,14,12,0,30,2,1,0,3,1,2,0.247,0.321,0.377,0.697,0.302,21.80%,8.70%
352,Nolan Gorman,STL,121,433,487,89,52,17,1,18,51,60,47,2,160,3,3,0,4,1,3,0.205,0.285,0.377,0.662,0.272,32.80%,9.60%
353,Reese McGuire,MIL,32,106,115,23,15,4,0,3,11,13,7,0,28,1,1,1,1,0,1,0.216,0.269,0.349,0.619,0.26,23.90%,6.00%
354,CJ Kayfus,CLE,102,352,392,82,53,17,2,10,43,40,32,0,111,5,2,1,4,1,3,0.232,0.302,0.376,0.678,0.306,28.20%,8.10%
355,Jake Mangum,PIT,78,288,307,76,60,13,2,1,34,24,13,0,52,3,2,1,12,3,9,0.265,0.302,0.337,0.639,0.318,16.90%,4.30%
