#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
1,Freddie Freeman,LAD,155,632.8106509,730,160.90236687,0.2603550295890411,0.7382550332275295,0.25503355704614566,0.013422818793865018,0.03994082839726028,0.14644970410958905,0.14053254438356166,0.11538461538356165,0.013313609467123287,0.15236686397260274,0.01035502958630137,0.007396449704109589,0.0,0.013313609467123287,0.004437869821917809,0.00887573964520548,0.301,0.386094675,0.511945392,0.898040067,0.323210412,15.23668639,11.53846154,637,730,182,0.28904109589041094,0.6648351648351648,0.3241758241758242,0.01098901098901099,0.03972602739726028,0.17945205479452056,0.13972602739726028,0.09863013698630137,0.01643835616438356,0.16575342465753426,0.021917808219178082,0.00684931506849315,0.0,0.031506849315068496,0.0013698630136986301,0.030136986301369864,0.331,0.41,0.567,0.976,0.37,16.6,9.9,,,,,,,,,
2,Marcus Semien,TEX,154,676.0266667,753,136.09777775999999,0.21925925922974768,0.7049180328952934,0.2704918032895294,0.024590163940087544,0.0385185185126162,0.12592592592297477,0.11851851851261619,0.08592592592297477,0.0,0.2088888888446215,0.004444444444887118,0.007407407407702523,0.001481481482071713,0.023703703705179286,0.007407407407702523,0.016296296294820718,0.244,0.311011905,0.437293729,0.748305634,0.274774775,20.88888889,8.592592593,670,753,156,0.2456839309428951,0.717948717948718,0.2564102564102564,0.02564102564102564,0.03851261620185923,0.16201859229747675,0.13280212483399734,0.09561752988047809,0.0013280212483399733,0.1460823373173971,0.006640106241699867,0.006640106241699867,0.0,0.01859229747675963,0.00398406374501992,0.014608233731739707,0.276,0.348,0.478,0.826,0.291,14.6,9.6,,,,,,,,,
3,Juan Soto,SDP,152,562.3603604,708,124.37837841,0.22072072076271185,0.7521367519491525,0.2393162392894394,0.017094017088657106,0.04504504504237288,0.15465465466101697,0.13663663663841807,0.19219219223163844,0.013513513514124293,0.15015015014124294,0.006006006005649717,0.006006006005649717,0.0,0.013513513514124293,0.004504504504237288,0.009009009008474575,0.278,0.419548872,0.510396975,0.929945848,0.290322581,15.01501502,19.21921922,568,708,121,0.22033898305084745,0.7272727272727273,0.2644628099173554,0.008264462809917356,0.04943502824858757,0.1370056497175141,0.153954802259887,0.1864406779661017,0.015536723163841809,0.18220338983050846,0.002824858757062147,0.007062146892655367,0.0014124293785310734,0.01694915254237288,0.007062146892655367,0.009887005649717515,0.275,0.41,0.519,0.93,0.296,18.2,18.6,,,,,,,,,
4,Trea Turner,PHI,152,631.7714286,691,160.02105267,0.26315789479015916,0.7337662335101799,0.22727272720171393,0.03246753246095866,0.031578947366136034,0.14586466164978293,0.1203007518813314,0.06917293232995658,0.0015037593979739508,0.1774436089725036,0.007518796992764111,0.0060150375933429815,0.0015037593979739508,0.04210526315484805,0.009022556390738061,0.033082706772793055,0.288,0.340874811,0.463815789,0.804690601,0.325581395,17.7443609,6.917293233,639,691,144,0.2460202604920405,0.7222222222222222,0.24305555555555555,0.034722222222222224,0.03762662807525326,0.1476121562952243,0.10998552821997105,0.06512301013024602,0.002894356005788712,0.2170767004341534,0.008683068017366137,0.001447178002894356,0.0,0.04341534008683068,0.0,0.04341534008683068,0.266,0.32,0.459,0.778,0.31,21.7,6.5,,,,,,,,,
5,Matt Olson,ATL,154,624.0,720,118.90909091,0.21666666666666667,0.7339449540998934,0.24770642197822854,0.01834862385459978,0.051515151513888885,0.1363636363611111,0.14393939388888888,0.112121212125,0.009090909090277778,0.21818181819444446,0.01363636363611111,0.0060606060611111115,0.0,0.0030303030305555557,0.0015151515152777779,0.0015151515152777779,0.25,0.342943854,0.482517483,0.825461337,0.273869347,21.81818182,11.21212121,608,720,118,0.2388888888888889,0.7457627118644068,0.2288135593220339,0.025423728813559324,0.075,0.1763888888888889,0.19305555555555556,0.14444444444444443,0.011111111111111112,0.23194444444444445,0.005555555555555556,0.005555555555555556,0.0,0.001388888888888889,0.0,0.001388888888888889,0.283,0.389,0.604,0.993,0.302,23.2,14.4,,,,,,,,,
6,Vladimir Guerrero Jr.,TOR,152,601.2776935,682,139.71168437,0.26100151744868033,0.7407407409528177,0.2518518518237517,0.0074074074095281765,0.05614567526392962,0.15022761759530792,0.15933232170087977,0.10166919574780059,0.01062215478005865,0.15477996964809385,0.01062215478005865,0.006069802731671554,0.0015174506832844573,0.009104704096774193,0.003034901365102639,0.006069802731671554,0.297,0.373292868,0.549053356,0.922346224,0.302690583,15.47799697,10.16691958,602,682,133,0.23313782991202345,0.7744360902255639,0.22556390977443608,0.0,0.03812316715542522,0.11436950146627566,0.1378299120234604,0.09824046920821114,0.007331378299120235,0.1466275659824047,0.013196480938416423,0.005865102639296188,0.0,0.007331378299120235,0.004398826979472141,0.002932551319648094,0.264,0.345,0.444,0.788,0.277,14.7,9.8,,,,,,,,,
7,Bo Bichette,TOR,151,554.4179331,601,135.17933128,0.25835866256239604,0.756756756608805,0.216216216290192,0.020270270277667847,0.033434650449251244,0.1352583586688852,0.12310030394342761,0.06382978723793677,0.0015197568386023294,0.20364741647254575,0.006079027356073212,0.006079027356073212,0.0015197568386023294,0.02431610941763727,0.00759878419467554,0.016717325224625622,0.28,0.328767123,0.449752883,0.778520006,0.325274725,20.36474164,6.382978723,571,601,155,0.2911813643926789,0.7870967741935484,0.1935483870967742,0.01935483870967742,0.033277870216306155,0.11480865224625623,0.12146422628951747,0.04492512479201331,0.0,0.1913477537437604,0.0033277870216306157,0.0016638935108153079,0.0,0.008319467554076539,0.004991680532445923,0.0033277870216306157,0.306,0.339,0.475,0.814,0.355,19.1,4.5,,,,,,,,,
8,Pete Alonso,NYM,154,573.8721461,658,112.17047189000002,0.22070015227963527,0.7589285710902788,0.23214285703937942,0.008928571424591516,0.05022831050151976,0.12785388127659575,0.1552511414893617,0.09893455098784194,0.013698630136778116,0.2039573820668693,0.01978691019756839,0.007610350075987842,0.0015220700151975684,0.004566210045592705,0.0015220700151975684,0.003044140030395137,0.254,0.339939024,0.47469459,0.814633614,0.272506083,20.3957382,9.893455099,568,658,77,0.18693009118541035,0.7012987012987013,0.2727272727272727,0.025974025974025976,0.06990881458966565,0.1398176291793313,0.17933130699088146,0.09878419452887538,0.00911854103343465,0.22948328267477203,0.031914893617021274,0.0060790273556231,0.0,0.0060790273556231,0.001519756838905775,0.004559270516717325,0.217,0.318,0.504,0.821,0.205,22.9,9.9,,,,,,,,,
9,Francisco Lindor,NYM,151,610.4335878,687,126.91145037999999,0.21984732823871905,0.7520661157382953,0.2314049586705228,0.01652892562269999,0.03511450381368268,0.12519083969432315,0.12366412213973799,0.08854961832605532,0.004580152671033479,0.18625954192139738,0.010687022901018924,0.007633587786026201,0.001526717557496361,0.01984732823871907,0.00610687022852984,0.013740458014556041,0.248,0.320552147,0.420962199,0.741514347,0.273755656,18.6259542,8.854961832,602,687,122,0.22270742358078602,0.7131147540983607,0.27049180327868855,0.01639344262295082,0.04512372634643377,0.1572052401746725,0.14264919941775836,0.09606986899563319,0.001455604075691412,0.19941775836972345,0.017467248908296942,0.010189228529839884,0.0,0.04512372634643377,0.005822416302765648,0.039301310043668124,0.254,0.336,0.47,0.806,0.277,19.9,9.6,,,,,,,,,
10,Manny Machado,SDP,152,533.9159021,601,113.95107035999999,0.23547400615640598,0.7661290320853815,0.22580645156477847,0.008064516130447693,0.045871559633943425,0.1330275229284526,0.14220183485856905,0.09785932722129784,0.012232415901830284,0.18501529051580698,0.004587155963394343,0.007645259938435941,0.0015290519883527454,0.013761467890183027,0.0061162079517470885,0.007645259938435941,0.266,0.338437979,0.471600688,0.810038667,0.285057471,18.50152905,9.785932722,543,601,110,0.23294509151414308,0.8090909090909091,0.19090909090909092,0.0,0.04991680532445923,0.12479201331114809,0.15141430948419302,0.08319467554076539,0.0016638935108153079,0.18136439267886856,0.0033277870216306157,0.009983361064891847,0.0,0.004991680532445923,0.0033277870216306157,0.0016638935108153079,0.258,0.319,0.462,0.782,0.268,18.1,8.3,,,,,,,,,
