#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
57,Gabriel Moreno,ARI,100,327,367,91,65,16,1,9,44,45,34,2,62,3,3,0,3,2,1,0.278,0.349,0.416,0.765,0.317,16.90%,9.30%
58,Matt Olson,ATL,152,575,661,144,80,33,1,30,86,91,77,4,159,5,4,0,1,0,1,0.25,0.342,0.468,0.81,0.292,24.10%,11.60%
59,Austin Riley,ATL,124,488,539,128,75,26,2,25,72,72,40,1,138,7,4,0,2,1,1,0.262,0.325,0.477,0.802,0.313,25.60%,7.40%
60,Andy Pages,LAD,147,535,589,138,82,29,2,25,73,84,37,0,129,10,6,1,9,4,5,0.258,0.315,0.46,0.774,0.292,21.90%,6.30%
61,Jackson Chourio,MIL,150,585,630,160,95,39,4,22,91,94,36,2,128,3,5,1,23,7,16,0.274,0.316,0.467,0.783,0.314,20.30%,5.70%
62,Ian Happ,CHC,149,548,638,134,78,33,1,22,82,79,81,2,151,5,4,0,8,2,6,0.245,0.345,0.429,0.774,0.296,23.70%,12.70%
63,Gleyber Torres,DET,148,548,631,143,99,25,1,18,79,72,72,1,108,4,6,1,6,3,3,0.261,0.348,0.409,0.756,0.292,17.10%,11.40%
64,Masyn Winn,STL,139,545,597,136,95,27,2,12,79,61,41,0,110,5,4,2,12,4,8,0.25,0.306,0.372,0.678,0.29,18.40%,6.90%
65,Seiya Suzuki,CHC,142,525,601,136,79,27,4,26,74,86,67,2,150,3,6,0,7,3,4,0.259,0.343,0.474,0.817,0.31,25.00%,11.10%
66,Dillon Dingler,DET,110,393,432,96,61,20,2,13,48,61,29,1,110,8,2,0,1,1,0,0.244,0.308,0.405,0.712,0.305,25.50%,6.70%
67,Bryce Harper,PHI,127,478,551,131,76,31,0,24,73,78,65,7,119,4,4,0,10,3,7,0.274,0.363,0.49,0.853,0.316,21.60%,11.80%
68,Carter Jensen,KCR,138,521,585,126,82,22,5,17,68,69,57,1,159,2,4,1,7,1,6,0.242,0.317,0.401,0.718,0.312,27.20%,9.70%
