#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
215,Emerson Hancock,SEA,4,4,4.24,48,6,0,1,,77.1,334,78,39,36,11,24,1,4,62,7.24,2.75,1.32,18.6%,7.1%
216,Matt Gage,SFG,3,3,3.81,56,0,0,10,,56.0,241,55,26,24,6,20,2,2,49,7.93,3.25,1.34,20.5%,8.4%
217,Ty Madden,DET,2,2,4.18,25,2,0,1,,32.1,138,31,16,15,4,12,1,1,29,8.13,3.23,1.32,21.1%,8.4%
218,Jalen Beeks,,2,2,3.88,40,0,0,0,,40.0,171,38,19,17,5,15,1,2,37,8.34,3.41,1.33,21.7%,8.8%
219,Huascar Brazoban,NYM,3,2,3.91,52,0,0,7,,52.0,223,47,25,23,6,23,1,3,50,8.60,3.93,1.35,22.3%,10.2%
220,Luis Perales,WSN,2,2,4.32,23,3,0,1,,38.1,167,36,20,18,5,17,1,2,36,8.36,3.97,1.38,21.4%,10.2%
221,Jesse Scholtens,TBR,2,2,3.92,34,0,0,1,,34.0,143,33,16,15,5,10,1,1,31,8.23,2.53,1.25,21.7%,6.7%
222,Chase Petty,CIN,2,3,4.70,33,3,0,1,,48.0,210,50,27,25,7,20,1,2,38,7.18,3.66,1.44,18.2%,9.3%
223,Shane Drohan,MIL,2,2,3.78,34,0,0,1,,34.0,144,30,15,14,4,13,1,1,36,9.46,3.55,1.28,24.8%,9.3%
224,Blade Tidwell,SFG,2,2,4.25,27,3,0,1,,42.0,182,41,21,20,6,16,1,2,37,7.95,3.34,1.34,20.5%,8.6%
225,Cole Sulser,TBR,3,3,4.07,55,0,0,10,,55.0,236,53,27,25,7,20,1,2,50,8.16,3.32,1.33,21.2%,8.6%
226,Erik Sabrowski,CLE,3,3,3.92,61,0,0,14,,61.0,265,51,29,27,7,33,2,3,70,10.38,4.93,1.38,26.6%,12.6%
227,Austin Gomber,TEX,1,1,4.43,18,2,0,1,,25.0,106,26,13,12,4,6,1,1,20,7.13,2.13,1.29,18.6%,5.6%
228,Ryan Thompson,ARI,3,3,4.08,64,0,1,16,,64.0,274,66,32,29,6,21,2,3,52,7.30,2.96,1.36,18.9%,7.7%
229,Yohan Ramirez,PIT,3,3,4.00,56,0,0,10,,56.0,243,53,27,25,6,23,1,5,54,8.70,3.66,1.35,22.2%,9.3%
230,Trevor Williams,WSN,1,2,4.28,23,2,0,1,,29.2,126,31,15,14,4,8,1,1,25,7.48,2.29,1.28,19.5%,6.0%
231,Nate Pearson,HOU,3,3,4.32,54,0,0,10,,54.0,233,50,28,26,8,23,1,2,54,9.02,3.85,1.35,23.3%,9.9%
232,Chris Murphy,CHW,2,2,4.03,42,0,0,1,,42.0,182,39,20,19,5,19,1,2,39,8.40,4.05,1.39,21.5%,10.4%
233,Adbert Alzolay,NYM,2,2,3.90,42,0,0,1,,42.0,178,39,20,18,6,14,2,2,41,8.81,2.97,1.26,23.1%,7.8%
234,Tyler Uberstine,BOS,1,2,4.38,20,2,0,1,,27.1,117,27,14,13,4,9,1,1,25,8.12,2.87,1.31,21.1%,7.4%
235,Joe Jimenez,ATL,1,1,3.78,18,0,0,1,,18.0,75,16,8,8,2,6,0,1,20,10.03,3.00,1.22,26.6%,8.0%
236,Carlos Rodriguez,MIL,2,3,4.30,42,2,0,1,,49.0,211,46,25,23,7,19,1,2,46,8.42,3.43,1.32,21.8%,8.9%
237,DL Hall,MIL,3,3,3.90,52,0,0,6,,52.0,223,47,24,23,6,22,1,2,52,8.96,3.79,1.33,23.2%,9.8%
238,Richard Lovelady,WSN,2,3,3.94,52,0,0,7,,52.0,223,51,25,23,6,19,1,3,45,7.78,3.29,1.34,20.2%,8.5%
239,Bailey Falter,KCR,4,4,4.65,53,5,0,4,,74.0,318,78,41,38,12,23,1,2,58,7.08,2.80,1.36,18.3%,7.2%
240,Porter Hodge,CHC,3,2,3.87,50,0,0,5,,50.0,215,43,23,21,6,25,1,2,54,9.76,4.47,1.36,25.2%,11.5%
241,Brandon Young,BAL,1,1,4.21,21,2,0,1,,28.0,119,28,14,13,4,8,0,1,25,8.17,2.53,1.29,21.3%,6.6%
242,Sean Guenther,DET,1,1,3.78,18,0,0,1,,18.0,77,18,8,8,2,6,0,1,14,7.25,2.94,1.32,18.8%,7.6%
243,Dylan Dodd,ATL,2,2,3.89,46,0,0,4,,46.0,194,46,22,20,6,12,2,2,39,7.70,2.32,1.27,20.3%,6.1%
244,Jackson Rutledge,WSN,3,3,4.28,57,0,1,11,,57.0,245,55,29,27,8,21,1,3,50,7.92,3.32,1.33,20.5%,8.6%
245,Brennan Bernardino,COL,3,3,4.53,58,0,2,10,,58.0,257,60,31,29,7,26,3,3,53,8.23,3.97,1.48,20.7%,10.0%
246,Ryan Fernandez,STL,2,2,3.90,44,0,0,1,,44.0,189,40,21,19,5,19,1,2,44,8.97,3.94,1.34,23.3%,10.2%
247,Kyle Nicolas,PIT,2,2,4.08,42,0,0,1,,42.0,182,39,21,19,5,20,1,2,42,9.02,4.19,1.39,23.1%,10.7%
248,Dylan Ross,NYM,2,2,3.81,36,0,0,1,,36.0,155,31,17,15,4,18,1,1,38,9.41,4.38,1.36,24.3%,11.3%
249,Tyler Phillips,MIA,3,3,4.14,68,0,3,15,,68.0,292,72,34,31,8,21,2,2,51,6.70,2.82,1.37,17.3%,7.3%
250,Rob Zastryzny,MIL,2,2,4.02,50,0,0,4,,50.0,214,47,24,22,7,19,2,2,46,8.27,3.37,1.32,21.5%,8.8%
251,Griff McGarry,WSN,3,3,4.06,55,0,0,10,,55.0,240,48,27,25,6,30,1,3,59,9.58,4.84,1.41,24.4%,12.3%
252,Luinder Avila,KCR,2,2,4.07,42,0,0,1,,42.0,181,41,21,19,5,17,1,2,38,8.15,3.61,1.37,21.0%,9.3%
253,John Klein,MIN,2,2,4.36,34,2,0,1,,41.1,178,41,21,20,6,15,1,2,36,7.83,3.17,1.34,20.1%,8.1%
254,Anthony Nunez,BAL,2,2,4.03,32,0,0,1,,32.0,138,30,16,14,4,14,1,1,33,9.32,3.98,1.37,24.0%,10.2%
255,Walker Buehler,SDP,2,2,4.46,25,3,0,1,,39.1,172,40,21,20,6,15,1,2,34,7.84,3.38,1.38,20.0%,8.6%
256,Dane Dunning,SEA,1,1,3.92,14,2,0,1,,21.0,90,20,10,9,3,7,0,1,19,7.94,2.80,1.28,20.7%,7.3%
257,Mike Vasil,CHW,4,5,4.46,76,3,1,14,,91.0,396,92,49,45,12,36,3,5,73,7.21,3.54,1.40,18.4%,9.0%
258,Jose Leclerc,,2,2,4.05,37,0,0,0,,37.0,159,32,18,17,5,16,1,2,40,9.64,3.89,1.31,25.0%,10.1%
259,JT Brubaker,SFG,3,3,4.06,54,0,0,7,,54.0,233,54,26,24,7,18,2,2,48,8.01,2.99,1.33,20.6%,7.7%
260,Daniel Lynch IV,KCR,3,3,4.26,59,0,0,11,,59.0,253,61,30,28,8,18,2,3,46,7.08,2.78,1.34,18.4%,7.2%
261,Chase Lee,TOR,1,1,3.88,25,0,0,1,,25.0,106,24,12,11,3,8,1,1,24,8.62,2.93,1.27,22.6%,7.7%
262,Andrew Morris,MIN,1,1,3.91,16,0,0,1,,16.0,67,16,8,7,2,4,0,1,14,7.77,2.34,1.26,20.5%,6.2%
263,Michel Otanez,TEX,1,1,3.83,22,0,0,1,,22.0,95,18,10,9,2,12,1,1,26,10.53,4.75,1.37,27.0%,12.2%
264,Kyle Wright,CHC,1,1,3.65,14,0,0,1,,14.0,59,13,6,6,1,4,0,1,13,8.48,2.78,1.25,22.5%,7.4%
265,Gabriel Hughes,COL,1,2,4.96,24,2,0,1,,31.1,137,35,18,17,5,11,1,1,24,6.85,3.13,1.47,17.3%,7.9%
266,AJ Blubaugh,HOU,3,3,4.35,46,2,0,1,,53.0,227,51,27,26,8,21,1,2,49,8.37,3.48,1.34,21.7%,9.0%
267,Colin Holderman,CLE,2,2,4.01,42,0,0,1,,42.0,181,39,20,19,5,18,1,2,41,8.76,3.78,1.35,22.6%,9.8%
