#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
360,Eli Morgan,KCR,1,1,4.30,28,0,0,1,,28.0,117,26,15,13,4,10,,1,24,7.77,3.07,1.27,20.7%,8.2%
361,Javier Assad,CHC,3,2,4.06,54,2,0,7,,61.0,260,57,30,27,8,24,,3,48,7.08,3.54,1.34,18.3%,9.2%
362,Tom Cosgrove,HOU,1,1,4.62,13,0,0,1,,13.0,57,11,7,7,2,6,,1,12,8.50,4.44,1.36,21.7%,11.3%
363,J.P. France,HOU,1,1,4.17,12,0,0,1,,12.0,52,12,6,6,2,5,,0,11,7.99,3.71,1.39,20.4%,9.4%
364,Jhony Brito,SDP,1,1,4.33,16,0,0,1,,16.0,69,16,8,8,2,5,,0,12,6.87,3.06,1.34,17.7%,7.9%
365,David Sandlin,CHW,1,1,4.62,15,0,0,1,,15.0,66,16,8,8,2,5,,0,12,7.08,3.08,1.40,18.0%,7.8%
366,Lou Trivino,PHI,1,2,4.81,24,0,0,1,,24.0,108,25,14,13,3,11,,2,22,8.16,3.98,1.47,20.1%,9.8%
367,Tyson Neighbors,BAL,1,1,4.59,15,0,0,1,,15.0,64,14,8,8,2,6,,1,15,8.82,3.53,1.29,22.8%,9.1%
368,Dom Hamel,NYY,0,1,4.91,8,0,0,1,,8.0,35,8,5,4,1,3,,0,7,7.98,3.78,1.38,20.3%,9.6%
369,Jeff Criswell,COL,1,1,4.66,14,0,0,1,,14.0,62,15,8,7,2,6,,0,13,8.15,3.84,1.47,20.4%,9.6%
370,Kyle Wright,CHC,1,1,4.52,14,0,0,1,,14.0,61,14,8,7,2,5,,1,11,7.30,3.36,1.34,18.6%,8.6%
371,Adbert Alzolay,NYM,2,4,4.25,42,0,0,1,,42.0,177,40,21,20,6,13,,4,37,8.00,2.75,1.25,21.1%,7.2%
372,Jackson Kowar,BAL,0,0,4.74,8,0,0,1,,8.0,36,8,5,4,1,4,,1,7,8.42,4.39,1.46,20.7%,10.8%
373,Emiliano Teodo,TEX,1,1,4.70,14,0,0,1,,14.0,63,13,8,7,2,8,,1,14,8.80,4.86,1.43,21.9%,12.1%
374,Michael Petersen,MIA,1,1,4.34,28,0,0,1,,28.0,122,28,15,14,4,11,,1,26,8.49,3.40,1.36,21.7%,8.7%
375,Henry Baez,ATH,0,0,4.47,10,0,0,1,,10.0,44,10,5,5,1,4,,1,7,6.36,3.27,1.38,16.1%,8.3%
376,Matt Seelinger,DET,0,0,4.71,6,0,0,1,,6.0,26,6,3,3,1,3,,0,5,8.15,3.98,1.45,20.6%,10.1%
377,Duncan Davitt,CHW,1,2,4.82,21,0,0,1,,21.0,91,22,12,11,3,6,,1,16,6.84,2.74,1.34,17.6%,7.0%
378,Hector Neris,KCR,2,3,4.50,22,0,0,1,,22.0,95,20,12,11,3,11,,1,23,9.45,4.50,1.40,24.3%,11.6%
379,Hobie Harris,BOS,0,1,4.76,8,0,0,1,,8.0,36,8,5,4,1,4,,0,6,7.25,4.53,1.56,17.8%,11.1%
380,Marc Church,TEX,2,3,4.81,32,0,0,1,,32.0,143,29,18,17,4,17,,1,32,9.08,4.81,1.45,22.5%,11.9%
381,Jake Bennett,BOS,1,1,4.68,12,0,0,1,,12.0,52,13,7,6,2,4,,0,8,6.15,2.94,1.40,15.6%,7.5%
382,Paul Sewald,ARI,3,3,4.66,58,0,8,10,,58.0,240,52,33,30,9,19,,3,57,8.83,2.94,1.23,23.7%,7.9%
383,Vinny Nittoli,BOS,0,0,4.66,16,0,0,1,,16.0,70,16,9,8,2,6,,1,14,7.60,3.19,1.36,19.4%,8.1%
384,Lyon Richardson,CIN,1,1,4.86,18,0,0,1,,18.0,80,17,10,10,2,9,,1,16,7.78,4.38,1.45,19.6%,11.0%
