#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
80,Eury Perez,MIA,7,7,4.09,28,28,0,0,,117.0,476,99,57,53,16,39,,3,119,9.16,3.03,1.18,24.9%,8.2%,
81,Merrill Kelly,ARI,10,7,3.75,28,28,0,0,,157.0,650,148,70,65,21,46,,2,136,7.79,2.64,1.24,20.9%,7.1%,
82,Nolan McLean,NYM,10,8,3.94,26,26,0,0,,142.0,610,126,67,62,15,55,,13,140,8.88,3.50,1.28,22.9%,9.0%,
83,Grayson Rodriguez,LAA,6,7,4.10,23,23,0,0,,115.0,491,107,57,53,16,38,,5,121,9.40,2.98,1.26,24.6%,7.8%,
84,Bryce Miller,SEA,8,7,4.02,26,26,0,0,,139.0,571,123,66,62,18,41,,6,123,7.98,2.63,1.18,21.5%,7.1%,
85,Bubba Chandler,PIT,8,7,3.89,36,26,0,1,,133.0,569,121,62,57,14,50,,11,125,8.47,3.40,1.29,21.9%,8.8%,
86,Ryne Nelson,ARI,9,6,3.88,38,28,0,1,,170.0,705,161,79,73,22,46,,5,139,7.37,2.46,1.22,19.7%,6.6%,
87,Justin Verlander,DET,7,7,4.24,26,26,0,0,,139.0,590,138,71,65,19,45,,5,113,7.34,2.89,1.32,19.2%,7.6%,
88,Chris Bassitt,BAL,11,9,4.05,39,29,0,1,,170.0,733,164,83,76,22,60,,12,155,8.23,3.16,1.32,21.2%,8.1%,
89,Matthew Liberatore,STL,9,10,4.10,28,28,0,0,,143.0,608,138,71,65,16,45,,7,121,7.59,2.80,1.28,19.8%,7.3%,
90,Spencer Schwellenbach,ATL,6,4,3.39,15,15,0,0,,91.0,364,81,37,34,11,17,,4,89,8.81,1.66,1.07,24.4%,4.6%,
91,Simeon Woods Richardson,MIN,6,6,4.16,32,24,0,1,,130.0,550,121,65,60,17,47,,3,119,8.25,3.24,1.29,21.7%,8.5%,
92,Kyle Freeland,COL,8,11,4.87,29,29,0,0,,151.0,664,173,89,82,22,39,,6,112,6.67,2.33,1.40,16.9%,5.9%,
93,Cam Schlittler,NYY,8,7,4.06,23,23,0,0,,115.0,489,104,56,52,15,41,,5,117,9.16,3.22,1.26,23.9%,8.4%,
94,Trey Yesavage,TOR,4,3,3.88,36,24,0,1,,115.0,480,94,54,50,13,50,,2,122,9.58,3.88,1.25,25.5%,10.3%,
95,Shane Baz,BAL,9,9,4.27,28,28,0,0,,144.0,610,132,73,68,20,50,,8,142,8.85,3.12,1.26,23.2%,8.2%,
96,Edward Cabrera,CHC,8,6,3.88,26,26,0,0,,135.0,562,109,63,58,17,53,,8,144,9.62,3.53,1.20,25.6%,9.4%,
97,Taj Bradley,MIN,6,7,4.27,33,23,0,1,,130.0,549,121,67,61,17,45,,4,119,8.29,3.11,1.28,21.8%,8.2%,
98,Cody Ponce,TOR,8,8,4.20,49,21,0,1,,150.0,634,140,76,70,22,47,,6,148,8.88,2.80,1.24,23.4%,7.4%,
99,Roki Sasaki,LAD,7,6,4.11,41,19,0,1,,118.0,505,105,58,54,17,40,,8,136,10.34,3.06,1.23,26.9%,8.0%,
100,Dustin May,STL,10,11,4.15,38,24,0,1,,159.0,664,139,79,73,18,57,,14,142,8.06,3.21,1.23,21.4%,8.5%,
101,Michael McGreevy,STL,9,8,3.92,33,23,0,1,,134.0,560,134,63,58,15,31,,3,97,6.49,2.10,1.23,17.2%,5.6%,
102,Noah Cameron,KCR,8,8,4.08,26,26,0,0,,136.0,571,130,66,61,18,42,,5,117,7.77,2.80,1.27,20.5%,7.4%,
103,Chad Patrick,MIL,7,8,4.37,26,26,0,0,,135.0,570,125,70,65,21,44,,6,131,8.74,2.91,1.25,23.0%,7.7%,
104,Shota Imanaga,CHC,8,7,3.96,26,26,0,0,,141.0,576,131,67,62,25,32,,4,130,8.25,2.05,1.15,22.5%,5.6%,
105,Davis Martin,CHW,7,9,4.44,28,28,0,0,,141.0,603,140,75,69,18,47,,7,110,7.06,2.98,1.33,18.3%,7.7%,
106,Braxton Garrett,MIA,7,5,3.93,31,23,0,1,,124.0,521,121,58,54,16,30,,9,106,7.75,2.16,1.22,20.4%,5.7%,
107,Landen Roupp,SFG,7,7,3.79,33,23,0,1,,124.0,533,116,56,52,12,47,,4,117,8.49,3.43,1.31,22.0%,8.9%,
108,Foster Griffin,WSN,6,7,4.31,34,19,0,1,,125.0,529,122,64,60,17,36,,6,117,8.42,2.57,1.27,22.0%,6.7%,
