#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
106,Matthew Liberatore,STL,8,10,4.36,28,28,0,0,,148.0,632,148,78,72,19,48,,6,124,7.56,2.92,1.33,19.6%,7.6%,14
107,Joey Cantillo,CLE,8,4,3.88,54,21,0,1,,144.0,616,127,68,62,17,61,,7,149,9.30,3.83,1.31,24.2%,10.0%,12
108,Nick Martinez,TBR,8,4,4.18,47,21,0,1,,147.0,630,145,75,68,20,42,,6,120,7.32,2.55,1.27,19.0%,6.6%,12
109,Bailey Ober,MIN,8,10,4.53,28,28,0,0,,152.0,637,150,84,77,26,37,,6,132,7.76,2.20,1.23,20.6%,5.8%,13
110,Grant Holmes,ATL,8,4,4.05,35,19,0,1,,132.0,567,122,65,59,17,51,,6,135,9.25,3.52,1.32,23.9%,9.1%,11
111,Parker Messick,CLE,6,8,4.10,23,23,0,0,,119.0,510,113,59,54,15,43,,5,109,8.24,3.25,1.31,21.4%,8.5%,12
112,Noah Cameron,KCR,8,10,4.66,26,26,0,0,,142.0,603,146,80,73,19,46,,6,116,7.38,2.93,1.36,19.2%,7.6%,12
113,Andre Pallante,STL,7,9,4.39,24,24,0,0,,134.0,582,140,71,65,12,53,,6,99,6.65,3.54,1.44,17.0%,9.0%,12
114,Anthony Kay,CHW,6,8,4.45,23,23,0,0,,129.0,561,133,69,64,17,49,,5,105,7.32,3.42,1.41,18.7%,8.7%,11
115,Zach Eflin,BAL,9,6,4.53,36,24,0,1,,151.0,632,157,83,76,23,33,,6,115,6.85,1.95,1.26,18.1%,5.2%,12
116,Michael Wacha,KCR,9,11,4.81,29,29,0,0,,165.0,701,172,96,88,24,50,,7,124,6.76,2.74,1.35,17.7%,7.2%,13
117,Kyle Leahy,STL,8,3,4.00,46,18,0,1,,131.0,563,127,64,58,15,46,,6,118,8.08,3.15,1.32,20.9%,8.2%,10
118,Shota Imanaga,CHC,9,9,4.34,26,26,0,0,,147.0,604,138,77,71,25,34,,6,130,7.96,2.10,1.17,21.5%,5.7%,13
119,Dustin May,STL,8,6,4.39,38,24,0,1,,158.0,669,152,84,77,19,60,,7,135,7.67,3.45,1.35,20.1%,9.0%,12
120,Seth Lugo,KCR,9,11,4.83,28,28,0,0,,157.0,676,166,92,84,23,51,,7,126,7.19,2.90,1.37,18.6%,7.5%,12
121,Adrian Houser,SFG,9,9,4.36,26,26,0,0,,147.0,635,152,78,71,16,51,,7,112,6.85,3.12,1.38,17.6%,8.0%,13
122,Sean Burke,CHW,7,9,4.54,26,26,0,0,,141.0,614,132,78,71,21,63,,7,134,8.57,4.03,1.39,21.8%,10.2%,12
123,Ryan Weathers,NYY,8,3,3.89,41,19,0,1,,124.0,531,110,59,54,17,46,,6,124,8.95,3.33,1.25,23.3%,8.7%,11
124,Landen Roupp,SFG,8,5,4.03,33,23,0,1,,126.0,545,120,62,57,14,51,,6,120,8.56,3.66,1.35,22.1%,9.4%,12
125,Kyle Freeland,COL,7,12,5.37,29,29,0,0,,161.0,704,187,105,96,27,45,,7,116,6.51,2.53,1.44,16.5%,6.4%,11
126,Brad Lord,WSN,7,6,4.63,37,24,0,1,,147.0,632,151,82,75,18,54,,7,113,6.96,3.30,1.40,17.9%,8.5%,12
127,Jeffrey Springs,ATH,9,12,4.96,31,31,0,0,,170.0,720,172,102,94,28,55,,7,136,7.23,2.90,1.34,18.9%,7.6%,13
128,Justin Steele,CHC,5,4,3.70,15,15,0,0,,79.0,328,72,35,32,10,21,,3,74,8.50,2.43,1.19,22.7%,6.5%,8
129,Roki Sasaki,LAD,8,4,4.19,41,19,0,1,,128.0,552,116,65,60,17,54,,6,122,8.53,3.76,1.32,22.1%,9.7%,10
130,Tyler Mahle,SFG,8,9,4.36,26,26,0,0,,137.0,574,135,72,66,17,45,,6,110,7.26,2.96,1.32,19.2%,7.8%,13
131,Kumar Rocker,TEX,6,3,3.99,42,16,0,1,,107.0,457,102,52,47,13,35,,5,99,8.31,2.95,1.28,21.6%,7.7%,9
132,Jameson Taillon,CHC,9,10,4.54,28,28,0,0,,150.0,630,149,83,76,24,39,,6,118,7.07,2.34,1.25,18.8%,6.2%,13
133,Kodai Senga,NYM,8,4,4.05,35,19,0,1,,121.0,519,107,60,55,15,54,,6,119,8.84,4.02,1.33,23.0%,10.4%,10
