#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
156,Cody Bradford,TEX,3,3,3.83,25,7,0,1,,61.0,252,55,28,26,8,15,1,2,55,8.10,2.15,1.13,21.9%,5.8%,0
157,Brandon Sproat,MIL,3,5,4.01,23,11,0,1,,71.1,302,63,34,32,8,27,1,4,62,7.83,3.38,1.27,20.5%,8.9%,1
158,Janson Junk,MIA,3,5,4.52,37,10,0,1,,85.0,364,89,46,43,11,22,2,3,62,6.58,2.36,1.30,17.1%,6.1%,1
159,Randy Vasquez,SDP,7,10,4.98,29,23,0,1,,127.0,556,134,75,70,18,44,1,7,80,5.65,3.13,1.40,14.4%,8.0%,6
160,Richard Fitts,STL,5,8,4.63,30,17,0,1,,101.0,431,100,56,52,15,31,1,4,81,7.22,2.79,1.29,18.8%,7.3%,3
161,Kyle Harrison,MIL,3,4,4.09,24,10,0,1,,67.1,286,59,33,31,9,25,1,3,71,9.49,3.40,1.26,24.8%,8.9%,1
162,Patrick Sandoval,BOS,3,4,3.94,29,9,0,1,,70.1,303,65,33,31,7,31,2,3,64,8.21,4.00,1.36,21.2%,10.3%,0
163,Patrick Corbin,,7,10,5.29,22,22,0,0,,116.0,509,127,73,68,19,40,0,3,95,7.36,3.12,1.44,18.7%,7.9%,8
164,Sean Burke,CHW,7,11,5.08,26,26,0,0,,142.0,619,136,86,80,25,60,0,6,132,8.39,3.78,1.38,21.4%,9.6%,11
165,J.T. Ginn,ATH,3,4,3.97,26,8,0,1,,63.1,268,58,30,28,7,22,1,4,61,8.70,3.06,1.25,22.8%,8.0%,0
166,Andrew Alvarez,WSN,3,6,4.20,27,12,0,1,,78.2,340,77,39,37,8,30,1,3,60,6.81,3.47,1.36,17.6%,8.9%,1
167,Ryan Weiss,HOU,3,4,4.32,30,9,0,0,,72.2,312,65,37,35,10,29,1,4,80,9.91,3.56,1.30,25.7%,9.2%,1
168,Davis Martin,CHW,7,11,5.24,27,27,0,0,,151.2,666,161,95,88,25,55,1,8,111,6.58,3.25,1.42,16.7%,8.2%,12
169,Johan Oviedo,BOS,5,7,4.48,38,15,0,1,,102.0,443,92,54,51,13,47,2,6,93,8.24,4.10,1.36,21.1%,10.5%,1
170,Spencer Arrighetti,HOU,4,6,4.82,24,14,0,1,,87.2,382,82,50,47,13,38,1,5,87,8.96,3.95,1.37,22.8%,10.1%,2
171,Miles Mikolas,WSN,7,11,5.16,26,26,0,0,,146.0,628,161,89,84,26,34,0,5,88,5.45,2.09,1.33,14.1%,5.4%,11
172,Jose Urquidy,PIT,4,6,4.92,25,14,0,1,,86.1,372,88,50,47,13,27,1,3,63,6.58,2.83,1.34,17.0%,7.3%,2
173,Griffin Canning,SDP,5,7,4.65,25,17,0,1,,100.2,435,97,56,52,16,40,1,4,88,7.83,3.53,1.36,20.1%,9.1%,3
174,Tyler Anderson,LAA,6,7,4.81,18,16,0,0,,92.1,400,88,53,49,14,37,1,3,74,7.20,3.64,1.36,18.5%,9.3%,6
175,Lance McCullers Jr.,HOU,5,7,4.58,23,16,0,1,,88.0,384,81,48,45,11,42,1,5,82,8.45,4.35,1.41,21.5%,11.0%,2
176,Trevor McDonald,SFG,2,4,4.08,19,8,0,1,,57.2,247,55,28,26,6,20,1,3,50,7.74,3.08,1.30,20.1%,8.0%,0
177,Rhett Lowder,CIN,3,5,4.66,26,11,0,1,,76.0,327,77,42,39,11,24,1,3,63,7.47,2.88,1.33,19.3%,7.4%,1
178,Hurston Waldrep,ATL,4,4,4.78,11,11,0,0,,62.0,270,63,35,33,7,24,0,3,53,7.63,3.54,1.41,19.5%,9.0%,4
179,Joe Boyle,TBR,3,5,4.48,19,12,0,1,,68.1,299,58,36,34,9,38,1,4,74,9.67,5.00,1.40,24.6%,12.7%,2
180,Luis Gil,NYY,5,6,4.52,36,13,0,1,,94.2,412,81,51,48,13,49,1,5,90,8.55,4.65,1.37,21.8%,11.9%,1
181,Josiah Gray,WSN,5,8,5.00,19,19,0,0,,108.1,471,103,64,60,19,45,0,5,88,7.32,3.70,1.36,18.7%,9.5%,8
182,Jonah Tong,NYM,2,2,3.48,12,5,0,1,,32.0,132,25,13,12,3,13,0,1,37,10.36,3.55,1.19,27.7%,9.5%,0
183,Corbin Burnes,ARI,3,2,4.00,6,6,0,0,,37.1,156,34,18,17,4,11,0,1,34,8.25,2.76,1.22,21.9%,7.3%,3
184,Stephen Kolek,KCR,3,4,4.52,31,8,0,1,,70.0,304,73,38,35,7,24,1,4,50,6.43,3.04,1.38,16.4%,7.8%,1
185,Anthony Kay,CHW,6,10,5.26,23,21,0,0,,120.0,532,123,75,70,19,53,1,6,94,7.06,3.98,1.47,17.7%,10.0%,8
186,Alek Manoah,LAA,5,7,4.95,18,18,0,0,,98.1,428,96,58,54,16,38,0,7,80,7.32,3.49,1.36,18.7%,8.9%,7
187,Chase Dollander,COL,6,10,5.66,23,23,0,0,,119.0,534,130,80,75,19,51,0,6,98,7.45,3.88,1.53,18.4%,9.6%,9
188,Jonathan Cannon,CHW,3,6,4.86,31,12,0,1,,88.1,382,89,51,48,13,30,1,4,66,6.72,3.07,1.35,17.3%,7.9%,1
189,JP Sears,SDP,3,4,4.49,28,9,0,1,,69.1,294,65,37,35,12,21,1,3,60,7.73,2.71,1.24,20.3%,7.1%,1
190,Jon Gray,,3,4,4.76,11,10,0,0,,55.0,236,55,31,29,9,18,0,2,47,7.67,2.92,1.32,19.8%,7.6%,4
191,Ryan Bergert,KCR,3,4,4.73,23,9,0,1,,59.2,260,58,34,31,8,24,1,2,54,8.15,3.57,1.37,20.8%,9.1%,1
192,Logan Evans,SEA,4,4,4.69,11,11,0,0,,58.1,251,59,32,30,8,20,0,3,44,6.75,3.04,1.34,17.4%,7.8%,4
193,Marcus Stroman,,4,6,4.87,14,13,0,0,,72.1,316,74,42,39,9,29,0,3,51,6.38,3.59,1.42,16.2%,9.1%,5
194,Colin Rea,CHC,3,4,4.65,34,9,0,1,,82.2,353,81,46,43,13,26,1,4,65,7.12,2.83,1.30,18.5%,7.4%,1
195,Jordan Montgomery,TEX,2,3,4.61,16,8,0,1,,53.0,227,53,29,27,7,17,1,2,40,6.83,2.88,1.33,17.7%,7.5%,1
196,Ryan Feltner,COL,4,8,5.58,25,17,0,1,,97.1,435,109,64,60,15,38,1,4,74,6.83,3.48,1.50,17.0%,8.7%,3
197,German Marquez,SDP,6,8,5.30,19,19,0,1,,97.1,425,105,61,57,17,33,0,3,70,6.43,3.01,1.41,16.4%,7.7%,7
198,Alex Cobb,,3,3,4.52,8,7,0,0,,40.1,173,42,22,20,5,13,0,2,31,7.01,2.85,1.36,18.1%,7.4%,2
199,Drew Thorpe,CHW,3,4,4.57,9,9,0,0,,46.2,198,44,25,24,7,15,0,2,34,6.48,2.94,1.28,17.0%,7.7%,3
200,Jake Irvin,WSN,4,8,4.99,24,17,0,1,,101.1,440,106,60,56,17,33,1,4,71,6.34,2.92,1.37,16.2%,7.5%,4
201,Erick Fedde,CHW,4,8,5.34,22,17,0,1,,95.2,419,100,60,57,16,36,1,3,64,6.04,3.39,1.42,15.3%,8.6%,4
202,Charlie Morton,,4,5,4.90,11,10,0,0,,55.0,242,52,32,30,8,25,0,4,55,9.02,4.16,1.41,22.8%,10.5%,4
203,Martin Perez,ATL,3,4,5.05,9,9,0,0,,47.2,209,51,29,27,7,18,0,2,36,6.78,3.33,1.45,17.2%,8.4%,3
204,River Ryan,LAD,2,2,4.40,11,6,0,1,,35.2,153,33,19,17,5,14,0,2,32,7.96,3.42,1.32,20.7%,8.9%,1
205,Luis Medina,ATH,3,5,5.07,34,11,0,1,,84.2,379,84,51,48,12,43,2,5,76,8.12,4.55,1.49,20.2%,11.3%,1
206,Clarke Schmidt,NYY,1,1,4.04,13,3,0,1,,28.0,119,25,13,13,4,10,0,1,27,8.72,3.13,1.23,22.9%,8.2%,0
207,Michael Lorenzen,COL,7,11,5.73,25,25,0,0,,142.2,638,159,97,91,26,58,0,6,105,6.65,3.64,1.52,16.5%,9.0%,12
208,Gavin Stone,LAD,2,1,4.41,13,4,0,1,,31.0,133,31,16,15,4,10,0,1,27,7.70,2.87,1.31,20.0%,7.5%,0
209,Kohl Drake,ARI,1,2,4.49,5,4,0,0,,23.2,102,23,13,12,3,8,0,1,22,8.34,3.03,1.32,21.6%,7.8%,1
210,Spencer Turnbull,,2,3,5.03,8,7,0,0,,39.1,172,40,23,22,5,16,0,2,31,7.15,3.69,1.42,18.1%,9.3%,2
211,Taijuan Walker,PHI,5,7,5.08,37,16,0,1,,109.2,479,113,66,62,18,41,1,5,75,6.14,3.36,1.40,15.6%,8.5%,1
212,Tanner Houck,BOS,1,1,4.14,6,3,0,0,,21.2,92,21,11,10,2,7,0,1,17,7.01,2.92,1.29,18.3%,7.6%,0
213,Tanner Gordon,COL,2,5,5.76,23,9,0,1,,62.2,278,75,43,40,12,17,1,2,47,6.76,2.48,1.47,16.9%,6.2%,1
214,Hayden Birdsong,SFG,2,4,4.96,20,8,0,1,,55.0,243,51,32,30,9,28,1,3,55,9.02,4.56,1.44,22.7%,11.4%,1
215,Jose Quintana,COL,6,10,6.00,22,22,0,0,,127.2,580,153,91,85,20,54,0,5,79,5.55,3.79,1.62,13.6%,9.3%,11
216,Carson Whisenhunt,SFG,1,2,4.58,12,4,0,1,,27.1,119,28,15,14,4,10,0,1,23,7.60,3.17,1.36,19.5%,8.2%,0
217,Walker Buehler,SDP,2,3,4.76,19,6,0,1,,46.0,199,45,26,24,7,18,1,2,35,6.92,3.51,1.37,17.7%,9.0%,0
218,Caden Dana,LAA,4,7,5.24,16,15,0,0,,82.0,357,81,51,48,16,31,0,4,70,7.69,3.42,1.37,19.6%,8.7%,6
219,McCade Brown,COL,2,3,5.69,7,7,0,1,,34.2,153,39,23,22,6,12,0,2,29,7.59,3.17,1.47,19.0%,7.9%,2
220,Mitch Farris,LAA,2,3,5.22,6,6,0,0,,31.1,138,32,19,18,6,13,0,1,28,7.97,3.66,1.43,20.1%,9.3%,2
221,Tony Gonsolin,,1,1,4.39,4,3,0,0,,17.1,73,15,9,8,3,7,0,1,16,8.33,3.43,1.28,21.8%,9.0%,1
222,Mitch Bratt,ARI,1,1,4.50,3,2,0,0,,13.0,55,13,7,6,2,3,0,0,11,7.95,2.23,1.26,20.9%,5.8%,1
223,Gage Jump,ATH,1,1,4.70,3,3,0,0,,16.1,70,16,9,8,3,5,0,1,15,8.16,2.92,1.33,21.1%,7.5%,1
224,Tink Hence,STL,1,1,4.20,2,2,0,0,,9.2,41,9,5,4,1,3,0,0,9,8.26,2.81,1.26,21.7%,7.4%,0
225,Nestor Cortes,,1,1,4.39,3,3,0,0,,13.1,56,12,7,6,2,4,0,0,12,8.06,2.90,1.24,21.2%,7.6%,1
226,Wade Miley,,2,3,5.01,7,6,0,0,,32.2,144,34,20,18,5,13,0,1,22,5.92,3.52,1.43,15.0%,8.9%,2
227,Adam Macko,TOR,1,1,4.26,7,2,0,0,,14.1,62,13,7,7,2,6,0,1,14,8.77,3.61,1.31,22.7%,9.4%,0
228,Thomas Harrington,PIT,1,1,4.70,7,2,0,1,,16.0,69,16,9,8,2,5,0,1,13,7.39,2.70,1.30,19.1%,7.0%,0
229,Sam Aldegheri,LAA,1,3,5.37,9,6,0,0,,37.2,168,39,24,22,6,16,0,2,30,7.12,3.94,1.48,17.8%,9.8%,1
230,Matt Waldron,SDP,1,1,5.10,4,3,0,0,,18.2,81,20,11,11,3,6,0,1,14,6.98,2.90,1.37,17.8%,7.4%,1
231,Cal Quantrill,TEX,1,2,5.08,5,4,0,0,,20.1,88,20,12,11,3,7,0,1,15,6.69,3.33,1.37,17.1%,8.5%,1
232,Dane Dunning,SEA,1,1,4.55,7,2,0,1,,16.1,71,16,9,8,2,6,0,1,14,7.73,3.34,1.34,19.9%,8.6%,0
233,Brandon Walter,HOU,0,0,3.91,1,1,0,0,,7.1,30,7,3,3,1,2,0,0,7,8.16,2.27,1.17,21.8%,6.1%,0
234,Gunnar Hoglund,ATH,2,3,4.98,16,5,0,1,,38.0,163,38,23,21,7,12,1,2,32,7.55,2.87,1.32,19.5%,7.4%,0
235,Didier Fuentes,ATL,1,1,4.71,6,2,0,0,,12.0,51,12,7,6,2,4,0,1,12,8.72,2.75,1.30,22.6%,7.1%,0
236,Jean Cabrera,PHI,1,1,4.85,2,2,0,0,,11.0,47,11,6,6,2,4,0,0,8,6.54,3.16,1.39,16.7%,8.1%,1
237,Pete Hansen,STL,0,1,4.81,2,2,0,0,,8.0,34,9,5,4,1,2,0,0,6,6.46,2.68,1.37,16.6%,6.9%,1
238,Yoniel Curet,PHI,0,1,4.57,2,1,0,0,,7.1,32,7,4,4,1,3,0,0,7,8.29,4.00,1.38,21.1%,10.2%,0
239,Jackson Jobe,DET,0,1,4.47,3,1,0,0,,8.2,37,8,5,4,1,3,0,0,7,7.67,3.57,1.31,19.9%,9.3%,0
240,Ryan Webb,CLE,0,1,4.87,1,1,0,0,,7.0,31,7,4,4,1,3,0,0,5,7.06,3.44,1.41,18.0%,8.7%,0
