#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,HIP,1B%,2B%,3B%,HR%,R%,RBI%,IBB%,HBP%,SF%,SH%,SB%,CS%
17,Adley Rutschman,BAL,146,537,613,137,91,26,2,18,72,71,66,3,98,5,5,1,2,1,1,0.255,0.339314845,0.411545624,0.750860469,0.279342723,15.98694943,10.76672104,119,0.7647058823529411,0.2184873949579832,0.01680672268907563,0.02936378466557912,0.11745513866231648,0.11582381729200653,0.004893964110929853,0.008156606851549755,0.008156606851549755,0.0016313213703099511,0.0032626427406199023,0.0016313213703099511
106,Cedric Mullins,BAL,131,466,519,107,65,20,3,19,70,54,42,1,105,5,4,2,28,6,22,0.229,0.29787234,0.407725322,0.705597662,0.25433526,20.23121387,8.092485549,88,0.7386363636363636,0.22727272727272727,0.03409090909090909,0.036608863198458574,0.1348747591522158,0.10404624277456648,0.0019267822736030828,0.009633911368015413,0.007707129094412331,0.0038535645472061657,0.05394990366088632,0.011560693641618497
352,Coby Mayo,BAL,46,153,169,35,22,8,1,5,19,20,13,1,48,2,1,0,1,0,1,0.23,0.295857988,0.39869281,0.694550799,0.297029703,28.40236686,7.692307692,30,0.7333333333333333,0.26666666666666666,0.03333333333333333,0.029585798816568046,0.11242603550295859,0.11834319526627218,0.005917159763313609,0.011834319526627219,0.005917159763313609,0.0,0.005917159763313609,0.0
88,Colton Cowser,BAL,137,487,555,116,70,24,2,21,71,67,56,3,168,8,3,1,9,2,7,0.239,0.324909747,0.427104723,0.75201447,0.315614618,30.27027027,10.09009009,95,0.7368421052631579,0.25263157894736843,0.021052631578947368,0.03783783783783784,0.12792792792792793,0.12072072072072072,0.005405405405405406,0.014414414414414415,0.005405405405405406,0.0018018018018018018,0.016216216216216217,0.0036036036036036037
3,Gunnar Henderson,BAL,152,583,665,157,89,32,5,31,99,92,71,3,153,6,4,0,16,4,12,0.27,0.352409639,0.500857633,0.853267271,0.312655087,23.0075188,10.67669173,126,0.7063492063492064,0.25396825396825395,0.03968253968253968,0.04661654135338346,0.14887218045112782,0.13834586466165413,0.004511278195488722,0.009022556390977444,0.006015037593984963,0.0,0.02406015037593985,0.006015037593984963
256,Heston Kjerstad,BAL,98,336,371,83,54,16,2,11,43,44,25,1,96,7,3,0,2,1,1,0.248,0.309973046,0.404761905,0.714734951,0.310344828,25.87601078,6.738544474,72,0.75,0.2222222222222222,0.027777777777777776,0.029649595687331536,0.11590296495956873,0.11859838274932614,0.0026954177897574125,0.018867924528301886,0.008086253369272238,0.0,0.005390835579514825,0.0026954177897574125
95,Jackson Holliday,BAL,120,413,467,100,64,20,3,12,58,48,48,2,122,3,2,1,9,2,7,0.242,0.324034335,0.389830508,0.713864843,0.31316726,26.124197,10.27837259,88,0.7272727272727273,0.22727272727272727,0.03409090909090909,0.02569593147751606,0.12419700214132762,0.10278372591006424,0.004282655246252677,0.006423982869379015,0.004282655246252677,0.0021413276231263384,0.019271948608137045,0.004282655246252677
44,Jordan Westburg,BAL,137,518,568,134,83,28,4,20,72,69,38,1,132,7,4,1,9,3,6,0.26,0.315696649,0.445945946,0.761642595,0.308108108,23.23943662,6.690140845,114,0.7280701754385965,0.24561403508771928,0.03508771929824561,0.035211267605633804,0.1267605633802817,0.12147887323943662,0.0017605633802816902,0.01232394366197183,0.007042253521126761,0.0017605633802816902,0.01584507042253521,0.00528169014084507
169,Ryan Mountcastle,BAL,125,475,519,125,82,23,2,18,61,66,35,1,118,4,5,0,3,1,2,0.263,0.315992293,0.433684211,0.749676503,0.311046512,22.73603083,6.743737958,107,0.7663551401869159,0.21495327102803738,0.018691588785046728,0.03468208092485549,0.11753371868978806,0.12716763005780346,0.0019267822736030828,0.007707129094412331,0.009633911368015413,0.0,0.005780346820809248,0.0019267822736030828
199,Ryan O'Hearn,BAL,103,362,401,94,60,19,2,13,49,49,32,1,71,3,3,1,3,1,2,0.261,0.3225,0.430939227,0.753439227,0.288256228,17.70573566,7.980049875,81,0.7407407407407407,0.2345679012345679,0.024691358024691357,0.032418952618453865,0.12219451371571072,0.12219451371571072,0.0024937655860349127,0.007481296758104738,0.007481296758104738,0.0024937655860349127,0.007481296758104738,0.0024937655860349127
116,Tyler O'Neill,BAL,116,423,482,99,55,18,1,25,64,68,49,2,147,7,3,0,7,2,5,0.234,0.321576763,0.458628842,0.780205605,0.291338583,30.49792531,10.1659751,74,0.7432432432432432,0.24324324324324326,0.013513513513513514,0.05186721991701245,0.13278008298755187,0.14107883817427386,0.004149377593360996,0.014522821576763486,0.006224066390041493,0.0,0.014522821576763486,0.004149377593360996
34,Alex Bregman,BOS,138,554,629,144,90,29,2,23,77,80,61,0,83,7,7,1,2,1,1,0.26,0.337042925,0.444043321,0.781086247,0.265934066,13.19554849,9.697933227,121,0.743801652892562,0.2396694214876033,0.01652892561983471,0.03656597774244833,0.12241653418124006,0.1271860095389507,0.0,0.011128775834658187,0.011128775834658187,0.001589825119236884,0.003179650238473768,0.001589825119236884
234,Ceddanne Rafaela,BOS,117,434,461,103,69,20,3,11,54,46,17,0,118,5,4,1,17,4,13,0.237,0.27173913,0.373271889,0.64501102,0.297734628,25.59652928,3.687635575,92,0.75,0.21739130434782608,0.03260869565217391,0.02386117136659436,0.11713665943600868,0.09978308026030369,0.0,0.010845986984815618,0.008676789587852495,0.0021691973969631237,0.0368763557483731,0.008676789587852495
