Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%,W%,L%,SV%,HLD%,BS%,H%,R%,ER%,HR%,IBB%,HBP%
Ryan Fernandez,STL,0,59,63,269,3,4,0,1,15,2,58,29,27,6,2,2,64,26,9.11,3.67,3.86,1.33,23.79182156,9.665427509,0.050847458,0.06779661,0.016949153,0.254237288,0.033898305,0.215613383,0.107806691,0.100371747,0.022304833,0.007434944,0.007434944
Ryan Helsley,STL,0,62,65,264,5,4,0,34,4,5,49,22,21,6,2,2,80,24,11.1,3.34,2.85,1.13,30.3030303,9.090909091,0.080645161,0.064516129,0.548387097,0.064516129,0.080645161,0.185606061,0.083333333,0.079545455,0.022727273,0.007575758,0.007575758
Edwin Uceta,TBR,0,57,66.2,278,3,2,0,9,14,2,54,29,27,8,1,4,75,25,10.13,3.32,3.64,1.18,26.97841727,8.992805755,0.052631579,0.035087719,0.157894737,0.245614035,0.035087719,0.194244604,0.104316547,0.097122302,0.028776978,0.003597122,0.014388489
Pete Fairbanks,TBR,0,52,53,219,3,3,0,24,4,4,43,22,20,5,1,2,59,20,10.1,3.38,3.4,1.19,26.94063927,9.132420091,0.057692308,0.057692308,0.461538462,0.076923077,0.076923077,0.196347032,0.100456621,0.091324201,0.02283105,0.00456621,0.00913242
Chris Martin,TEX,0,55,56,227,3,2,0,9,12,3,53,22,20,6,1,2,58,9,9.31,1.46,3.23,1.1,25.55066079,3.964757709,0.054545455,0.036363636,0.163636364,0.218181818,0.054545455,0.233480176,0.0969163,0.088105727,0.026431718,0.004405286,0.008810573
Chad Green,TOR,0,58,59,246,4,4,0,8,14,4,54,29,26,9,2,2,56,18,8.55,2.7,4,1.22,22.76422764,7.317073171,0.068965517,0.068965517,0.137931034,0.24137931,0.068965517,0.219512195,0.117886179,0.105691057,0.036585366,0.008130081,0.008130081
Jeff Hoffman,TOR,0,63,62.2,255,3,3,0,25,7,3,49,23,22,7,1,3,78,21,11.17,3.07,3.11,1.12,30.58823529,8.235294118,0.047619048,0.047619048,0.396825397,0.111111111,0.047619048,0.192156863,0.090196078,0.08627451,0.02745098,0.003921569,0.011764706
Jorge Lopez,WSN,0,59,61,263,3,3,0,11,11,2,59,30,28,8,2,4,54,22,7.96,3.28,4.12,1.33,20.53231939,8.365019011,0.050847458,0.050847458,0.186440678,0.186440678,0.033898305,0.224334601,0.114068441,0.106463878,0.030418251,0.007604563,0.015209125
David Robertson,,0,46,51.1,213,3,3,0,4,10,5,41,20,19,5,1,3,63,20,11.03,3.56,3.3,1.2,29.57746479,9.389671362,0.065217391,0.065217391,0.086956522,0.217391304,0.108695652,0.192488263,0.093896714,0.089201878,0.023474178,0.004694836,0.014084507
Kenley Jansen,,0,47,50.1,209,3,3,0,10,3,4,42,23,21,6,1,2,57,19,10.26,3.39,3.77,1.21,27.27272727,9.090909091,0.063829787,0.063829787,0.212765957,0.063829787,0.085106383,0.200956938,0.110047847,0.100478469,0.028708134,0.004784689,0.009569378
Kyle Finnegan,,0,53,57.1,245,3,4,0,7,5,4,55,28,26,7,2,2,55,21,8.68,3.36,4.01,1.32,22.44897959,8.571428571,0.056603774,0.075471698,0.132075472,0.094339623,0.075471698,0.224489796,0.114285714,0.106122449,0.028571429,0.008163265,0.008163265
