#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
290,Keegan Thompson,COL,2,2,4.72,40,0,0,1,,40,176,40,23,21,6,18,,2,39,8.86,3.98,1.44,22.40%,10.00%
291,Gabriel Hughes,COL,1,2,5.75,24,2,0,1,,30,133,36,21,19,4,11,,1,20,5.88,3.39,1.56,14.90%,8.60%
292,Rob Zastryzny,MIL,3,2,4.06,50,0,0,4,,50,214,45,25,23,7,19,,2,46,8.22,3.34,1.28,21.30%,8.70%
293,Brandon Williamson,CIN,3,2,5.17,45,3,0,1,,60,263,61,38,35,10,24,,3,47,7.08,3.61,1.41,18.10%,9.20%
294,Chris Murphy,CHW,2,2,4.24,42,0,0,1,,42,183,39,22,20,5,19,,2,38,8.16,4.17,1.4,20.70%,10.60%
295,Andrew Chafin,MIN,3,3,4.19,54,0,0,7,,54,238,49,27,25,7,26,,3,57,9.5,4.39,1.4,24.00%,11.10%
296,Michael Petersen,MIA,2,1,4.01,28,0,0,1,,28,121,25,14,12,4,11,,1,29,9.19,3.55,1.3,23.60%,9.10%
297,Chase Silseth,LAA,3,2,4.37,50,0,0,4,,50,215,46,27,24,6,22,,2,47,8.44,3.99,1.37,21.80%,10.30%
298,Tyson Neighbors,BAL,1,1,3.79,15,0,0,1,,15,65,13,7,6,2,7,,1,18,10.62,4.03,1.29,27.20%,10.30%
299,Evan Reifert,TBR,1,1,3.85,12,0,0,1,,12,53,10,6,5,1,6,,1,14,10.47,4.6,1.38,26.40%,11.60%
300,Ian Hamilton,ATL,3,2,3.8,50,0,0,7,,50,214,42,23,21,6,23,,2,51,9.14,4.21,1.31,23.70%,10.90%
301,Mason Black,KCR,2,1,5.25,27,3,0,1,,41,185,45,26,24,7,17,,2,32,7.08,3.68,1.5,17.60%,9.10%
302,Sean Guenther,DET,1,1,4.1,18,0,0,1,,18,77,18,9,8,2,6,,1,15,7.31,2.85,1.31,19.00%,7.40%
303,Brent Suter,LAA,3,3,4.41,60,0,0,12,,60,259,60,32,29,9,19,,3,48,7.27,2.87,1.31,18.70%,7.40%
304,Ryan Yarbrough,NYY,3,2,4.57,54,2,0,7,,60,257,59,33,31,10,19,,3,47,7.06,2.82,1.3,18.40%,7.30%
305,Javier Assad,CHC,3,2,4.5,54,2,0,7,,59,253,58,32,30,8,22,,3,48,7.22,3.41,1.35,18.80%,8.90%
306,Emmanuel Clase,CLE,0,0,2.82,1,0,0,0,,1,4,1,0,0,0,0,0,0,1,9.18,2.54,1.1,25.20%,7.00%
307,Ryan Lambert,NYM,1,1,3.58,12,0,0,1,,12,52,9,5,5,2,6,,1,15,11.27,4.57,1.28,28.90%,11.70%
308,Luke Little,CHC,1,1,3.85,20,0,0,1,,20,86,17,9,9,2,11,,1,21,9.48,4.84,1.39,24.50%,12.50%
309,Tyler Gilbert,CHW,1,1,4.27,26,0,0,1,,26,113,25,13,12,4,10,,1,24,8.22,3.34,1.33,21.00%,8.50%
310,Troy Taylor,SEA,3,2,3.79,50,0,0,4,,50,219,44,23,21,6,23,,2,50,9.06,4.12,1.34,23.00%,10.40%
311,Alex Lange,KCR,3,3,4.34,52,0,0,7,,52,227,49,27,25,5,27,,3,50,8.67,4.6,1.45,22.10%,11.70%
312,Rico Garcia,BAL,3,3,4.18,56,0,0,10,,56,243,49,28,26,8,25,,3,60,9.7,4.06,1.33,24.80%,10.40%
313,Alex Carrillo,NYM,1,1,3.79,20,0,0,1,,20,87,16,9,8,2,10,,1,23,10.41,4.53,1.33,26.60%,11.60%
314,John Klein,MIN,2,2,4.83,34,2,0,1,,42,182,42,24,22,6,17,,2,34,7.24,3.58,1.4,18.50%,9.10%
315,Ronny Henriquez,MIA,0,0,3.43,1,0,0,0,,1.1,5,1,1,0,0,0,0,0,1,10.1,3.42,1.24,26.20%,8.90%
316,Randy Rodriguez,SFG,0,0,3.17,1,0,0,0,,1.1,5,1,0,0,0,0,0,0,1,10.55,3.53,1.19,28.00%,9.40%
317,Riley Martin,CHC,1,1,3.79,22,0,0,1,,22,97,19,10,9,2,12,,1,25,10.08,4.86,1.39,25.40%,12.30%
318,Tyler Ferguson,ATH,2,2,4.21,42,0,0,1,,42,183,37,21,20,5,21,,2,43,9.14,4.45,1.39,23.30%,11.40%
319,Kyle Backhus,PHI,1,1,4.08,16,0,0,1,,16,69,15,8,7,2,6,,1,16,8.81,3.41,1.31,22.70%,8.80%
320,Paul Gervase,LAD,2,2,4.12,33,0,0,1,,33,144,28,17,15,5,16,,2,38,10.24,4.42,1.34,26.10%,11.30%
