#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
123,Aaron Civale,ATH,7,8,4.64,24,24,0,0,,130.0,555,128,72,67,21,41,,7,113,7.81,2.87,1.30,20.3%,7.4%,11
124,Will Warren,NYY,7,8,4.24,45,21,0,1,,134.0,574,126,68,63,18,48,,6,132,8.87,3.22,1.30,22.9%,8.3%,9
125,Justin Steele,CHC,5,4,3.58,15,15,0,0,,81.0,336,75,35,32,9,22,,3,76,8.45,2.48,1.20,22.6%,6.6%,8
126,Landen Roupp,SFG,8,8,3.95,33,23,0,1,,128.0,552,122,61,56,14,50,,4,120,8.40,3.49,1.34,21.7%,9.0%,11
127,Andre Pallante,STL,8,9,4.25,24,24,0,0,,134.0,584,139,69,63,13,52,,4,94,6.31,3.47,1.42,16.1%,8.9%,12
128,Tyler Mahle,SFG,8,8,4.05,26,26,0,0,,137.0,576,135,66,62,18,42,,3,113,7.42,2.74,1.29,19.6%,7.2%,13
129,Kodai Senga,NYM,7,7,3.85,35,19,0,1,,119.0,509,106,55,51,14,52,,4,119,8.97,3.95,1.32,23.4%,10.3%,9
130,Logan Henderson,MIL,7,7,4.13,38,16,0,1,,105.0,441,96,52,48,16,32,,4,106,9.06,2.75,1.22,24.0%,7.3%,7
131,Parker Messick,CLE,7,7,4.03,23,23,0,0,,121.0,517,116,58,54,16,41,,7,111,8.32,3.07,1.31,21.5%,8.0%,12
132,Brad Lord,WSN,8,9,4.47,37,24,0,1,,145.0,624,147,78,72,18,50,,7,109,6.80,3.08,1.36,17.5%,7.9%,10
133,Dean Kremer,BAL,8,9,4.37,42,21,0,1,,139.0,593,140,73,68,21,42,,4,119,7.67,2.73,1.31,20.0%,7.1%,9
134,Slade Cecconi,CLE,8,10,4.45,28,28,0,0,,155.0,655,157,82,76,25,40,,6,130,7.54,2.31,1.27,19.8%,6.1%,13
135,Jose Quintana,COL,8,10,4.86,26,26,0,0,,144.0,637,157,84,78,20,57,,6,102,6.39,3.56,1.49,16.0%,8.9%,11
136,Ryan Weathers,NYY,7,7,4.14,41,19,0,1,,122.0,521,113,61,56,16,44,,5,115,8.45,3.24,1.29,22.1%,8.5%,8
137,Adrian Houser,SFG,8,9,4.23,26,26,0,0,,147.0,636,154,75,69,16,49,,7,105,6.43,2.99,1.38,16.5%,7.6%,13
138,Cristian Javier,HOU,8,10,4.67,28,28,0,0,,148.0,635,137,82,77,24,63,,5,138,8.41,3.85,1.35,21.7%,9.9%,12
139,Bryce Elder,ATL,7,8,4.44,27,21,0,1,,124.0,537,128,66,61,15,41,,5,103,7.45,2.98,1.36,19.2%,7.7%,9
140,Kumar Rocker,TEX,6,7,4.18,42,16,0,1,,106.0,453,104,53,49,13,33,,4,95,8.11,2.78,1.29,21.0%,7.2%,7
141,Luis Morales,ATH,7,8,4.46,33,19,0,1,,119.0,509,114,63,59,17,47,,4,105,8.00,3.57,1.35,20.7%,9.3%,8
142,Robby Snelling,MIA,5,6,4.03,16,16,0,0,,86.0,370,85,42,39,10,30,,3,74,7.76,3.14,1.33,20.1%,8.1%,8
143,Sean Burke,CHW,7,10,4.74,26,26,0,0,,141.0,616,136,79,74,22,63,,6,132,8.45,4.02,1.41,21.5%,10.2%,12
144,Kyle Leahy,STL,6,7,4.19,46,18,0,1,,132.0,567,130,66,61,15,48,,5,108,7.40,3.28,1.35,19.1%,8.5%,8
145,Grant Holmes,ATL,8,7,4.19,35,19,0,1,,129.0,556,125,65,60,17,50,,6,122,8.56,3.46,1.35,22.0%,8.9%,9
