#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
1,Marcus Semien,TEX,154,679.264095,753,141.8857567,0.2225519288180611,0.7165354329043797,0.25196850389705117,0.02362204723682458,0.034124629083665335,0.12462908011952191,0.11424332343957502,0.08160237389110227,0.0,0.19436201779548473,0.0044510385750332,0.007418397625498008,0.0014836795245683932,0.03264094954847278,0.007418397625498008,0.02522255192563081,0.247,0.309985097,0.421052632,0.731037728,0.276688453,19.43620178,8.160237389,670,753,156,0.2456839309428951,0.717948717948718,0.2564102564102564,0.02564102564102564,0.03851261620185923,0.16201859229747675,0.13280212483399734,0.09561752988047809,0.0013280212483399733,0.1460823373173971,0.006640106241699867,0.006640106241699867,0.0,0.01859229747675963,0.00398406374501992,0.014608233731739707,0.276,0.348,0.478,0.826,0.291,14.6,9.6,,,,,,,,,
2,Freddie Freeman,LAD,153,635.8770615,730,169.64017995,0.26386806602739726,0.7419354838994912,0.23225806446098388,0.01935483870606446,0.03148425787671233,0.14242878561643835,0.1334332833561644,0.11094452773972602,0.014992503753424657,0.14692653671232878,0.010494752623287671,0.007496251873972602,0.0,0.016491754123287673,0.005997001498630137,0.010494752623287671,0.303,0.385307346,0.481927711,0.867235057,0.331905782,14.69265367,11.09445277,637,730,182,0.28904109589041094,0.6648351648351648,0.3241758241758242,0.01098901098901099,0.03972602739726028,0.17945205479452056,0.13972602739726028,0.09863013698630137,0.01643835616438356,0.16575342465753426,0.021917808219178082,0.00684931506849315,0.0,0.031506849315068496,0.0013698630136986301,0.030136986301369864,0.331,0.41,0.567,0.976,0.37,16.6,9.9,,,,,,,,,
3,Trea Turner,PHI,152,633.7635542,691,161.30271083999997,0.26506024095513747,0.7612903227758303,0.20645161291202518,0.03225806451672899,0.031626506020260486,0.1445783132561505,0.118975903617945,0.06777108434153402,0.0015060240969609264,0.17771084341534008,0.007530120481910275,0.006024096384949349,0.0015060240969609264,0.0542168674674385,0.010542168674384948,0.04367469879884226,0.289,0.340874811,0.461412151,0.802286963,0.327004219,17.77108434,6.777108434,639,691,144,0.2460202604920405,0.7222222222222222,0.24305555555555555,0.034722222222222224,0.03762662807525326,0.1476121562952243,0.10998552821997105,0.06512301013024602,0.002894356005788712,0.2170767004341534,0.008683068017366137,0.001447178002894356,0.0,0.04341534008683068,0.0,0.04341534008683068,0.266,0.32,0.459,0.778,0.31,21.7,6.5,,,,,,,,,
4,Matt Olson,ATL,153,629.4545455,720,127.63636359,0.22575757569444446,0.726495726780992,0.26495726506775513,0.00854700855082548,0.048484848486111114,0.13333333333333333,0.14393939388888888,0.10606060605555556,0.009090909090277778,0.2151515151388889,0.01363636363611111,0.007575757576388889,0.0,0.004545454545833333,0.0015151515152777779,0.0030303030305555557,0.258,0.344931921,0.481802426,0.826734348,0.286764706,21.51515152,10.60606061,608,720,118,0.2388888888888889,0.7457627118644068,0.2288135593220339,0.025423728813559324,0.075,0.1763888888888889,0.19305555555555556,0.14444444444444443,0.011111111111111112,0.23194444444444445,0.005555555555555556,0.005555555555555556,0.0,0.001388888888888889,0.0,0.001388888888888889,0.283,0.389,0.604,0.993,0.302,23.2,14.4,,,,,,,,,
5,Vladimir Guerrero Jr.,TOR,152,601.2776935,682,142.81638843,0.2594840667155425,0.7536231883692649,0.23913043485719518,0.007246376815551854,0.050075872536656886,0.14567526555718477,0.15326251891495601,0.10015174507331377,0.01062215478005865,0.15629742038123168,0.01062215478005865,0.006069802731671554,0.0015174506832844573,0.012139605463343108,0.003034901365102639,0.009104704096774193,0.294,0.370820669,0.524956971,0.895777639,0.307349666,15.62974203,10.01517451,602,682,133,0.23313782991202345,0.7744360902255639,0.22556390977443608,0.0,0.03812316715542522,0.11436950146627566,0.1378299120234604,0.09824046920821114,0.007331378299120235,0.1466275659824047,0.013196480938416423,0.005865102639296188,0.0,0.007331378299120235,0.004398826979472141,0.002932551319648094,0.264,0.345,0.444,0.788,0.277,14.7,9.8,,,,,,,,,
6,Bo Bichette,TOR,151,556.1765601,601,137.21461188,0.2633181126455907,0.7400000000641331,0.24666666666375153,0.013333333330418192,0.03500761034941764,0.13850837138103161,0.12937595129783694,0.0608828006156406,0.0015220700149750415,0.2070015221297837,0.00608828006156406,0.00608828006156406,0.0015220700149750415,0.0334855403327787,0.007610350076539102,0.025875190266222963,0.284,0.330792683,0.465460526,0.796253209,0.331125828,20.70015221,6.088280061,571,601,155,0.2911813643926789,0.7870967741935484,0.1935483870967742,0.01935483870967742,0.033277870216306155,0.11480865224625623,0.12146422628951747,0.04492512479201331,0.0,0.1913477537437604,0.0033277870216306157,0.0016638935108153079,0.0,0.008319467554076539,0.004991680532445923,0.0033277870216306157,0.306,0.339,0.475,0.814,0.355,19.1,4.5,,,,,,,,,
7,Pete Alonso,NYM,153,574.8736682,658,115.17503808000001,0.22983257234042553,0.7478260867617331,0.23478260863449762,0.00869565217164806,0.054794520547112466,0.133942161337386,0.1628614916413374,0.09589041095744681,0.015220700151975684,0.202435312006079,0.01978691019756839,0.007610350075987842,0.0015220700151975684,0.006088280060790274,0.0015220700151975684,0.004566210045592705,0.262,0.346564885,0.5,0.846564885,0.280487805,20.2435312,9.589041096,568,658,77,0.18693009118541035,0.7012987012987013,0.2727272727272727,0.025974025974025976,0.06990881458966565,0.1398176291793313,0.17933130699088146,0.09878419452887538,0.00911854103343465,0.22948328267477203,0.031914893617021274,0.0060790273556231,0.0,0.0060790273556231,0.001519756838905775,0.004559270516717325,0.217,0.318,0.504,0.821,0.205,22.9,9.9,,,,,,,,,
8,Austin Riley,ATL,153,639.6793893,715,137.54198467999998,0.2442748090909091,0.7380952386007116,0.25396825406634815,0.015873015880055574,0.05190839695104896,0.1389312977062937,0.15114503818181818,0.07938931297902098,0.003053435114685315,0.24732824433566433,0.01679389313286713,0.007633587786013986,0.0,0.0015267175566433568,0.0,0.0015267175566433568,0.273,0.340978593,0.510238908,0.851217501,0.318987342,24.73282443,7.938931298,636,715,142,0.25034965034965034,0.7535211267605634,0.22535211267605634,0.02112676056338028,0.05174825174825175,0.16363636363636364,0.13566433566433567,0.08251748251748252,0.005594405594405594,0.24055944055944056,0.012587412587412588,0.015384615384615385,0.0,0.004195804195804196,0.0013986013986013986,0.002797202797202797,0.281,0.345,0.516,0.861,0.324,24.1,8.3,,,,,,,,,
9,Francisco Lindor,NYM,151,613.4678899,687,130.25688072999998,0.2262996941775837,0.758064516182277,0.22580645164509772,0.016129032257073923,0.03669724770014556,0.1284403669723435,0.1284403669723435,0.08409785933042212,0.004587155963609898,0.183486238573508,0.010703363914119359,0.007645259938864628,0.0015290519883551675,0.025993883799126635,0.007645259938864628,0.018348623857350803,0.253,0.322580645,0.431506849,0.754087494,0.278651685,18.34862385,8.409785933,602,687,122,0.22270742358078602,0.7131147540983607,0.27049180327868855,0.01639344262295082,0.04512372634643377,0.1572052401746725,0.14264919941775836,0.09606986899563319,0.001455604075691412,0.19941775836972345,0.017467248908296942,0.010189228529839884,0.0,0.04512372634643377,0.005822416302765648,0.039301310043668124,0.254,0.336,0.47,0.806,0.277,19.9,9.6,,,,,,,,,
10,Manny Machado,SDP,152,535.6539051,601,116.88667687,0.2404287901830283,0.7559055118682835,0.22834645671110182,0.007874015744528541,0.045941807038269555,0.13476263399334443,0.1470137825457571,0.09494640123128119,0.012251148545757071,0.18989280249584026,0.004594180703826955,0.0076569678402662236,0.0015313935673876872,0.018376722811980033,0.004594180703826955,0.01378254211314476,0.269,0.340490798,0.475945017,0.816435815,0.29330254,18.98928025,9.494640123,543,601,110,0.23294509151414308,0.8090909090909091,0.19090909090909092,0.0,0.04991680532445923,0.12479201331114809,0.15141430948419302,0.08319467554076539,0.0016638935108153079,0.18136439267886856,0.0033277870216306157,0.009983361064891847,0.0,0.004991680532445923,0.0033277870216306157,0.0016638935108153079,0.258,0.319,0.462,0.782,0.268,18.1,8.3,,,,,,,,,
