#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
40,Kyle Schwarber,PHI,148,545,652,126,62,20,1,43,96,109,96,4,182,7,3,1,6,2,4,0.232,0.352,0.509,0.861,0.257,27.90%,14.70%
41,Austin Riley,ATL,144,556,617,143,87,27,2,27,79,86,47,1,159,8,5,0,2,1,1,0.258,0.323,0.46,0.783,0.311,25.70%,7.60%
42,Jackson Chourio,MIL,144,575,625,157,97,33,3,23,82,86,40,3,127,4,5,1,24,6,18,0.272,0.322,0.462,0.784,0.311,20.30%,6.40%
43,Alex Bregman,CHC,148,558,635,140,90,27,1,22,75,78,63,1,89,8,5,1,2,1,1,0.251,0.333,0.421,0.753,0.262,14.00%,9.90%
44,Byron Buxton,MIN,119,463,515,116,60,25,3,28,75,75,40,2,141,8,3,1,14,3,11,0.25,0.319,0.498,0.817,0.295,27.50%,7.70%
45,Patrick Bailey,SFG,129,435,480,93,63,19,1,9,46,43,35,0,131,3,4,3,2,1,1,0.214,0.276,0.329,0.605,0.281,27.40%,7.40%
46,Manny Machado,SDP,145,560,620,146,93,26,1,25,77,81,50,4,121,2,6,1,9,2,7,0.26,0.32,0.446,0.766,0.287,19.50%,8.10%
47,Gabriel Moreno,ARI,111,390,437,107,75,21,1,10,52,51,39,2,75,4,4,1,4,1,3,0.275,0.343,0.413,0.756,0.314,17.10%,8.80%
48,Xander Bogaerts,SDP,136,499,561,132,94,24,1,13,69,59,44,1,101,5,5,1,18,4,14,0.265,0.327,0.397,0.724,0.305,17.90%,7.90%
49,Maikel Garcia,KCR,149,571,635,152,105,30,4,13,82,65,53,1,93,2,6,3,26,6,20,0.266,0.327,0.4,0.727,0.295,14.60%,8.30%
50,Bo Bichette,NYM,137,554,598,159,113,29,2,16,73,70,35,1,96,4,4,1,6,2,4,0.287,0.331,0.432,0.763,0.321,16.10%,5.90%
51,Riley Greene,DET,148,559,626,143,85,25,4,29,83,86,57,2,179,5,4,0,4,1,3,0.256,0.328,0.469,0.797,0.321,28.70%,9.10%
52,Austin Wells,NYY,118,398,444,86,49,18,1,17,49,52,37,1,112,5,4,1,3,1,2,0.215,0.288,0.394,0.682,0.253,25.30%,8.40%
53,Hunter Goodman,COL,137,507,551,130,70,29,2,29,70,87,33,0,144,6,5,0,2,1,1,0.256,0.307,0.491,0.798,0.299,26.20%,6.00%
54,Jordan Westburg,BAL,130,505,552,130,78,25,3,23,72,71,36,0,128,7,3,1,7,2,5,0.258,0.314,0.459,0.773,0.299,23.10%,6.50%
55,Pete Alonso,BAL,152,570,650,142,80,24,2,36,87,96,61,4,149,13,5,1,3,1,2,0.249,0.332,0.485,0.817,0.272,23.00%,9.50%
56,Taylor Ward,BAL,147,545,623,133,80,24,2,27,80,80,65,1,154,7,5,1,5,1,4,0.244,0.329,0.444,0.773,0.288,24.70%,10.50%
57,Brent Rooker,ATH,149,563,635,149,84,30,1,33,89,92,59,2,161,8,4,1,7,2,5,0.265,0.341,0.501,0.842,0.309,25.30%,9.30%
58,Gleyber Torres,DET,147,551,634,141,98,26,1,17,76,69,71,0,109,4,6,1,8,2,6,0.257,0.343,0.4,0.743,0.289,17.30%,11.30%
59,Carlos Correa,HOU,130,486,546,130,89,24,0,17,65,65,49,2,109,3,4,1,0,0,0,0.267,0.336,0.423,0.758,0.31,20.00%,9.00%
60,Dansby Swanson,CHC,152,555,619,133,87,23,2,21,75,72,49,1,160,4,4,1,15,4,11,0.239,0.303,0.399,0.702,0.296,25.90%,8.00%
61,Brendan Donovan,SEA,128,485,548,128,90,26,1,12,62,60,48,2,76,9,4,2,5,2,3,0.265,0.34,0.394,0.733,0.29,13.80%,8.70%
62,Randy Arozarena,SEA,151,562,649,132,82,25,3,23,88,71,65,1,170,17,4,1,25,7,18,0.234,0.33,0.408,0.738,0.292,26.20%,10.10%
63,Andy Pages,LAD,141,526,576,133,79,29,1,24,76,78,35,1,128,8,5,0,9,3,6,0.253,0.308,0.449,0.757,0.289,22.20%,6.20%
64,Luke Keaschall,MIN,125,469,528,128,88,27,1,12,68,54,45,2,89,9,5,1,20,5,15,0.272,0.344,0.41,0.754,0.311,16.90%,8.50%
65,Roman Anthony,BOS,137,516,594,135,86,30,2,17,76,69,69,1,143,5,3,1,9,3,6,0.261,0.352,0.427,0.779,0.328,24.00%,11.70%
66,Francisco Alvarez,NYM,114,390,437,87,52,15,1,18,50,55,38,1,118,6,3,1,1,0,1,0.222,0.299,0.406,0.704,0.267,27.10%,8.70%
67,Yainer Diaz,HOU,131,490,521,131,89,23,1,17,59,65,22,1,91,3,4,1,2,0,2,0.267,0.301,0.424,0.725,0.294,17.50%,4.30%
68,Freddie Freeman,LAD,141,537,611,148,94,32,2,21,83,79,61,7,111,7,5,1,8,2,6,0.275,0.354,0.457,0.811,0.31,18.10%,10.00%
69,Nico Hoerner,CHC,144,546,597,150,116,25,3,6,72,54,37,1,58,9,5,1,25,7,18,0.275,0.328,0.368,0.696,0.296,9.70%,6.10%
70,James Wood,WSN,145,548,628,143,86,30,2,24,84,81,72,4,185,4,3,1,17,5,12,0.26,0.349,0.456,0.805,0.346,29.50%,11.40%
71,Ryan Jeffers,MIN,126,440,501,106,68,22,1,15,57,55,46,1,106,9,3,3,2,1,1,0.241,0.323,0.399,0.721,0.282,21.20%,9.10%
72,Matt Olson,ATL,152,570,660,140,81,29,1,29,85,92,79,4,156,6,5,1,1,0,1,0.245,0.341,0.452,0.793,0.284,23.60%,12.00%
73,Trevor Story,BOS,132,505,557,126,79,24,3,21,72,69,34,1,152,6,4,1,22,5,17,0.25,0.303,0.431,0.733,0.314,27.30%,6.10%
74,Seiya Suzuki,CHC,140,526,600,132,80,25,3,24,80,78,64,2,151,4,5,1,10,3,7,0.251,0.334,0.447,0.781,0.303,25.20%,10.60%
75,J.P. Crawford,SEA,143,510,590,123,88,23,1,11,64,56,65,1,115,5,3,3,4,2,2,0.242,0.332,0.356,0.688,0.289,19.40%,11.10%
76,Jose Altuve,HOU,136,530,588,139,92,25,1,21,75,71,49,2,103,5,4,1,12,3,9,0.262,0.328,0.433,0.761,0.287,17.50%,8.30%
77,Mike Trout,LAA,116,417,495,100,55,18,2,26,66,69,67,5,149,7,3,0,3,1,2,0.24,0.352,0.478,0.83,0.302,30.10%,13.60%
78,Marcus Semien,NYM,135,507,569,122,78,23,2,19,67,65,48,0,96,3,5,1,8,2,6,0.242,0.309,0.409,0.717,0.26,16.80%,8.50%
79,Brandon Nimmo,TEX,144,547,621,138,88,23,5,22,81,71,60,1,134,9,4,1,7,2,5,0.252,0.333,0.432,0.765,0.294,21.60%,9.60%
80,Brice Turang,MIL,148,563,631,142,101,25,3,13,76,62,57,1,133,2,4,4,30,6,24,0.252,0.321,0.377,0.698,0.305,21.10%,9.00%
81,Cody Bellinger,NYY,138,532,591,135,84,24,3,24,73,73,49,3,90,3,6,0,11,3,8,0.254,0.318,0.445,0.763,0.263,15.20%,8.30%
82,Bo Naylor,CLE,121,394,447,83,49,18,2,15,49,50,44,1,115,3,3,2,5,2,3,0.212,0.294,0.38,0.675,0.255,25.70%,9.90%
83,CJ Abrams,WSN,139,553,607,139,89,28,3,18,76,66,37,1,118,12,4,2,31,8,23,0.251,0.309,0.412,0.721,0.286,19.40%,6.00%
84,Otto Lopez,MIA,134,505,551,135,98,24,2,11,63,56,36,2,85,4,5,2,17,4,13,0.267,0.318,0.389,0.707,0.3,15.40%,6.50%
85,Kazuma Okamoto,TOR,125,455,517,107,60,22,1,25,64,73,51,2,113,7,4,1,1,0,1,0.236,0.32,0.45,0.77,0.257,21.90%,9.90%
86,Masyn Winn,STL,143,555,606,140,96,28,3,13,66,61,39,0,111,5,5,3,12,3,9,0.252,0.304,0.381,0.685,0.292,18.40%,6.40%
