#,Team,Position,Name,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
117,ATL,OF,Jarred Kelenic,399.9425926,449,100.6092593,57.37222222,24.11296296,2.494444444,16.62962963,63.19259259,54.0462963,42.40555556,0,132.2055556,3.325925926,3.325925926,0,11.64074074,4.988888889,6.651851852,0.252,0.325925926,0.449064449,0.774990375,0.330065359,29.44444444,9.444444444,412,449,95,60,18,2,15,49,45,32,1,133,1,3,1,7,2,0.231,0.286,0.393,0.679,0.3,29.6,7.1
118,MIN,OF,Max Kepler,350.7523992,399,86.53934741,50.54510557,18.38003839,1.531669866,16.08253359,49.77927063,49.77927063,40.58925144,0,80.41266795,4.595009597,3.063339731,0,2.297504798,1.531669866,0.765834933,0.247,0.330134357,0.445414847,0.775549204,0.273809524,20.15355086,10.17274472,368,399,93,63,21,1,8,43,42,22,0,80,5,3,0,1,0,0.253,0.302,0.38,0.682,0.3,20.1,5.5
119,MIL,OF,Christian Yelich,273.12983,315,71.56877898,46.73879444,15.57959815,1.460587326,7.789799073,42.8438949,33.5935085,39.43585781,0,73.02936631,1.947449768,0.486862442,0,11.19783617,1.947449768,9.250386399,0.262,0.358578053,0.415329768,0.773907821,0.330808081,23.18392581,12.51931994,270,315,85,59,12,3,11,44,42,40,3,58,2,1,1,21,1,0.315,0.406,0.504,0.909,0.366,18.4,12.7
120,MIN,C,Ryan Jeffers,409.3679458,465,97.61851016,55.63205418,18.89390519,1.0496614,22.04288939,58.78103837,58.78103837,45.13544018,0,124.9097065,7.347629797,3.148984199,0,5.248306998,2.099322799,3.148984199,0.238,0.322799097,0.451282051,0.774081148,0.28458498,26.86230248,9.706546275,412,465,93,50,22,0,21,56,64,32,0,94,14,6,1,3,0,0.226,0.3,0.432,0.732,0.238,20.2,6.9
122,WSN,C,Keibert Ruiz,448.2972973,485,126.7117117,87.38738739,23.59459459,0,15.72972973,51.55855856,58.54954955,29.71171171,0,52.43243243,5.243243243,1.747747748,0,1.747747748,0.873873874,0.873873874,0.283,0.333333333,0.440545809,0.773879142,0.290617849,10.81081081,6.126126126,459,485,105,71,21,0,13,46,57,16,0,54,5,5,0,3,1,0.229,0.26,0.359,0.619,0.232,11.1,3.3
123,ARI,C,Gabriel Moreno,314.9476744,351,88.43023256,61.22093023,17.00581395,1.360465116,8.843023256,44.21511628,42.1744186,29.25,0,62.58139535,3.401162791,3.401162791,0,4.761627907,2.040697674,2.720930233,0.281,0.34496124,0.427645788,0.772607029,0.32231405,17.82945736,8.333333333,305,351,81,57,18,1,5,39,45,41,1,52,2,3,0,3,1,0.266,0.353,0.38,0.734,0.303,14.8,11.7
124,KCR,2B,Michael Massey,327.96337,356,88.02197802,55.42124542,17.6043956,1.304029304,13.69230769,43.03296703,44.98901099,20.86446886,0,71.06959707,3.912087912,3.26007326,0,4.564102564,1.956043956,2.608058608,0.268,0.316849817,0.45526839,0.772118207,0.301587302,19.96336996,5.860805861,332,356,86,53,17,2,14,45,45,15,1,56,3,4,2,1,0,0.259,0.294,0.449,0.743,0.271,15.7,4.2
125,LAA,"2B, 1B",Brandon Drury,330.9473684,360,83.36842105,46.10526316,19.57894737,1.263157895,16.42105263,44.84210526,49.26315789,20.84210526,0,90.31578947,5.052631579,3.157894737,0,1.263157895,0.631578947,0.631578947,0.252,0.303508772,0.467557252,0.771066024,0.294444444,25.0877193,5.789473684,325,360,55,44,7,0,4,28,15,27,0,81,5,3,0,1,0,0.169,0.242,0.228,0.469,0.21,22.5,7.5
126,MIL,SS,Joey Ortiz,472.0407801,511,128.6560284,81.54255319,27.18085106,2.718085106,17.21453901,70.67021277,61.60992908,30.80496454,0,104.1932624,4.530141844,3.624113475,0,11.77836879,4.530141844,7.24822695,0.273,0.320921986,0.451055662,0.771977648,0.314578005,20.39007092,6.028368794,440,511,105,63,25,6,11,58,60,56,0,103,6,6,3,11,6,0.239,0.329,0.398,0.726,0.283,20.2,11
127,LAD,3B,Max Muncy,245.2444822,293,51.73514431,25.86757216,10.44651952,0.497453311,14.92359932,40.79117148,44.27334465,41.7860781,0,76.11035654,3.482173175,2.487266553,0,0.497453311,0.497453311,0,0.211,0.33106961,0.440162272,0.771231881,0.234920635,25.9762309,14.2614601,237,293,55,23,17,0,15,47,48,45,3,77,5,6,0,1,0,0.232,0.358,0.494,0.852,0.265,26.3,15.4
128,SEA,C,Cal Raleigh,561.9536542,628,129.8538324,69.40463458,24.62745098,1.11942959,34.70231729,75.00178253,91.79322638,59.32976827,0,177.9893048,3.35828877,3.35828877,0,0,0,0,0.231,0.306595365,0.464143426,0.770738792,0.26984127,28.34224599,9.44741533,546,628,120,70,16,0,34,73,100,70,4,176,6,6,0,6,1,0.22,0.312,0.436,0.748,0.251,28,11.1
130,TOR,2B,Davis Schneider,382.815331,454,89.37630662,50.62020906,21.3554007,0.790940767,16.6097561,57.73867596,58.52961672,61.69337979,0,123.3867596,5.536585366,3.954703833,0,6.327526132,3.163763066,3.163763066,0.233,0.344947735,0.423553719,0.768501454,0.294871795,27.17770035,13.58885017,397,454,76,43,19,1,13,48,46,47,0,144,5,5,0,6,0,0.191,0.282,0.343,0.625,0.257,31.7,10.4
131,SEA,1B,Ty France,476.7744479,535,127.4211356,86.07255521,23.62776025,0.84384858,16.87697161,62.44479495,60.75709779,33.75394322,0,92.82334385,21.09621451,3.375394322,0,0,0,0,0.267,0.340694006,0.426548673,0.767242679,0.298405467,17.35015773,6.309148265,479,535,112,75,24,0,13,46,51,38,0,114,13,5,0,1,1,0.234,0.305,0.365,0.67,0.277,21.3,7.1
132,TBR,2B,Brandon Lowe,368.3333333,425,85.88541667,49.58333333,15.9375,0.885416667,19.47916667,54.01041667,56.66666667,47.8125,0,110.6770833,5.3125,3.541666667,0,6.197916667,0.885416667,5.3125,0.233,0.327083333,0.439903846,0.766987179,0.274725275,26.04166667,11.25,385,425,94,51,19,3,21,56,58,33,2,112,5,2,0,5,1,0.244,0.311,0.473,0.783,0.287,26.4,7.8
133,KCR,OF,Nelson Velazquez,207.9742173,230,49.98158379,28.80294659,8.47145488,0.847145488,11.86003683,28.37937385,30.07366483,18.21362799,0,67.77163904,2.11786372,1.694290976,0,3.388581952,1.270718232,2.11786372,0.24,0.305709024,0.460285132,0.765994156,0.293159609,29.46593002,7.918968692,205,230,41,24,8,1,8,31,27,19,0,61,3,3,0,2,0,0.2,0.274,0.366,0.64,0.237,26.5,8.3
136,TBR,3B,Isaac Paredes,558.6030246,641,130.8657845,75.12665406,25.44612476,1.211720227,29.08128544,77.55009452,89.66729679,64.22117202,0,113.9017013,13.3289225,4.846880907,0,0,0,0,0.234,0.325141777,0.440347072,0.765488849,0.242074928,17.76937618,10.01890359,542,641,129,84,25,1,19,64,80,76,2,105,17,6,0,1,1,0.238,0.346,0.393,0.739,0.259,16.4,11.9
137,CIN,"1B, 3B, OF, 2B",Spencer Steer,580.7898089,656,147.2866242,90.87898089,32.38216561,2.089171975,21.93630573,80.43312102,84.61146497,62.67515924,0,141.0191083,9.401273885,3.133757962,0,13.57961783,3.133757962,10.44585987,0.254,0.334394904,0.429856115,0.76425102,0.297766749,21.49681529,9.554140127,574,656,129,71,34,4,20,74,92,72,1,137,8,2,0,25,3,0.225,0.319,0.402,0.721,0.26,20.9,11
138,LAD,SS,Gavin Lux,430.8449304,487,115.2147117,76.48707753,22.26838966,5.809145129,10.6500994,64.86878728,54.21868787,49.3777336,0,99.72365805,2.904572565,3.872763419,0,11.61829026,3.872763419,7.745526839,0.267,0.343936382,0.420224719,0.764161101,0.32238806,20.47713718,10.13916501,439,487,110,74,24,2,10,59,50,44,0,110,2,2,0,5,2,0.251,0.32,0.383,0.703,0.312,22.6,9
139,NYM,C,Francisco Alvarez,300.9878049,342,68.12195122,38.23170732,11.12195122,0,18.76829268,41.01219512,48.65853659,34.06097561,0,88.2804878,4.865853659,2.085365854,0,1.390243902,0.695121951,0.695121951,0.226,0.31300813,0.45034642,0.76335455,0.25177305,25.81300813,9.959349593,308,342,73,46,14,2,11,39,47,30,0,86,2,2,0,1,1,0.237,0.307,0.403,0.71,0.291,25.1,8.8
140,CLE,OF,Steven Kwan,480.8995502,540,139.2503748,101.1994003,27.52623688,5.667166417,4.857571214,65.57721139,49.38530735,52.62368816,0,54.24287856,3.23838081,3.23838081,0,18.62068966,4.047976012,14.57271364,0.29,0.36131934,0.400673401,0.761992741,0.316190476,10.04497751,9.745127436,480,540,140,107,16,3,14,83,44,53,0,51,5,0,2,12,5,0.292,0.368,0.425,0.793,0.304,9.4,9.8
142,MIN,OF,Trevor Larnach,341.9753086,400,79.01234568,45.67901235,16.04938272,1.234567901,16.04938272,49.38271605,51.85185185,51.85185185,0,127.1604938,3.703703704,2.469135802,0,2.469135802,2.469135802,0,0.231,0.336419753,0.42599278,0.762412533,0.312883436,31.79012346,12.96296296,355,400,92,60,17,0,15,59,52,40,1,89,3,2,0,4,1,0.259,0.338,0.434,0.771,0.304,22.3,10
143,PHI,2B,Bryson Stott,523.1265244,571,147.1021341,101.839939,28.72408537,1.740853659,14.7972561,71.375,60.92987805,38.29878049,0,82.69054878,5.222560976,4.352134146,0,26.98323171,4.352134146,22.63109756,0.281,0.333841463,0.427620632,0.761462096,0.307692308,14.48170732,6.707317073,506,571,124,92,19,2,11,65,57,53,1,93,3,9,0,32,3,0.245,0.315,0.356,0.671,0.275,16.3,9.3
144,STL,C,Ivan Herrera,220.8236994,259,55.39306358,35.93063584,11.97687861,0.748554913,6.73699422,32.93641618,29.19364162,33.6849711,0,60.63294798,3.742774566,0.748554913,0,4.49132948,2.24566474,2.24566474,0.251,0.358381503,0.403389831,0.761771333,0.315533981,23.41040462,13.00578035,229,259,69,51,12,1,5,37,27,25,0,53,2,2,0,5,0,0.301,0.372,0.428,0.8,0.37,20.5,9.7
147,CIN,OF,TJ Friedl,302.9811321,341,76.03773585,43.28301887,19.30188679,4.094339623,9.358490566,45.03773585,36.8490566,28.66037736,0,56.1509434,6.433962264,2.924528302,0,14.62264151,4.679245283,9.943396226,0.251,0.325900515,0.434362934,0.760263449,0.277372263,16.46655232,8.404802744,297,341,67,48,5,1,13,35,55,26,0,52,12,4,2,9,1,0.226,0.31,0.38,0.69,0.229,15.2,7.6
148,CLE,C,Bo Naylor,328.6653061,389,77.8,46.04489796,18.25918367,0.793877551,12.70204082,47.63265306,50.80816327,53.98367347,0,84.15102041,3.175510204,3.175510204,0,7.93877551,2.381632653,5.557142857,0.237,0.346938776,0.413043478,0.759982254,0.277027027,21.63265306,13.87755102,354,389,71,46,10,2,13,39,39,29,1,122,2,2,2,6,3,0.201,0.264,0.35,0.614,0.262,31.4,7.5
149,DET,OF,Kerry Carpenter,269.381295,296,68.14388489,42.58992806,11.71223022,1.064748201,12.77697842,36.20143885,39.92805755,19.69784173,0,79.32374101,4.791366906,2.129496403,0,2.661870504,1.064748201,1.597122302,0.253,0.31294964,0.446640316,0.759589956,0.308605341,26.79856115,6.654676259,264,296,75,36,16,5,18,37,57,22,1,75,4,3,0,0,2,0.284,0.345,0.587,0.932,0.328,25.3,7.4
150,MIL,SS,Willy Adames,610.3402226,688,141.100159,74.37837838,32.81399046,1.093799682,32.81399046,86.41017488,95.16057234,67.81558029,0,181.5707472,4.375198728,5.46899841,0,6.562798092,3.281399046,3.281399046,0.231,0.310015898,0.449820789,0.759836687,0.269754768,26.39109698,9.856915739,610,688,153,88,33,0,32,93,112,74,3,173,1,3,0,21,4,0.251,0.331,0.462,0.794,0.297,25.1,10.8
151,SEA,"2B, 3B",Jorge Polanco,414.1818182,469,100.0649351,58.2987013,21.75324675,0.87012987,19.14285714,58.2987013,58.2987013,48.72727273,0,110.5064935,2.61038961,3.480519481,0,4.350649351,0.87012987,3.480519481,0.242,0.322820037,0.43697479,0.759794827,0.280966767,23.56215213,10.38961039,417,469,89,62,11,0,16,43,45,46,3,137,4,2,0,4,2,0.213,0.296,0.355,0.651,0.274,29.2,9.8
152,OAK,OF,Brent Rooker,544.4058501,614,125.7184644,69.59414991,24.69469835,1.122486289,30.3071298,70.7166362,84.18647166,52.75685558,0,204.2925046,12.34734918,4.489945155,0,3.367458867,1.122486289,2.244972578,0.231,0.310786106,0.44742268,0.758208786,0.303571429,33.27239488,8.592321755,546,614,160,93,26,2,39,82,112,59,4,177,5,4,0,11,3,0.293,0.365,0.562,0.927,0.362,28.8,9.6
153,PHI,OF,Nick Castellanos,612.2992126,659,158.7826772,96.51496063,33.20944882,1.037795276,28.02047244,79.91023622,89.2503937,37.36062992,0,184.7275591,4.151181102,5.188976378,0,6.226771654,2.075590551,4.151181102,0.259,0.303937008,0.454237288,0.758174296,0.323076923,28.03149606,5.669291339,606,659,154,97,30,4,23,80,86,41,2,139,10,2,0,6,2,0.254,0.311,0.431,0.742,0.294,21.1,6.2
154,TOR,OF,George Springer,546.9823435,614,142.905297,97.56982343,22.66773676,1.971107544,20.69662921,80.81540931,73.91653291,58.14767255,0,119.2520064,4.92776886,3.942215088,0,16.75441413,3.942215088,12.81219904,0.261,0.335473515,0.423423423,0.758896939,0.29736211,19.42215088,9.470304976,545,614,120,79,19,3,19,74,56,60,0,115,6,2,0,16,1,0.22,0.303,0.371,0.674,0.245,18.7,9.8
155,CHC,SS,Dansby Swanson,533.2473282,593,135.8015267,86.00763359,26.25496183,1.810687023,21.72824427,74.23816794,74.23816794,51.60458015,0,146.6656489,4.526717557,3.621374046,0,11.76946565,3.621374046,8.148091603,0.255,0.323664122,0.432937182,0.756601304,0.30958231,24.73282443,8.702290076,534,593,129,84,27,2,16,82,66,54,2,144,2,3,0,19,3,0.242,0.312,0.39,0.701,0.3,24.3,9.1
156,CIN,OF,Will Benson,329.9262473,388,74.06507592,40.39913232,15.99132321,3.36659436,14.30802603,50.4989154,44.60737527,53.02386117,0,118.6724512,2.52494577,2.52494577,0,17.67462039,5.04989154,12.62472885,0.224,0.334056399,0.423469388,0.757525787,0.299578059,30.5856833,13.6659436,343,388,64,29,19,2,14,41,43,40,0,154,2,2,1,16,7,0.187,0.274,0.376,0.65,0.282,39.7,10.3
157,NYY,OF,Alex Verdugo,568.507177,621,156.4880383,105.9760766,31.6937799,1.980861244,16.83732057,73.29186603,68.33971292,44.56937799,0,92.11004785,3.961722488,3.961722488,0,5.942583732,2.971291866,2.971291866,0.275,0.330143541,0.426829268,0.756972809,0.301282051,14.83253589,7.177033493,559,621,130,88,28,1,13,74,61,49,0,93,1,10,2,2,1,0.233,0.291,0.356,0.647,0.253,15,7.9
158,TOR,C,Alejandro Kirk,339.8119658,386,93.2008547,68.45726496,15.67094017,0,9.072649573,44.53846154,44.53846154,40.41452991,0,39.58974359,3.299145299,2.474358974,0,0,0,0,0.274,0.354700855,0.400485437,0.755186292,0.286516854,10.25641026,10.47008547,340,386,86,61,19,1,5,23,54,35,1,51,2,9,0,0,0,0.253,0.319,0.359,0.677,0.276,13.2,9.1
160,SEA,C,Mitch Garver,373.1556503,430,88.01705757,55.01066098,14.66950959,0,18.33688699,53.17697228,58.67803838,49.50959488,0,108.1876333,4.584221748,2.750533049,0,0,0,0,0.236,0.330490405,0.422604423,0.753094828,0.279411765,25.15991471,11.51385928,367,430,63,31,17,0,15,37,51,53,0,133,7,3,0,0,0,0.172,0.286,0.341,0.627,0.216,30.9,12.3
161,HOU,SS,Jeremy Pena,593.2137285,650,160.2184087,108.5023401,31.43525741,3.042121685,17.23868955,82.13728549,69.96879875,46.64586583,0,126.7550702,8.112324493,2.028081123,0,14.19656786,6.08424337,8.112324493,0.27,0.330733229,0.420512821,0.75124605,0.316853933,19.50078003,7.176287051,602,650,160,115,28,2,15,78,70,25,1,111,14,6,3,20,6,0.266,0.308,0.394,0.701,0.301,17.1,3.8
162,NYM,"2B, OF",Jeff McNeil,430.5560976,472,125.8666667,92.86504065,25.32682927,1.53495935,6.139837398,53.72357724,47.58373984,29.93170732,0,47.58373984,9.209756098,2.302439024,0,5.372357724,1.53495935,3.837398374,0.292,0.349593496,0.401069519,0.750663015,0.315789474,10.08130081,6.341463415,424,472,101,63,26,0,12,57,44,35,1,68,9,3,1,5,1,0.238,0.308,0.384,0.692,0.256,14.4,7.4
164,BOS,OF,Wilyer Abreu,387.7590361,447,95.8626506,60.31807229,20.46506024,1.077108434,14.00240964,54.93253012,50.62409639,50.62409639,0,116.3277108,3.231325301,5.385542169,0,9.693975904,3.231325301,6.462650602,0.247,0.334939759,0.413888889,0.748828648,0.31147541,26.02409639,11.3253012,399,447,101,51,33,2,15,59,58,40,0,125,3,5,0,8,3,0.253,0.322,0.459,0.781,0.326,28,8.9
165,SFG,OF,Michael Conforto,415.5934959,488,100.1788618,65.46341463,17.85365854,0.991869919,15.8699187,58.5203252,57.52845528,58.5203252,0,111.0894309,9.918699187,3.967479675,0,3.967479675,0.991869919,2.975609756,0.241,0.345528455,0.403341289,0.748869744,0.288135593,22.76422764,11.99186992,438,488,104,54,27,3,20,56,66,42,1,118,5,3,0,0,1,0.237,0.309,0.45,0.759,0.277,24.2,8.6
167,BAL,2B/3B,Jordan Westburg,402.0502793,447,102.3854749,61.59776536,24.97206704,3.329608939,12.48603352,55.77094972,50.77653631,37.45810056,0,104.8826816,3.329608939,4.162011173,0,7.491620112,1.664804469,5.826815642,0.255,0.320297952,0.426501035,0.746798987,0.311239193,23.46368715,8.379888268,416,447,110,61,26,5,18,57,63,22,0,97,7,1,1,6,3,0.264,0.312,0.481,0.792,0.305,21.7,4.9
168,BAL,OF,Cedric Mullins,448.8405546,499,112.4263432,69.18544194,23.35008666,3.459272097,16.43154246,69.18544194,51.88908146,42.37608319,0,96.85961872,4.324090121,3.459272097,0,26.80935875,6.05372617,20.75563258,0.25,0.318890815,0.427745665,0.746636479,0.283163265,19.41074523,8.49220104,444,499,104,67,16,3,18,69,54,41,0,98,5,2,2,32,6,0.234,0.305,0.405,0.71,0.261,19.6,8.2
169,COL,3B,Ryan McMahon,571.2560386,645,136.0628019,81.01449275,27.00483092,3.115942029,24.92753623,83.09178744,82.0531401,65.43478261,0,197.3429952,4.154589372,4.154589372,0,6.231884058,3.115942029,3.115942029,0.238,0.31884058,0.427272727,0.746113307,0.314705882,30.5958132,10.14492754,567,645,137,89,28,0,20,68,65,69,4,185,3,4,0,4,6,0.242,0.325,0.397,0.722,0.32,28.7,10.7
170,NYY,DH,Giancarlo Stanton,404.877551,459,87.42857143,47.87755102,13.53061224,0,26.02040816,59.32653061,67.65306122,48.91836735,0,140.5102041,2.081632653,3.12244898,0,0,0,0,0.216,0.301587302,0.442159383,0.743746685,0.254310345,30.6122449,10.65759637,417,459,97,50,20,0,27,49,72,38,2,143,2,2,0,0,0,0.233,0.298,0.475,0.773,0.281,31.2,8.3
171,OAK,2B,Zack Gelof,485.9228243,547,118.5615764,69.16091954,29.64039409,2.694581281,17.06568144,65.5681445,57.48440066,52.99343186,0,155.3875205,4.490968801,3.592775041,0,22.45484401,7.185550082,15.26929392,0.244,0.32183908,0.421441774,0.743280855,0.320113314,28.40722496,9.688013136,497,547,105,66,20,2,17,60,49,38,0,188,4,5,3,25,3,0.211,0.27,0.362,0.632,0.296,34.4,6.9
172,TEX,C,Jonah Heim,446.1973929,491,112.4636872,69.48975791,24.68715084,0.91433892,17.37243948,57.60335196,62.17504655,40.23091248,0,96.91992551,1.82867784,2.74301676,0,1.82867784,0,1.82867784,0.252,0.314711359,0.428278689,0.742990048,0.284153005,19.73929236,8.193668529,459,491,101,75,12,1,13,45,59,26,0,90,4,2,0,1,1,0.22,0.267,0.336,0.602,0.246,18.3,5.3
173,KCR,"3B, SS",Maikel Garcia,562.5681063,626,151.820598,108.1461794,24.95681063,5.199335548,13.51827243,79.02990033,60.31229236,55.11295681,0,128.9435216,3.119601329,5.199335548,0,28.07641196,9.358803987,18.71760797,0.27,0.335548173,0.404805915,0.740354088,0.325183374,20.59800664,8.803986711,575,626,133,94,27,5,7,84,58,42,0,103,0,5,4,37,2,0.231,0.281,0.332,0.614,0.268,16.5,6.7
174,TOR,DH,Justin Turner,479.2117647,539,124.1058824,84.24705882,23.55294118,0,16.30588235,61.6,64.31764706,45.29411765,0,96.92941176,9.058823529,5.435294118,0,2.717647059,0.905882353,1.811764706,0.259,0.331092437,0.41020794,0.741300376,0.290243902,17.98319328,8.403361345,460,539,119,84,24,0,11,59,55,59,2,95,13,7,0,0,2,0.259,0.354,0.383,0.737,0.299,17.6,10.9
175,WSN,OF,Lane Thomas,482.1955836,528,119.9242902,72.45425868,24.98422713,2.498422713,19.9873817,65.79179811,62.46056782,35.81072555,0,134.0820189,5.829652997,4.164037855,0,14.99053628,4.164037855,10.82649842,0.249,0.305993691,0.435233161,0.741226851,0.30075188,25.39432177,6.782334385,472,528,112,68,26,3,15,65,63,44,1,137,7,5,0,32,14,0.237,0.309,0.4,0.709,0.298,25.9,8.3
176,BAL,OF,Austin Hays,234.6,255,59.25714286,34.48571429,15.54285714,0.971428571,8.257142857,29.14285714,30.11428571,16.51428571,0,58.77142857,2.428571429,1.457142857,0,1.942857143,0.485714286,1.457142857,0.253,0.306666667,0.432712215,0.739378882,0.301724138,23.04761905,6.476190476,235,255,60,37,18,0,5,26,20,9,1,59,8,2,1,2,2,0.255,0.303,0.396,0.699,0.318,23.1,3.5
177,CLE,2B,Andres Gimenez,571.6429725,633,148.279483,98.17124394,28.63327948,5.113085622,16.36187399,82.83198708,69.53796446,36.81421648,0,118.6235864,21.47495961,3.067851373,0,28.63327948,6.135702746,22.49757674,0.259,0.326332795,0.413237925,0.73957072,0.3,18.73990307,5.815831987,583,633,147,115,22,1,9,64,63,26,1,97,15,6,3,30,5,0.252,0.298,0.34,0.638,0.286,15.3,4.1
178,TEX,OF,Leody Taveras,487.7661597,529,130.7414449,85.48479087,29.16539924,3.017110266,13.07414449,67.38212928,54.30798479,35.19961977,0,114.6501901,2.011406844,4.022813688,0,15.08555133,4.022813688,11.06273764,0.268,0.317490494,0.420618557,0.738109051,0.32320442,21.6730038,6.653992395,480,529,110,78,17,3,12,59,44,42,0,112,0,4,3,23,6,0.229,0.289,0.352,0.641,0.272,21.2,7.9
180,LAA,SS,Zach Neto,533.3782383,602,129.9654577,80.05872193,29.11226252,1.039723661,19.75474957,72.7806563,69.66148532,42.62867012,0,136.2037997,21.83419689,4.158894646,0,12.47668394,5.198618307,7.27806563,0.244,0.322970639,0.413255361,0.736226,0.288828338,22.62521589,7.081174439,542,602,135,77,34,1,23,70,77,39,1,140,16,1,4,30,10,0.249,0.318,0.443,0.761,0.295,23.3,6.5
181,CHC,"2B, SS",Nico Hoerner,580.7848485,641,163.1636364,122.3727273,27.19393939,4.856060606,8.740909091,83.52424242,62.15757576,47.58939394,0,74.78333333,9.712121212,2.913636364,0,35.93484848,6.798484848,29.13636364,0.281,0.343939394,0.389632107,0.733571501,0.308737864,11.66666667,7.424242424,582,641,159,116,35,1,7,86,48,44,1,66,12,3,0,31,6,0.273,0.335,0.373,0.708,0.297,10.3,6.9
184,NYY,SS,Anthony Volpe,615.2982172,689,147.4035656,87.10210697,32.38411669,5.583468395,22.33387358,92.68557536,75.93517018,61.41815235,0,177.554295,6.700162075,5.583468395,0,33.50081037,8.933549433,24.56726094,0.24,0.31280389,0.41923775,0.732041639,0.297082228,25.76985413,8.914100486,637,689,155,109,27,7,12,90,60,42,1,156,4,3,2,28,7,0.243,0.293,0.364,0.657,0.303,22.6,6.1
185,ATL,SS,Orlando Arcia,548.0421793,602,141.771529,95.21968366,27.50790861,1.057996485,17.98594025,71.94376098,71.94376098,47.60984183,0,115.3216169,3.173989455,3.173989455,0,2.11599297,0,2.11599297,0.259,0.319859402,0.411196911,0.731056314,0.296202532,19.15641476,7.908611599,551,602,120,79,24,0,17,50,46,41,1,128,2,7,1,2,0,0.218,0.271,0.354,0.625,0.249,21.3,6.8
186,BAL,SS,Jackson Holliday,181.9521179,208,45.96685083,31.79373849,8.044198895,1.532228361,4.596685083,25.28176796,20.30202578,23.74953959,0,48.64825046,1.149171271,1.149171271,0,5.745856354,3.064456722,2.681399632,0.253,0.340699816,0.389473684,0.7301735,0.318584071,23.38858195,11.41804788,190,208,36,25,4,2,5,28,23,15,0,69,2,1,0,4,0,0.189,0.255,0.311,0.565,0.265,33.2,7.2
188,MIL,OF,Sal Frelick,467.9524618,524,127.2190153,91.63327674,26.6893039,2.66893039,6.227504244,61.38539898,48.93039049,48.93039049,0,72.95076401,4.448217317,2.66893039,0,16.01358234,2.66893039,13.34465195,0.272,0.344651952,0.380228137,0.724880089,0.309090909,13.92190153,9.337860781,475,524,123,95,22,4,2,66,32,39,0,78,4,1,2,18,3,0.259,0.32,0.335,0.655,0.306,14.9,7.4
190,DET,"3B, 2B",Colt Keith,505.3522267,556,127.1821862,82.16194332,27.01214575,1.125506073,16.88259109,63.02834008,63.02834008,43.89473684,0,137.3117409,3.376518219,3.376518219,0,3.376518219,1.125506073,2.251012146,0.252,0.313765182,0.409799555,0.723564737,0.311111111,24.69635628,7.894736842,516,556,134,102,15,4,13,54,61,36,2,110,2,2,0,7,1,0.26,0.309,0.38,0.689,0.306,19.8,6.5
191,NYM,OF,Starling Marte,342.0477137,370,91.21272366,64.73161034,14.71172962,2.942345924,8.827037773,50.01988072,33.10139165,17.65407555,0,75.76540755,9.562624254,0.735586481,0,23.5387674,5.149105368,18.38966203,0.267,0.320079523,0.404301075,0.724380598,0.319088319,20.47713718,4.771371769,335,370,90,67,13,3,7,46,40,27,1,81,3,2,3,16,1,0.269,0.327,0.388,0.715,0.333,21.9,7.3
194,KCR,"C, 1B",Salvador Perez,610.8828829,652,155.0702703,103.3801802,25.84504505,0,25.84504505,71.66126126,93.98198198,23.4954955,0,151.5459459,11.74774775,5.873873874,0,0,0,0,0.254,0.291891892,0.423076923,0.714968815,0.294117647,23.24324324,3.603603604,590,652,160,105,28,0,27,58,104,44,9,129,11,6,0,0,0,0.271,0.33,0.456,0.786,0.302,19.8,6.7
195,BOS,OF,Ceddanne Rafaela,530.8927911,571,135.0979667,87.6025878,27.44177449,4.22181146,15.83179298,70.71534196,62.27171904,25.33086876,0,146.7079482,8.443622921,6.33271719,0,21.1090573,7.388170055,13.72088725,0.254,0.295748614,0.411530815,0.707279429,0.318309859,25.69316081,4.436229205,544,571,134,91,23,5,15,70,75,15,1,151,7,3,2,19,10,0.246,0.274,0.39,0.664,0.312,26.4,2.6
196,NYY,C,Austin Wells,372.0646552,414,86.54741379,53.53448276,19.62931034,0,13.38362069,48.18103448,48.18103448,34.79741379,0,100.8232759,4.461206897,2.676724138,0,3.568965517,0.892241379,2.676724138,0.233,0.30387931,0.393285372,0.697164682,0.280821918,24.35344828,8.405172414,354,414,81,49,18,1,13,42,55,47,0,87,5,7,1,1,2,0.229,0.322,0.395,0.718,0.261,21,11.4
197,TOR,OF,Daulton Varsho,462.6,513,104.4,63,21.6,1.8,18,64.8,60.3,41.4,0,121.5,4.5,4.5,0,17.1,3.6,13.5,0.226,0.292982456,0.39688716,0.689869616,0.263736264,23.68421053,8.070175439,459,513,98,52,21,7,18,73,58,48,1,137,4,1,1,10,2,0.214,0.293,0.407,0.7,0.262,26.7,9.4
