#,Team,Position,Name,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
63,MIN,OF,Matt Wallner,223.7142857,261,52.82142857,27.34285714,11.18571429,1.242857143,13.05,32.93571429,32.31428571,27.96428571,0,83.89285714,6.835714286,2.485714286,0,1.864285714,0.621428571,1.242857143,0.236,0.335714286,0.472222222,0.807936508,0.307692308,32.14285714,10.71428571,220,261,57,26,17,1,13,26,37,24,0,95,16,1,0,3,0,0.259,0.372,0.523,0.894,0.389,36.4,9.2
64,NYM,SS,Francisco Lindor,603.0014684,689,154.7973568,93.08076358,27.31718062,4.046989721,30.35242291,95.10425844,89.03377386,67.78707783,0,135.5741557,11.12922173,7.082232012,0,29.34067548,5.058737151,24.28193833,0.257,0.339207048,0.466442953,0.805650001,0.280182232,19.67694567,9.838472834,618,689,169,96,39,1,33,107,91,56,0,127,12,3,0,29,4,0.273,0.344,0.5,0.844,0.295,18.4,8.1
65,LAA,1B,Nolan Schanuel,510.0682171,607,143.9860465,106.3426357,22.58604651,0.941085271,14.11627907,77.16899225,56.46511628,83.75658915,0,96.93178295,10.35193798,2.823255814,0,1.882170543,0.941085271,0.941085271,0.282,0.392248062,0.413284133,0.805532195,0.323185012,15.96899225,13.79844961,519,607,130,98,19,0,13,62,54,68,0,103,9,7,3,10,1,0.25,0.343,0.362,0.706,0.285,17,11.2
66,MIA,OF,Jazz Chisholm Jr.,560.9419729,621,141.7369439,78.0754352,26.42553191,6.005802708,31.23017408,94.89168279,80.47775629,50.44874275,0,176.5705996,4.804642166,4.804642166,0,37.23597679,8.408123791,28.827853,0.253,0.3172147,0.488222698,0.805437398,0.308724832,28.43326886,8.123791103,562,621,144,95,21,4,24,74,73,53,5,152,4,2,0,40,10,0.256,0.324,0.436,0.76,0.309,24.5,8.5
67,SFG,OF,Jorge Soler,502.7661871,574,120.7877698,65.03956835,23.74460432,1.032374101,30.97122302,77.42805755,83.62230216,62.97482014,0,145.5647482,5.161870504,3.097122302,0,1.032374101,1.032374101,0,0.24,0.329136691,0.476386037,0.805522728,0.272727273,25.35971223,10.97122302,493,574,119,63,34,1,21,84,64,68,0,141,6,4,0,1,0,0.241,0.338,0.442,0.78,0.293,24.6,11.8
68,DET,OF,Riley Greene,526.6869712,584,146.2470389,90.91032149,32.60913706,4.940778342,17.78680203,75.0998308,64.23011844,49.40778342,0,153.1641286,4.940778342,2.964467005,0,10.86971235,2.964467005,7.905245347,0.278,0.343485618,0.459662289,0.803147907,0.358126722,26.22673435,8.460236887,512,584,134,77,27,6,24,82,74,64,3,156,5,2,0,4,2,0.262,0.348,0.479,0.827,0.329,26.7,11
69,STL,2B,Nolan Gorman,353.5480226,402,85.5480226,47.69491525,15.14124294,0.757062147,21.95480226,52.23728814,61.3220339,43.15254237,0,124.1581921,3.028248588,2.271186441,0,5.299435028,2.271186441,3.028248588,0.242,0.327683616,0.475374732,0.803058348,0.303249097,30.88512241,10.73446328,365,402,74,40,15,0,19,42,50,34,1,151,1,2,0,6,1,0.203,0.271,0.4,0.671,0.279,37.6,8.5
70,MIL,1B,Rhys Hoskins,445.4816667,517,107.7083333,58.59333333,24.12666667,0.861666667,24.12666667,67.21,72.38,61.17833333,0,126.665,6.893333333,3.446666667,0,1.723333333,0.861666667,0.861666667,0.242,0.34,0.462282398,0.802282398,0.280346821,24.5,11.83333333,449,517,96,56,14,0,26,59,82,53,1,149,7,6,0,3,0,0.214,0.303,0.419,0.722,0.25,28.8,10.3
71,MIN,2B,Edouard Julien,244.7332123,301,61.72958258,39.8784029,12.56442831,0.546279492,8.740471869,40.4246824,31.68421053,51.89655172,0,85.76588022,2.731397459,1.638838475,0,2.185117967,0.546279492,1.638838475,0.252,0.386569873,0.415178571,0.801748444,0.348920863,28.49364791,17.24137931,266,301,53,36,9,0,8,36,21,33,0,102,2,0,0,6,0,0.199,0.292,0.323,0.616,0.288,33.9,11
72,CIN,"3B, 1B",Jeimer Candelario,409.755,463,106.49,58.64666667,29.32333333,1.543333333,16.97666667,57.10333333,62.505,43.985,0,102.6316667,6.173333333,3.086666667,0,5.401666667,1.543333333,3.858333333,0.26,0.338333333,0.463276836,0.801610169,0.305263158,22.16666667,9.5,427,463,96,51,23,2,20,47,56,27,1,114,6,3,0,4,3,0.225,0.279,0.429,0.707,0.257,24.6,5.8
73,BOS,OF,Jarren Duran,673.0913978,735,185.7258065,101.4247312,57.95698925,6.586021505,19.75806452,105.3763441,80.34946237,48.73655914,0,169.9193548,7.903225806,5.268817204,0,44.78494624,6.586021505,38.19892473,0.276,0.329749104,0.469667319,0.799416423,0.339622642,23.11827957,6.630824373,671,735,191,108,48,14,21,111,75,54,1,160,6,3,1,34,7,0.285,0.342,0.492,0.834,0.345,21.8,7.3
74,CIN,SS,Elly De La Cruz,628.792144,696,158.3371522,87.71194763,28.47790507,10.25204583,31.89525368,103.6595745,86.57283142,59.23404255,0,214.1538462,3.417348609,4.556464812,0,52.39934534,12.53027823,39.8690671,0.252,0.317512275,0.481884058,0.799396333,0.326470588,30.76923077,8.510638298,618,696,160,89,36,10,25,105,76,69,2,218,6,1,2,67,16,0.259,0.339,0.471,0.809,0.359,31.3,9.9
75,PHI,3B,Alec Bohm,553.5943396,606,159.1226415,106.7169811,29.53773585,0.952830189,21.91509434,71.46226415,76.22641509,40.01886792,0,96.23584906,4.764150943,7.622641509,0,2.858490566,0.952830189,1.905660377,0.287,0.336477987,0.462994836,0.799472824,0.309677419,15.88050314,6.603773585,554,606,155,94,44,2,15,62,97,40,2,86,6,6,0,5,2,0.28,0.332,0.448,0.779,0.305,14.2,6.6
76,ARI,1B,Christian Walker,486.6646434,552,120.6191199,67.01062215,25.12898331,1.675265554,26.80424886,72.03641882,81.25037936,52.77086495,0,111.4051593,6.701062215,5.863429439,0,5.863429439,0.837632777,5.025796662,0.248,0.326251897,0.471600688,0.797852585,0.264775414,20.18209408,9.559939302,479,552,120,68,26,0,26,72,84,55,4,133,10,8,0,2,2,0.251,0.335,0.468,0.803,0.287,24.1,10
77,PIT,3B,Ke'Bryan Hayes,364.0129241,396,99.15993538,60.13570275,20.47172859,3.198707593,15.35379645,49.89983845,47.98061389,26.86914378,0,77.40872375,2.558966074,2.558966074,0,11.51534733,4.47819063,7.037156704,0.272,0.324717286,0.472759227,0.797476513,0.306074766,19.54765751,6.785137318,365,396,85,72,9,0,4,38,25,23,1,75,4,4,0,11,2,0.233,0.283,0.29,0.573,0.279,18.9,5.8
78,TEX,OF,Wyatt Langford,486.2871094,557,126.1953125,78.328125,23.93359375,3.263671875,20.66992188,73.9765625,69.625,62.00976563,0,124.0195313,5.439453125,3.263671875,0,25.02148438,7.615234375,17.40625,0.26,0.34765625,0.44966443,0.79732068,0.305993691,22.265625,11.1328125,499,557,126,81,25,4,16,74,74,51,3,115,4,3,0,19,3,0.253,0.325,0.415,0.74,0.296,20.6,9.2
79,TEX,2B,Marcus Semien,643.5854342,718,169.9467787,101.5658263,35.19607843,5.028011204,28.15686275,100.5602241,95.53221289,63.35294118,0,111.6218487,4.022408964,7.039215686,0,16.08963585,4.022408964,12.06722689,0.264,0.330532213,0.465625,0.796157213,0.277559055,15.54621849,8.823529412,650,718,154,102,27,2,23,101,74,64,2,105,3,1,0,8,3,0.237,0.308,0.391,0.699,0.25,14.6,8.9
80,LAA,C,Logan O'Hoppe,465.1089866,522,116.7762906,69.86615679,17.96558317,0.998087954,27.94646272,66.87189293,72.86042065,45.91204589,0,117.7743786,5.988527725,4.990439771,0,1.996175908,0.998087954,0.998087954,0.251,0.323135755,0.474248927,0.797384682,0.273846154,22.56214149,8.79541109,479,522,117,79,17,1,20,64,56,33,0,155,8,1,1,2,3,0.244,0.303,0.409,0.712,0.318,29.7,6.3
81,PHI,OF,Brandon Marsh,412.0162933,476,108.5784114,67.86150713,22.29735234,3.877800407,14.54175153,60.10590631,61.07535642,55.2586558,0,137.6619145,4.847250509,3.877800407,0,10.66395112,2.908350305,7.755600815,0.264,0.354378819,0.442352941,0.79673176,0.356617647,28.92057026,11.6089613,418,476,104,68,17,3,16,55,60,50,0,154,2,5,1,19,3,0.249,0.328,0.419,0.747,0.348,32.4,10.5
82,STL,3B,Nolan Arenado,579.1530945,635,154.0960912,91.00977199,33.09446254,2.068403909,27.92345277,78.59934853,93.0781759,44.47068404,0,97.21498371,5.171009772,6.205211726,0,4.136807818,3.102605863,1.034201954,0.266,0.320846906,0.475,0.795846906,0.274157303,15.30944625,7.003257329,578,635,157,118,23,0,16,70,71,44,2,92,5,7,0,2,2,0.272,0.325,0.394,0.719,0.296,14.5,6.9
83,CHC,OF,Ian Happ,565.4674923,657,142.3839009,83.39628483,32.54489164,2.034055728,24.40866873,84.41331269,78.31114551,80.34520124,0,151.5371517,6.102167183,5.085139319,0,11.1873065,4.068111455,7.119195046,0.252,0.348297214,0.446043165,0.794340379,0.298969072,23.06501548,12.22910217,569,657,138,77,34,2,25,89,86,80,1,168,6,2,0,13,2,0.243,0.341,0.441,0.782,0.299,25.6,12.2
86,ARI,OF,Lourdes Gurriel Jr.,510.3918033,553,138.7032787,81.59016393,33.54262295,1.813114754,21.75737705,69.80491803,76.15081967,33.54262295,0,100.6278689,5.439344262,3.626229508,0,4.532786885,1.813114754,2.719672131,0.272,0.321311475,0.472468917,0.793780392,0.298611111,18.19672131,6.06557377,513,553,143,101,22,2,18,72,75,29,1,101,6,5,0,7,1,0.279,0.322,0.435,0.757,0.313,18.3,5.2
88,HOU,3B,Alex Bregman,536.3886398,634,139.309417,88.13452915,31.2735426,0.947683109,18.95366218,85.29147982,75.81464873,82.44843049,0,77.71001495,9.476831091,5.686098655,0,1.895366218,0.947683109,0.947683109,0.26,0.364723468,0.427561837,0.792285305,0.270212766,12.25710015,13.0044843,581,634,151,93,30,2,26,79,75,44,1,86,5,4,0,3,1,0.26,0.315,0.453,0.768,0.264,13.6,6.9
89,ATL,2B,Ozzie Albies,396.9457014,435,103.0090498,59.04977376,20.99547511,3.280542986,19.68325792,61.67420814,59.70588235,29.52488688,0,72.1719457,3.936651584,4.592760181,0,9.841628959,1.312217195,8.529411765,0.26,0.31372549,0.47768595,0.791411441,0.269067797,16.59125189,6.787330317,399,435,100,60,29,1,10,52,53,27,0,65,5,4,0,8,1,0.251,0.303,0.404,0.707,0.274,14.9,6.2
90,BOS,OF,Tyler O'Neill,419.3403361,473,107.3193277,62.60294118,22.85504202,1.987394958,19.87394958,65.58403361,64.59033613,43.72268908,0,126.1995798,4.968487395,4.968487395,0,12.91806723,3.974789916,8.943277311,0.256,0.329831933,0.462085308,0.791917241,0.314285714,26.68067227,9.243697479,411,473,99,50,18,0,31,74,61,53,5,159,7,2,0,4,0,0.241,0.336,0.511,0.847,0.305,33.6,11.2
91,MIA,1B,Josh Bell,530.4873418,603,138.346519,86.82436709,27.6693038,0.954113924,22.89873418,71.5585443,75.375,64.87974684,0,124.0348101,3.816455696,3.816455696,0,0,0.954113924,-0.954113924,0.261,0.34335443,0.446043165,0.789397596,0.298029557,20.56962025,10.75949367,538,603,134,90,23,2,19,62,71,51,1,120,6,3,0,0,1,0.249,0.319,0.405,0.725,0.286,19.9,8.5
92,CHW,1B,Andrew Vaughn,559.3251634,619,149.6928105,94.06372549,30.34313725,1.011437908,24.2745098,71.8120915,74.84640523,45.51470588,0,116.3153595,10.11437908,4.045751634,0,1.011437908,0,1.011437908,0.268,0.331699346,0.455696203,0.787395549,0.296650718,18.79084967,7.352941176,570,619,140,90,30,1,19,55,70,38,0,132,6,5,0,2,0,0.246,0.297,0.402,0.699,0.285,21.3,6.1
94,MIN,SS,Carlos Correa,324.9821109,367,86.00536673,54.49194991,17.72629696,0.656529517,13.13059034,44.64400716,45.95706619,38.07871199,0,78.78354204,1.969588551,1.969588551,0,0,0,0,0.265,0.343470483,0.444444444,0.787914927,0.310055866,21.46690519,10.37567084,319,367,99,63,20,2,14,55,54,40,4,61,3,4,0,0,0,0.31,0.388,0.517,0.905,0.343,16.6,10.9
