#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
76,Brice Turang,MIL,151,584,651,151,109,25,2,14,84,71,58,1,134,1,4,3,29,6,23,0.258,0.324,0.379,0.703,0.31,20.50%,9.00%
77,James Wood,WSN,149,561,644,147,85,33,3,26,86,91,78,5,190,3,3,0,15,6,9,0.263,0.354,0.469,0.823,0.35,29.60%,12.00%
78,Taylor Ward,BAL,152,576,658,140,80,29,1,30,82,94,70,0,161,6,7,0,4,2,2,0.243,0.328,0.454,0.781,0.281,24.50%,10.60%
79,Bryson Stott,PHI,144,556,623,144,103,24,3,13,75,68,55,1,105,3,7,2,25,4,21,0.259,0.326,0.386,0.712,0.295,16.80%,8.80%
80,Josh Naylor,SEA,144,561,623,153,98,33,0,22,71,97,51,6,87,4,6,0,19,2,17,0.272,0.334,0.45,0.784,0.285,14.00%,8.20%
81,Carlos Correa,HOU,131,511,567,132,90,24,1,17,63,62,49,2,120,3,3,0,0,0,0,0.257,0.325,0.408,0.732,0.303,21.10%,8.70%
82,Ernie Clement,TOR,149,602,644,162,115,31,3,13,82,72,27,1,63,4,5,6,8,4,4,0.269,0.302,0.392,0.694,0.28,9.80%,4.20%
83,Kazuma Okamoto,TOR,130,491,560,123,71,26,0,26,66,93,57,7,105,9,3,0,1,1,0,0.251,0.337,0.463,0.801,0.268,18.80%,10.10%
84,Kyle Schwarber,PHI,159,577,686,129,63,21,1,44,100,112,99,5,200,7,3,0,7,2,5,0.223,0.342,0.493,0.835,0.252,29.10%,14.40%
85,Jacob Wilson,ATH,143,571,616,165,117,34,1,12,76,85,32,1,45,9,2,2,5,2,3,0.289,0.335,0.418,0.753,0.296,7.40%,5.20%
86,Ivan Herrera,STL,141,520,601,142,97,26,1,18,75,78,63,1,118,12,5,0,10,3,7,0.274,0.362,0.433,0.795,0.319,19.60%,10.60%
87,Brenton Doyle,COL,138,550,595,137,90,25,3,19,73,72,36,0,158,2,5,2,20,3,17,0.25,0.297,0.413,0.71,0.313,26.50%,6.10%
88,Yandy Diaz,TBR,151,579,651,171,122,30,0,19,78,82,61,2,92,7,4,0,2,1,1,0.296,0.368,0.446,0.814,0.323,14.20%,9.40%
89,J.T. Realmuto,PHI,126,454,500,117,75,23,3,15,58,58,34,1,122,9,3,0,8,2,6,0.257,0.319,0.423,0.742,0.317,24.40%,6.70%
90,Matt McLain,CIN,143,543,616,129,83,25,2,18,79,69,60,0,171,8,3,2,19,3,16,0.237,0.319,0.392,0.712,0.309,27.80%,9.70%
91,Luis Robert Jr.,NYM,131,516,567,123,78,23,0,22,71,83,42,4,153,6,2,0,29,7,22,0.238,0.302,0.409,0.711,0.295,27.00%,7.40%
92,Konnor Griffin,PIT,109,422,469,110,77,20,2,11,80,60,28,1,121,15,2,2,25,8,17,0.261,0.328,0.398,0.726,0.339,25.70%,5.90%
