#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
42,Shawn Armstrong,CLE,2,2,4.14,64,0,3,16,,67.1,284,62,33,31,8,21,1,4,66,8.86,2.78,1.24,23.30%,7.30%
43,Bryan King,HOU,3,2,3.67,64,0,0,17,,64,271,56,28,26,6,24,1,3,63,8.85,3.34,1.24,23.30%,8.80%
44,Ryan Walker,SFG,3,2,4.03,60,0,24,5,,62,266,59,30,28,6,21,1,4,62,8.95,3.05,1.29,23.30%,7.90%
45,Andrew Nardi,MIA,2,2,3.65,53,0,1,10,,51.2,216,43,23,21,6,19,1,2,61,10.63,3.32,1.19,28.30%,8.80%
46,Ryan Helsley,BAL,3,2,3.82,61,0,29,4,,63.1,266,54,29,27,8,22,1,2,65,9.18,3.13,1.21,24.40%,8.30%
47,Blake Treinen,LAD,3,1,3.91,59,0,1,14,,59,248,52,28,26,7,20,1,3,61,9.38,3.05,1.22,24.80%,8.10%
48,Camilo Doval,NYY,3,2,3.61,62,0,5,14,,63,268,52,27,25,5,28,2,4,66,9.38,4.05,1.27,24.60%,10.60%
49,Jason Adam,SDP,2,1,3.46,49,0,1,15,,50.1,206,39,21,19,5,17,1,3,52,9.23,3.02,1.11,25.00%,8.20%
50,Angel Zerpa,MIL,3,2,3.49,58,0,0,12,,60,250,53,25,23,6,18,1,2,51,7.69,2.73,1.19,20.60%,7.30%
51,Jose Alvarado,PHI,2,1,3.79,55,0,4,12,,56.2,240,50,26,24,5,23,1,3,59,9.34,3.68,1.29,24.40%,9.60%
52,Caleb Thielbar,CHC,3,2,3.87,63,0,2,15,,61,254,52,28,26,8,21,1,2,61,8.99,3.03,1.19,24.00%,8.10%
53,Edwin Uceta,TBR,3,2,4.11,63,0,12,11,,68.1,290,57,33,31,10,27,2,4,83,11,3.61,1.24,28.70%,9.40%
54,Tyler Holton,DET,3,2,3.56,61,1,1,14,,68,278,59,29,27,8,17,1,2,54,7.12,2.21,1.12,19.30%,6.00%
55,Jack Dreyer,LAD,3,1,3.61,48,0,1,12,,50.2,211,42,22,20,5,18,2,2,50,8.96,3.19,1.19,23.90%,8.50%
56,Eduard Bazardo,SEA,3,2,3.94,60,0,0,14,,63.1,266,54,30,28,8,22,1,3,66,9.32,3.06,1.2,24.70%,8.10%
57,Trevor Megill,MIL,3,2,4.22,61,0,20,9,,64,272,57,32,30,9,23,2,3,76,10.66,3.23,1.25,27.80%,8.40%
58,Gordon Graceffo,STL,2,2,4.1,51,0,0,12,,61,260,58,30,28,6,20,2,2,52,7.6,2.88,1.27,19.80%,7.50%
59,Porter Hodge,CHC,2,1,3.48,42,0,1,5,,44.1,187,34,18,17,4,21,1,3,50,10.23,4.34,1.25,26.90%,11.40%
60,Tanner Scott,LAD,3,1,3.87,62,0,5,15,,64.1,276,56,30,28,6,28,1,3,68,9.47,3.93,1.31,24.60%,10.20%
61,JoJo Romero,STL,3,2,3.8,63,0,12,9,,63.2,269,59,29,27,6,23,1,3,56,7.9,3.28,1.29,20.70%,8.60%
62,Justin Bruihl,STL,2,1,3.7,48,0,0,10,,48.1,205,43,21,20,4,18,2,3,45,8.45,3.33,1.26,22.20%,8.80%
63,Gregory Soto,PIT,3,2,3.99,62,0,4,14,,60.1,261,55,29,27,5,26,1,4,60,8.95,3.94,1.35,23.00%,10.10%
64,Bryan Baker,TBR,3,2,4.1,61,0,1,12,,63.1,268,55,31,29,9,24,1,3,71,10.03,3.34,1.23,26.40%,8.80%
65,Brusdar Graterol,LAD,2,1,3.26,40,0,0,5,,40.1,166,37,16,15,2,9,1,2,29,6.4,2.12,1.16,17.20%,5.70%
66,Hunter Harvey,CHC,2,2,3.94,50,0,4,13,,52,216,47,24,23,6,15,1,2,52,9.07,2.52,1.19,24.20%,6.70%
67,Ryan Thompson,ARI,2,2,4.2,60,0,5,16,,62,264,62,31,29,6,18,2,3,50,7.19,2.58,1.29,18.80%,6.70%
