#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
381,Leody Taveras,BAL,23,77,85,18,12,3,0,2,10,9,6,0,18,0,1,1,4,1,3,0.233,0.283,0.361,0.645,0.276,21.80%,6.70%
382,Christian Koss,SFG,30,99,107,23,17,5,0,2,12,10,5,0,25,2,0,1,2,1,1,0.236,0.286,0.343,0.629,0.298,23.50%,5.10%
383,Jesse Winker,,72,237,277,55,37,10,1,7,32,29,34,1,62,3,2,1,4,1,3,0.234,0.337,0.376,0.713,0.284,22.30%,12.40%
384,Ryan Kreidler,MIN,24,72,82,14,9,3,0,1,8,6,8,0,26,1,1,1,2,1,1,0.192,0.28,0.296,0.576,0.278,31.90%,9.50%
385,Kristian Campbell,BOS,32,112,127,27,19,5,0,3,14,13,12,0,33,2,0,0,2,1,1,0.243,0.325,0.369,0.694,0.317,25.80%,9.30%
386,Tommy Pham,,78,283,316,68,46,13,1,8,36,33,29,1,71,2,3,0,5,2,3,0.241,0.312,0.379,0.691,0.292,22.60%,9.10%
387,Luis Urias,,35,115,131,26,18,5,0,3,14,13,12,0,25,3,1,0,1,0,1,0.223,0.312,0.351,0.663,0.255,19.00%,9.20%
388,Reese McGuire,MIL,18,62,68,14,11,2,0,1,6,7,4,0,16,0,0,0,0,0,0,0.221,0.272,0.315,0.586,0.273,23.40%,6.20%
389,Mike Tauchman,NYM,40,139,160,32,22,6,0,4,19,15,19,0,37,2,0,0,1,0,1,0.233,0.331,0.363,0.694,0.289,23.00%,11.70%
390,Otto Kemp,PHI,62,213,238,50,31,11,1,7,29,28,16,1,68,7,2,0,4,2,2,0.234,0.308,0.393,0.701,0.306,28.50%,6.90%
391,Daniel Susac,SFG,22,78,84,18,12,3,0,2,8,9,5,0,24,1,1,0,1,0,1,0.226,0.274,0.347,0.621,0.299,29.00%,5.30%
392,Leo Jimenez,TOR,35,104,119,24,16,5,0,3,13,11,9,0,27,4,1,1,1,0,1,0.23,0.309,0.358,0.667,0.28,22.90%,7.40%
393,Jose Iglesias,,46,150,163,38,29,7,0,2,16,15,9,0,28,2,1,1,2,1,1,0.254,0.303,0.343,0.646,0.299,17.00%,5.20%
394,Johnathan Rodriguez,CLE,52,173,191,41,27,8,1,6,21,22,16,0,54,1,1,0,1,1,0,0.237,0.304,0.388,0.693,0.31,28.40%,8.40%
395,Jonny DeLuca,TBR,73,255,279,58,39,11,2,6,30,28,19,1,59,3,1,1,10,2,8,0.228,0.288,0.363,0.651,0.272,21.20%,6.70%
396,Michael Conforto,,77,260,298,58,36,12,0,10,33,33,31,1,73,4,2,0,1,0,1,0.223,0.313,0.38,0.693,0.269,24.60%,10.40%
397,Andrew Knizner,SEA,31,98,110,21,15,4,0,2,11,10,8,0,23,2,1,0,0,0,0,0.214,0.285,0.314,0.599,0.258,21.30%,7.10%
398,Luke Maile,KCR,30,84,95,18,12,4,0,2,9,9,8,0,27,1,0,2,1,0,1,0.213,0.292,0.323,0.615,0.288,28.00%,8.70%
399,James Outman,MIN,58,185,209,38,22,8,1,7,25,22,19,0,73,3,1,0,4,1,3,0.203,0.288,0.364,0.653,0.289,34.80%,9.30%
400,Cody Freeman,TEX,48,173,187,41,28,8,0,4,20,20,10,0,30,1,2,1,3,1,2,0.237,0.282,0.36,0.642,0.262,16.10%,5.60%
401,Orlando Arcia,MIN,39,130,141,29,20,6,0,3,13,14,9,0,30,1,1,0,0,0,0,0.223,0.276,0.344,0.62,0.261,21.20%,6.70%
402,Michael Helman,TEX,43,138,151,29,19,7,0,4,17,15,9,0,35,2,1,1,4,1,3,0.21,0.265,0.34,0.605,0.253,23.40%,5.90%
403,Jon Berti,,46,143,158,34,26,6,1,2,18,12,12,0,34,2,1,1,9,2,7,0.239,0.302,0.329,0.631,0.297,21.20%,7.30%
404,Austin Hedges,CLE,42,126,142,24,16,4,0,3,12,12,11,0,37,1,1,3,1,1,0,0.188,0.259,0.296,0.554,0.235,26.20%,7.80%
405,Sebastian Walcott,TEX,20,75,82,17,11,4,0,2,9,8,6,0,20,1,0,0,2,0,2,0.228,0.29,0.352,0.641,0.286,24.20%,7.60%
406,Tim Tawa,ARI,50,168,186,37,24,8,1,5,20,19,14,0,48,1,1,1,4,1,3,0.222,0.286,0.366,0.652,0.278,26.00%,7.80%
407,Dominic Keegan,TBR,17,60,66,13,9,3,0,2,7,7,5,0,18,1,1,0,0,0,0,0.225,0.287,0.365,0.651,0.288,27.70%,7.30%
408,Jacob Melton,TBR,43,134,147,29,19,6,0,4,17,15,11,0,41,1,1,0,8,2,6,0.217,0.279,0.347,0.626,0.281,27.80%,7.30%
409,Johan Rojas,PHI,48,155,170,36,27,7,1,2,19,14,9,0,37,1,1,3,9,2,7,0.235,0.282,0.335,0.617,0.294,21.80%,5.40%
410,Gabriel Rincones Jr.,PHI,10,33,37,7,5,1,0,1,4,4,4,0,10,0,0,0,1,0,1,0.218,0.299,0.358,0.658,0.279,27.10%,9.90%
411,Jake Bauers,MIL,87,272,313,57,34,11,1,12,36,38,37,1,93,2,2,0,8,2,6,0.211,0.308,0.386,0.695,0.271,29.80%,11.70%
412,Michael Siani,LAD,8,19,21,4,3,1,0,0,3,2,2,0,6,0,0,0,1,0,1,0.205,0.278,0.261,0.538,0.288,27.70%,8.80%
413,Everson Pereira,CHW,57,197,219,43,26,8,1,8,27,25,18,0,69,3,1,0,4,1,3,0.219,0.291,0.39,0.68,0.29,31.60%,8.20%
414,Tom Murphy,,20,69,76,15,10,3,0,3,8,9,6,0,22,0,1,0,0,0,0,0.223,0.289,0.379,0.669,0.282,28.50%,8.40%
415,Esteury Ruiz,MIA,27,76,85,18,12,4,1,2,11,8,7,0,20,2,0,0,8,2,6,0.234,0.309,0.364,0.674,0.297,24.00%,7.80%
416,Vidal Brujan,NYM,12,33,37,7,6,2,0,0,4,3,3,0,8,0,0,0,1,0,1,0.222,0.285,0.298,0.583,0.281,21.40%,7.60%
417,Enmanuel Valdez,PIT,7,22,25,5,3,1,0,1,3,3,2,0,5,0,0,0,0,0,0,0.233,0.303,0.365,0.668,0.282,21.60%,9.00%
418,Nick Yorke,PIT,35,124,136,31,22,6,0,2,15,13,9,0,31,1,1,0,3,1,2,0.246,0.301,0.354,0.655,0.306,22.60%,6.90%
419,Garrett Stubbs,PHI,18,27,30,6,4,1,0,0,3,3,2,0,7,0,0,0,0,0,0,0.213,0.281,0.296,0.577,0.27,22.40%,7.70%
420,Starling Marte,,62,224,247,57,41,10,1,6,29,25,15,0,53,4,2,1,7,2,5,0.255,0.313,0.383,0.696,0.308,21.50%,6.30%
421,Ryan Bliss,SEA,27,87,97,19,13,4,0,2,11,9,8,0,26,1,0,0,5,2,3,0.216,0.287,0.338,0.625,0.281,26.60%,7.80%
422,Tristan Gray,MIN,20,66,72,14,8,3,0,2,8,8,5,0,21,1,1,0,0,0,0,0.21,0.265,0.356,0.621,0.267,28.60%,6.30%
423,Robert Hassell III,WSN,68,233,254,55,41,10,0,5,26,24,18,0,64,1,1,1,6,1,5,0.237,0.294,0.342,0.636,0.306,25.00%,7.00%
424,Kameron Misner,KCR,18,58,66,12,8,3,0,2,7,6,7,0,21,0,0,0,2,0,2,0.205,0.289,0.335,0.624,0.292,32.70%,10.30%
425,Ryan Clifford,NYM,12,41,46,8,6,1,0,1,6,6,5,0,14,0,0,0,0,0,0,0.208,0.301,0.325,0.626,0.282,29.90%,11.40%
426,Oswald Peraza,LAA,61,199,218,42,29,7,0,6,24,21,15,0,58,3,1,0,7,2,5,0.214,0.279,0.34,0.618,0.27,26.60%,7.10%
427,Eli White,ATL,29,94,103,22,15,4,1,3,13,11,6,0,28,1,0,0,4,1,3,0.233,0.291,0.371,0.662,0.301,27.40%,6.30%
428,Gio Urshela,MIN,27,93,101,24,17,5,0,2,9,10,6,0,19,0,1,0,0,0,0,0.255,0.299,0.373,0.672,0.299,19.00%,6.10%
429,Tyler Callihan,CIN,25,67,74,15,10,3,0,2,8,7,6,0,20,0,0,0,2,0,2,0.222,0.284,0.351,0.635,0.289,27.50%,7.70%
430,Derek Hill,CHW,34,113,124,26,18,5,0,3,14,12,7,0,36,1,1,1,4,1,3,0.232,0.284,0.361,0.645,0.307,28.50%,5.90%
431,Justyn-Henry Malloy,TBR,57,179,207,42,29,9,0,5,24,23,24,0,58,3,2,0,1,0,1,0.237,0.335,0.366,0.701,0.32,28.00%,11.80%
432,Alejandro Osuna,TEX,24,76,86,18,13,4,0,1,10,8,8,0,19,1,0,0,3,1,2,0.236,0.314,0.342,0.656,0.293,21.60%,8.80%
433,Tommy Troy,ARI,10,36,40,9,6,2,0,1,5,4,3,0,9,0,0,0,1,0,1,0.237,0.3,0.355,0.655,0.289,21.40%,7.90%
434,Carlos Cortes,ATH,43,137,151,32,20,7,0,4,17,17,12,0,33,1,1,0,1,0,1,0.233,0.295,0.388,0.683,0.272,21.80%,7.80%
435,George Valera,CLE,93,319,358,71,45,13,1,11,40,38,35,0,99,2,2,1,2,1,1,0.222,0.3,0.373,0.673,0.283,27.70%,9.70%
436,Kyren Paris,LAA,21,69,77,14,8,3,0,2,9,7,7,0,26,1,0,0,3,1,2,0.201,0.279,0.354,0.633,0.282,33.90%,9.00%
437,Eloy Jimenez,TOR,12,38,42,9,6,2,0,1,4,5,3,0,8,0,0,0,0,0,0,0.247,0.302,0.39,0.692,0.283,20.20%,6.90%
438,Jeferson Quero,MIL,7,23,24,5,4,1,0,0,3,3,2,0,5,0,0,0,0,0,0,0.236,0.291,0.331,0.622,0.28,19.10%,6.90%
439,Enrique Hernandez,LAD,51,174,190,39,25,8,0,6,22,23,13,0,46,1,2,1,1,0,1,0.224,0.278,0.371,0.649,0.265,23.90%,6.90%
440,Dylan Moore,PHI,34,103,117,21,12,5,0,4,15,13,11,0,35,2,0,0,6,2,4,0.204,0.294,0.365,0.659,0.268,30.00%,9.40%
441,Shane McGuire,ATH,7,24,27,5,4,1,0,0,3,2,3,0,7,0,0,0,0,0,0,0.213,0.295,0.284,0.579,0.284,25.30%,10.00%
442,Nate Eaton,BOS,24,75,82,17,12,4,0,1,9,8,5,0,20,1,0,0,3,1,2,0.225,0.284,0.332,0.615,0.29,25.00%,6.30%
443,Isiah Kiner-Falefa,BOS,54,194,209,49,38,8,1,2,22,18,10,0,35,2,1,2,6,2,4,0.25,0.292,0.332,0.625,0.294,16.80%,4.60%
444,Jahmai Jones,DET,43,121,139,29,18,6,1,4,18,15,14,0,34,3,1,1,3,1,2,0.238,0.327,0.403,0.73,0.298,24.80%,9.80%
445,Willie MacIver,TEX,9,30,33,7,4,2,0,0,3,3,2,0,9,0,0,0,0,0,0,0.218,0.281,0.325,0.606,0.292,27.00%,7.20%
446,Masataka Yoshida,BOS,51,188,208,51,36,10,0,5,23,26,15,0,27,3,2,0,2,0,2,0.272,0.334,0.402,0.736,0.295,13.10%,7.10%
447,Alex Verdugo,,48,180,198,45,31,9,0,4,22,19,15,0,31,1,1,0,1,0,1,0.249,0.309,0.366,0.675,0.279,15.40%,7.60%
448,Kevin Newman,KCR,8,24,25,6,4,1,0,0,3,2,1,0,4,0,0,0,0,0,0,0.238,0.281,0.315,0.595,0.286,17.30%,5.40%
449,Mason McCoy,SDP,23,61,66,12,9,2,0,1,7,5,5,0,21,0,0,0,2,0,2,0.198,0.26,0.281,0.541,0.287,31.40%,7.30%
450,Ben Cowles,TOR,6,19,20,4,3,1,0,0,2,2,1,0,6,0,0,0,0,0,0,0.221,0.278,0.32,0.598,0.306,28.60%,6.90%
