#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_K%,real_BB%,avg_hit_angle,anglesweetspotpercent,ev50,fbld,ev95percent,brl_percent,Adj_BRL%,Optimal_Pulled_Flyball%,Adj_OPFB,95%_EV,Adj_LA,Adj_95EV,Adj_LA_95%_EV,O-Swing%,Adj_O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
64,Cedric Mullins,BAL,146,409.864,455,104.104,66.976,21.112,2.912,13.104,61.152,43.68,34.216,0.728,85.904,5.096,2.912,3.64,21.84,5.824,16.016,0.255,0.317230274,0.415630551,18.88,7.52,404,455,94,53,23,3,15,51,74,43,1,101,1,4,3,19,3,16,0.233,0.305,0.416,22.2,9.5,17.4,29.1,98.9,91.3,37.3,4.9,18.49056604,7.959183673,43.75420192,106.91,73.4392,40.0218896,2939.175555,34.2,50.347276,71.7,50.7,72.3,86.4,81,43.8,59.5,9.6,14.8,24.3
65,Tim Anderson,CHW,132,493.0694444,524,142.8263889,104.6180556,24.5625,0.909722222,11.82638889,73.6875,50.03472222,21.83333333,0.909722222,99.15972222,4.548611111,1.819444444,1.819444444,16.375,4.548611111,11.82638889,0.29,0.32460733,0.413284133,18.92361111,4.166666667,493,524,121,100,18,2,1,52,25,26,0,122,3,2,0,13,2,11,0.245,0.286,0.296,23.3,5,3.3,37.5,99,92.7,41.2,5.8,21.88679245,1.090909091,1.20E-05,106.22,14.6845,36.2596232,532.4544369,44.4,14.930632,77.3,57.8,69.4,88.1,79.6,40.8,65,11.8,12.2,24
67,Steven Kwan,CLE,141,635.0627063,718,180.0924092,133.8844884,31.99009901,5.924092409,8.293729373,97.15511551,63.98019802,66.34983498,1.184818482,72.27392739,7.108910891,4.739273927,4.739273927,18.95709571,4.739273927,14.21782178,0.284,0.355481728,0.391791045,10.0660066,9.240924092,638,718,171,123,36,7,5,93,54,70,2,75,3,6,1,21,3,18,0.268,0.34,0.37,10.4,9.7,11.8,34.6,94.2,87.4,20.8,1.4,5.283018868,5.405405405,27.48541447,101.87,50.104,12.5409872,628.3536227,23.3,88.194474,55.3,37.7,85,95.4,91.9,45,58.9,3.1,24.5,27.6
68,Kyle Schwarber,PHI,143,617.3114754,720,141.6393443,69.63934426,23.60655738,2.360655738,46.03278689,107.4098361,105.0491803,90.8852459,2.360655738,206.557377,7.081967213,3.540983607,1.180327869,7.081967213,2.360655738,4.721311475,0.23,0.333333333,0.499043977,28.68852459,12.62295082,585,720,115,48,19,1,47,108,104,126,5,215,6,3,0,0,2,-2,0.197,0.343,0.474,29.9,17.5,19.2,35.4,104.8,99.3,54.4,20.1,75.84905661,9.595959596,54.18124641,112.37,80.9398,69.7928672,5649.020713,25,82.2917,62.1,40.3,58.3,81,72.8,41.3,59.5,11,19.4,30.4
69,Nico Hoerner,CHC,137,627.5842294,688,175.0824373,128.2293907,30.82437276,4.931899642,11.09677419,83.84229391,66.58064516,44.38709677,3.698924731,87.54121864,8.630824373,4.931899642,2.465949821,23.4265233,6.164874552,17.26164875,0.278,0.332733813,0.396856582,12.72401434,6.451612903,619,688,175,135,27,4,9,98,68,49,0,83,14,5,1,43,7,36,0.283,0.346,0.383,12.1,7.1,10.6,32.4,97.7,89.8,33.5,2.6,9.811320756,8.114558473,44.74401362,106,45.1036,35.06006,1581.334922,36.2,43.402836,67.1,49.1,77,93.9,86.6,41.6,64.8,6.6,18.1,24.6
70,Brandon Lowe,TBR,126,383.2514178,436,91.48582231,50.27599244,19.78071834,1.648393195,19.78071834,56.04536862,59.34215501,43.68241966,0.824196597,107.9697543,5.769376181,2.472589792,0.824196597,3.296786389,0.824196597,2.472589792,0.24,0.323863636,0.453763441,24.7637051,10.01890359,377,436,87,50,15,1,21,58,68,50,0,119,6,3,0,7,0,7,0.231,0.328,0.443,27.3,11.5,16.6,35.4,99.9,94,38.9,10.3,38.86792453,6.145251397,32.19858685,109.05,70.1056,51.690368,3623.784263,34.3,50.000054,79,53.1,49.2,78.4,67.5,42.1,61.7,17.2,10.3,27.5
71,Gleyber Torres,NYY,138,605.8445596,672,155.5233161,99.8134715,29.01554404,1.160621762,24.37305699,85.88601036,82.40414508,55.70984456,2.321243523,142.7564767,4.642487047,4.642487047,2.321243523,13.92746114,4.642487047,9.284974093,0.257,0.321799308,0.427203065,21.24352332,8.29015544,596,672,163,108,28,2,25,90,68,67,0,98,3,6,0,13,6,7,0.273,0.347,0.453,14.6,10,17.5,36.2,100.5,94.6,45.3,10.7,40.37735849,7.524271845,40.98360583,108.13,73.8559,46.6740128,3447.151222,31.5,59.72227,74.9,49.4,62,82.4,74.8,41.3,64.2,12.4,14.3,26.8
73,Jeff McNeil,NYM,142,585.8630137,648,168.6575342,120.9452055,35.50684932,2.219178082,11.09589041,74.34246575,69.90410959,44.38356164,1.109589041,76.56164384,11.09589041,5.547945205,1.109589041,4.438356164,1.109589041,3.328767123,0.288,0.346483705,0.414772727,11.81506849,6.849315068,585,648,158,119,25,4,10,75,55,39,0,65,18,3,3,10,0,10,0.27,0.333,0.378,10,6,12.8,39,96.3,89.9,30.2,2.7,10.18867925,6.412825651,33.90316266,103.44,54.271,21.1015064,1145.199854,33.8,51.736164,78.9,53.3,79.5,89.6,86,43.3,59.4,7.5,11.5,19
74,Eugenio Suarez,SEA,145,605.5264901,694,130.986755,72.38741722,22.98013245,1.149006623,33.32119205,82.72847682,93.06953642,74.68543046,1.149006623,210.2682119,8.043046358,5.745033113,0,1.149006623,0,1.149006623,0.216,0.30794702,0.421252372,30.29801325,10.7615894,598,694,139,88,29,0,22,68,96,70,0,214,15,11,0,2,1,1,0.232,0.323,0.391,30.8,10.1,19.9,36.4,100.7,94.5,43.5,14.8,55.84905661,10.86350975,62.25614637,109.22,83.8567,52.6173032,4412.313409,24.7,83.333366,65.8,41.8,49.7,79.8,69.4,41.6,60.9,12.8,18.5,31.3
75,Jean Segura,MIA,128,296.6966292,326,81.19475655,59.82771536,13.43071161,1.220973783,6.715355805,37.23970037,32.35580524,21.97752809,0.610486891,50.05992509,4.883895131,1.831460674,1.220973783,7.325842697,2.441947566,4.883895131,0.273,0.332082552,0.395061728,15.35580524,6.741573034,301,326,66,56,5,2,3,25,21,22,1,47,2,0,1,6,2,4,0.219,0.277,0.279,14.4,6.7,4.3,28.3,99.5,91.9,38.4,4.4,16.60377359,4.430379747,21.27403528,108.14,18.8515,46.7285384,880.9030416,37.5,38.88895,66.1,48.6,75.4,90.1,83.2,39,62.3,8.2,18.3,26.5
76,Nathaniel Lowe,TEX,146,645.7937807,724,175.3715221,114.9394435,30.80851064,2.369885434,27.25368249,88.87070376,90.05564648,69.91162029,2.369885434,170.6317512,4.739770867,3.554828151,0,4.739770867,1.184942717,3.554828151,0.272,0.345335516,0.453211009,23.56792144,9.656301146,623,724,163,105,38,3,17,89,82,93,2,165,5,3,0,1,0,1,0.262,0.36,0.414,22.8,12.8,8.2,34.1,102,93.5,44.8,9.9,37.35849057,5.168539326,25.9764644,110.49,35.1028,59.5420544,2090.092827,34.9,47.916722,75,52.2,65.9,86.7,78.8,43.1,62.6,11.1,13.1,24.2
