#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_K%,real_BB%,avg_hit_angle,anglesweetspotpercent,ev50,fbld,ev95percent,brl_percent,Adj_BRL%,Optimal_Pulled_Flyball%,Adj_OPFB,95%_EV,Adj_LA,Adj_95EV,Adj_LA_95%_EV,O-Swing%,Adj_O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%
91,William Contreras,MIL,119,546.2754237,611,135.9216102,84.14194915,24.59533898,1.294491525,27.18432203,72.49152542,77.66949153,55.66313559,1.294491525,163.1059322,5.177966102,2.588983051,0,2.588983051,1.294491525,1.294491525,0.25,0.322717622,0.450236967,26.69491525,9.110169492,540,611,156,100,38,1,17,86,78,63,2,126,5,2,1,6,1,5,0.289,0.367,0.457,20.6,10.3,6.1,31.9,102.3,97.2,46.6,13.4,50.56603774,4.310344828,20.50935551,111.55,26.3521,65.321768,1721.365763,30.8,62.152824,65.3,44.4,55.7,77.5,68.4,39.7,61.7,14,17.8,31.8
92,Harrison Bader,NYY,129,312.3600783,344,76.74363992,49.81604697,14.81017613,2.019569472,10.09784736,40.39138943,36.35225049,23.56164384,0.673189824,76.0704501,5.385518591,2.019569472,0.673189824,13.46379648,3.365949119,10.09784736,0.245,0.307843137,0.403017241,22.11350294,6.849315068,319,344,74,53,12,2,7,44,40,17,0,59,3,4,1,20,3,17,0.232,0.274,0.348,17.2,4.9,16.7,28.4,96.2,87.7,26.3,3.4,12.83018868,5.394190871,27.41397253,106.9,70.5223,39.967364,2818.590434,37.3,39.583394,63.7,47.5,66.8,90.4,79.1,38.8,58.8,9.9,17.5,27.5
93,Riley Greene,DET,137,371.7598628,416,93.47512864,63.50600343,17.12521441,3.567753002,9.276157804,47.80789022,42.81303602,37.10463122,0.7135506,110.6003431,3.567753002,2.854202401,0.7135506,4.281303602,2.140651801,2.140651801,0.252,0.323024055,0.391554702,26.58662093,8.919382504,378,416,109,75,19,4,11,51,37,35,0,114,1,2,0,7,0,7,0.288,0.349,0.447,27.4,8.4,2.8,32,102.1,95.6,45.2,9.3,35.09433963,3.018867925,12.28203073,110.64,12.601,60.3599384,760.5955838,31.2,60.763936,65.4,45.3,65.3,87.1,78.3,41.3,61.2,9.8,18.2,28.1
94,Eloy Jimenez,CHW,137,443.9946903,489,122.0336283,75.29734513,21.63716814,0.865486726,24.23362832,60.5840708,73.56637168,37.2159292,0.865486726,112.5132743,3.461946903,3.461946903,0,0,0,0,0.274,0.333333333,0.49122807,23.00884956,7.610619469,456,489,124,83,23,0,18,50,64,30,2,93,1,2,0,0,0,0,0.272,0.317,0.441,19,6.1,7.4,31.7,103.5,97.6,54.9,14.7,55.47169812,6.696428571,35.70984873,111.74,31.7692,66.3577544,2108.132771,35.5,45.83339,73.1,49.8,62.2,78.7,71.4,38.1,63.3,14.3,13.5,27.8
95,Cal Raleigh,SEA,120,513.7328918,569,111.790287,54.01103753,26.37748344,1.25607064,30.14569536,64.05960265,77.87637969,43.96247241,1.25607064,160.7770419,5.024282561,5.024282561,1.25607064,2.51214128,1.25607064,1.25607064,0.218,0.283185841,0.449877751,28.25607064,7.726269316,513,569,119,65,23,1,30,78,75,54,1,158,1,1,0,0,0,0,0.232,0.306,0.456,27.8,9.5,22.5,36,101.2,94.8,43.5,15.4,58.11320755,13.84615385,81.25701403,110.46,94.6909,59.3784776,5622.601485,36,44.09728,78.4,52.4,59,79.2,70.7,38.9,63.1,15.3,11.1,26.4
96,J.P. Crawford,SEA,146,560.9261745,638,140.2315436,102.7651007,27.83221477,2.140939597,7.493288591,64.22818792,51.38255034,63.15771812,0,96.34228188,7.493288591,4.281879195,2.140939597,5.352348993,2.140939597,3.211409396,0.25,0.331649832,0.347328244,15.10067114,9.899328859,534,638,142,88,35,0,19,94,65,94,1,125,5,2,3,2,0,2,0.266,0.38,0.438,19.6,14.7,8.9,32.4,96.7,89.2,29.7,2,7.547169812,4.677060134,22.84550718,106.51,38.0197,37.8408656,1438.698358,24.3,84.722254,63,41,77.1,92.6,87.4,43.2,55.2,5.2,18.7,23.9
97,Lars Nootbaar,STL,131,432.1549296,503,105.2555332,64.77263581,19.22937626,2.024144869,20.24144869,66.79678068,58.70020121,60.72434608,2.024144869,107.2796781,3.036217304,4.048289738,2.024144869,6.072434608,2.024144869,4.048289738,0.244,0.33805668,0.44028103,21.32796781,12.07243461,426,503,111,73,23,1,14,74,46,72,2,99,1,3,1,11,1,10,0.261,0.367,0.418,19.7,14.3,10.7,30.4,101.8,96,46,12.1,45.66037736,10.04366812,57.03336356,110.41,45.5203,59.1058496,2690.516006,24.5,84.02781,58.8,38.7,67.3,83.8,77.7,41.5,61.7,8.6,20.2,28.9
100,Christian Walker,ARI,147,586.718241,661,146.4104235,87.20032573,30.14332248,2.153094463,27.99022801,81.81758958,90.42996743,61.36319218,2.153094463,139.9511401,7.535830619,5.382736156,0,2.153094463,1.076547231,1.076547231,0.25,0.325732899,0.453211009,21.17263844,9.283387622,582,661,150,79,36,2,33,86,103,62,3,127,8,8,0,11,0,11,0.258,0.333,0.497,19.2,9.4,17,33.3,101.5,93.8,44,11.5,43.39622642,8.860759494,49.49767057,110.28,71.7724,58.3970168,4191.294049,27.2,74.652816,70.1,44.7,57.7,88.2,77.2,40.9,61.3,10.2,15.8,26
101,Dylan Carlson,STL,130,225.2259887,255,56.18644068,34.57627119,13.44632768,1.440677966,6.242937853,29.7740113,26.41242938,23.05084746,0.480225989,53.78531073,3.361581921,2.401129944,0.960451977,2.401129944,0.960451977,1.440677966,0.248,0.325141777,0.402985075,21.09227872,9.039548023,219,255,48,34,8,1,5,27,27,26,0,49,7,3,0,3,0,3,0.219,0.318,0.333,19.2,10.2,12.9,35.7,96.3,90.7,27.2,4.4,16.60377359,6.916426513,37.11134071,106.24,54.6877,36.3686744,1988.919155,27.8,72.569484,71.4,46,64.8,84,77.2,41.8,56.4,10.5,16.3,26.8
102,Yoan Moncada,CHW,132,315.8324324,357,75.9027027,48.24324324,16.08108108,1.286486486,10.29189189,39.88108108,39.88108108,34.73513514,1.286486486,93.91351351,3.216216216,1.92972973,0.643243243,1.92972973,0.643243243,1.286486486,0.241,0.320072333,0.397148676,26.30630631,9.72972973,334,357,87,55,20,1,11,39,40,20,0,107,2,1,0,1,0,1,0.26,0.305,0.425,30,5.6,15.7,35.1,99.5,92.7,37.5,9.8,36.98113208,4.240282686,20.0630262,108.59,66.3553,49.1821904,3263.498999,31.3,60.416714,68.4,47.1,56.6,85.2,74.3,42.4,60.3,12.1,16.9,29
103,Javier Baez,DET,143,509.307563,547,124.1092437,78.14285714,24.82184874,2.757983193,18.38655462,66.19159664,65.27226891,25.74117647,0.919327731,148.9310924,7.354621849,3.677310924,0.919327731,11.03193277,3.677310924,7.354621849,0.243,0.287878788,0.411552347,27.22689076,4.705882353,510,547,113,82,18,4,9,58,59,24,0,125,9,3,0,12,0,12,0.222,0.267,0.325,22.9,4.4,9.6,29.7,99.7,93.3,38,8,30.18867925,7.619047619,41.58737278,109,40.9366,51.41774,2104.867455,48.7,0,69.1,55.8,55.3,81.5,66.6,34.8,65.9,18.6,13.5,32.2
104,Alec Bohm,PHI,148,562.6039604,611,155.2706271,110.9075908,27.22277228,2.01650165,16.1320132,69.56930693,69.56930693,37.30528053,1.008250825,119.9818482,5.041254125,6.04950495,1.008250825,5.041254125,2.01650165,3.024752475,0.277,0.323432343,0.419354839,19.6369637,6.105610561,558,611,153,102,31,0,20,74,97,42,1,94,5,6,0,4,1,3,0.274,0.327,0.437,15.4,6.9,10.4,37.7,100.6,92.4,43,6.8,25.66037736,2.564102564,9.384958148,107.44,44.2702,42.9117464,1899.711595,35.4,46.180612,73.8,51.2,72.7,87.1,81.2,41.1,62.6,9.6,14.5,24.1
106,Starling Marte,NYM,128,310.564663,341,84.47358834,59.00728597,14.90710383,1.863387978,8.695810565,46.58469945,37.26775956,20.49726776,0.621129326,65.21857923,7.453551913,1.242258652,1.242258652,15.52823315,4.347905282,11.18032787,0.273,0.330895795,0.416,19.12568306,6.010928962,315,341,78,65,7,1,5,38,28,16,1,69,8,0,2,24,4,20,0.248,0.301,0.324,20.2,4.7,7.5,38.5,99.2,91.9,33.9,6.8,25.66037736,3.626943005,16.15575945,109.16,32.1859,52.2901496,1683.005526,36,44.09728,68.5,49.3,65.6,87.6,78.1,41.1,62.8,10.8,16.7,27.4
107,Jonathan India,CIN,131,462.518851,529,117.7666068,75.97845601,24.6929982,1.8994614,15.1956912,69.33034111,56.03411131,47.48653501,0.9497307,115.8671454,14.2459605,2.849192101,1.8994614,6.648114901,2.849192101,3.798922801,0.254,0.340540541,0.414784394,21.90305206,8.976660682,454,529,111,71,23,0,17,78,61,52,0,109,16,7,0,14,2,12,0.244,0.338,0.407,20.6,9.8,14.5,35.6,97.4,88.6,28.8,4.8,18.11320755,8.275862069,45.77159458,107.37,61.3549,42.5300672,2609.42802,27.9,72.222262,57.8,41.2,62.7,88.8,79,44.5,61,8.7,22.9,31.5
108,Ha-Seong Kim,SDP,130,558.5846154,626,134.8307692,90.28846154,27.68846154,2.407692308,14.44615385,74.63846154,65.00769231,51.76538462,1.203846154,114.3653846,7.223076923,4.815384615,3.611538462,13.24230769,3.611538462,9.630769231,0.242,0.311411992,0.377155172,18.26923077,8.269230769,538,626,140,100,23,0,17,84,60,75,1,124,3,5,5,38,9,29,0.26,0.351,0.398,19.8,12,16.1,34,97.6,91,32.4,4.2,15.84905661,7.529411765,41.01634958,106.41,68.0221,37.2956096,2536.925686,27.5,73.61115,62.3,43.1,74.3,88.3,83.4,44.8,62,7.2,20.5,27.6
109,MJ Melendez,KCR,131,522.2431942,602,120.1814882,66.646098,27.31397459,3.277676951,24.03629764,72.10889292,71.01633394,68.83121597,1.092558984,146.4029038,3.277676951,5.462794918,2.185117967,4.370235935,2.185117967,2.185117967,0.231,0.320582878,0.435146444,24.31941924,11.43375681,533,602,125,75,29,5,16,65,56,62,2,170,3,4,0,6,4,2,0.235,0.316,0.398,28.2,10.3,15.1,31,100.6,94.4,43.5,10.4,39.24528302,6.586826347,35.01163021,108.32,63.8551,47.7099992,3046.52677,27.8,72.569484,68.7,44.6,62.7,81.3,74.5,41.1,55.8,11.4,16.6,28
110,Kolten Wong,SEA,126,222.8796844,250,55.22682446,36.98224852,11.34122288,0.986193294,5.917159763,29.09270217,23.66863905,19.23076923,0.986193294,44.37869822,5.424063116,1.972386588,0.986193294,7.396449704,2.465483235,4.930966469,0.247,0.320158103,0.387168142,17.75147929,7.692307692,224,250,41,31,6,0,4,25,27,18,0,53,5,3,0,3,2,1,0.183,0.256,0.263,21.2,7.2,14,33.2,97.7,89.8,35.5,5.4,20.37735849,9.455587393,53.28700842,105.64,59.2714,33.0971384,1961.713729,24.9,82.638922,65.8,42.6,65.9,88.2,80.8,43.2,55.5,8.2,17.9,26.1
111,DJ LeMahieu,NYY,109,495.1804671,562,134.8322718,101.4225053,21.47770701,1.193205945,10.7388535,69.2059448,52.50106157,58.4670913,0,76.36518047,4.772823779,3.579617834,2.38641189,4.772823779,1.193205945,3.579617834,0.273,0.352441614,0.385542169,13.5881104,10.40339703,497,562,121,81,22,3,15,55,44,60,2,125,3,2,0,2,2,0,0.243,0.327,0.39,22.2,10.7,3,32.6,99.5,94.2,41.1,5.3,20,1.207729469,0.744213623,107.03,13.4344,40.6761968,546.4602983,27.6,73.263928,54.7,39.4,80.3,92,87.4,43.6,63.6,5,24,28.9
112,Trent Grisham,SDP,136,481.8923933,555,106.0575139,63.84044527,21.62337662,2.059369202,18.53432282,66.92949907,59.72170686,59.72170686,1.029684601,145.1855288,6.178107607,3.089053803,4.118738404,11.32653061,3.089053803,8.237476809,0.219,0.312149533,0.388888889,26.15955473,10.7606679,469,555,93,48,31,1,13,67,50,75,0,154,5,1,4,15,3,12,0.198,0.315,0.352,27.7,13.5,15.1,24.2,99.5,93.9,35.5,8.1,30.56603774,8.544303797,47.48169661,107.85,63.8551,45.147296,2882.885101,23,89.23614,58.1,37.9,63.4,82.2,75.7,42.7,58.6,9.2,21.6,30.9
113,Thairo Estrada,SFG,136,483.2352941,530,124.7058824,86.70955882,22.40808824,1.948529412,13.63970588,66.25,55.53308824,32.15073529,0,92.55514706,9.742647059,2.922794118,1.948529412,16.5625,4.871323529,11.69117647,0.259,0.315498155,0.397177419,17.46323529,6.066176471,495,530,134,92,26,2,14,63,49,22,1,120,11,2,0,23,7,16,0.271,0.315,0.416,22.6,4.2,8.1,31.1,97.1,91.4,31.1,4.4,16.60377359,6.947890819,37.31178337,105.38,34.6861,31.6794728,1098.837361,35.5,45.83339,68.7,48.7,69.2,90.8,81.3,39.8,63.2,9.1,16.6,25.7
114,Mike Yastrzemski,SFG,131,334.7966418,381,76.05783582,41.93843284,18.48134328,2.132462687,13.50559701,49.04664179,43.36007463,38.38432836,0.710820896,95.25,4.264925373,2.843283582,0.710820896,3.554104478,0.710820896,2.843283582,0.227,0.312149533,0.416135881,25,10.07462687,330,381,77,38,23,1,15,54,43,45,3,99,3,1,2,2,2,0,0.233,0.33,0.445,26,11.8,19.9,36.2,99.8,93.5,42.5,11.1,41.88679246,7.428571429,40.37394847,107.32,83.8567,42.2574392,3543.569402,25.4,80.902812,64,42.2,61.6,88.5,79.4,43.6,60.2,8.7,18.7,27.4
115,Keibert Ruiz,WSN,113,512.523702,562,133.2054176,87.53498871,27.90970655,1.268623025,16.49209932,57.08803612,63.43115124,39.32731377,1.268623025,65.96839729,6.343115124,2.53724605,1.268623025,5.074492099,1.268623025,3.805869074,0.259,0.319004525,0.415841584,11.73814898,6.997742664,523,562,136,94,24,0,18,55,67,31,1,58,6,2,0,1,1,0,0.26,0.308,0.409,10.3,5.5,14.9,36,97.3,90.7,32.3,3.7,13.96226415,11.0787172,63.62712062,105.18,63.0217,30.5889608,1927.768311,36.6,42.013948,72.2,50.9,78.3,92.4,86.3,40.2,61,7,14.2,21.2
117,Anthony Rizzo,NYY,135,363.4903678,421,87.00175131,51.61120841,15.48336252,0.737302977,19.16987741,55.29772329,54.56042032,42.0262697,2.949211909,72.99299475,12.53415061,2.949211909,0,4.423817863,2.211908932,2.211908932,0.239,0.336252189,0.444219067,17.3380035,9.982486865,373,421,91,65,14,0,12,45,41,35,1,97,12,1,0,0,3,-3,0.244,0.328,0.378,23,8.3,19.3,33.9,99.6,93.5,41,10.9,41.13207548,11.02362205,63.2761382,108.44,81.3565,48.3643064,3934.750694,32.1,57.638938,65.6,45.9,65.1,88.1,78.7,41.3,56.8,9.8,16.8,26.6
118,Bryce Harper,PHI,78,460.3846154,546,127.6153846,71.07692308,29.07692308,1.615384615,25.84615385,79.15384615,80.76923077,74.30769231,8.076923077,116.3076923,4.846153846,4.846153846,1.615384615,12.92307692,4.846153846,8.076923077,0.278,0.379821958,0.515789474,21.30177515,13.60946746,457,546,134,83,29,1,21,84,72,80,8,119,5,4,0,11,3,8,0.293,0.401,0.499,21.8,14.7,11.8,37.2,103,95.8,47.9,12.8,48.3018868,7.491856678,40.77710573,112.42,50.104,70.0654952,3510.561572,39.8,30.902844,82.5,55.6,61.3,83.3,73.4,37,64.1,14.8,9,23.8
119,Rowdy Tellez,MIL,137,311.8597122,351,75.75539568,41.66546763,15.15107914,0.631294964,18.93884892,42.92805755,51.76618705,32.82733813,3.15647482,71.33633094,3.787769784,2.525179856,0,1.262589928,0.631294964,0.631294964,0.243,0.320143885,0.479757085,20.32374101,9.352517986,311,351,67,44,9,1,13,26,47,35,2,86,0,5,0,0,0,0,0.215,0.291,0.376,24.5,10,15.3,31.4,102.6,94.6,46,12.9,48.67924529,7.038834951,37.89114093,111.73,64.6885,66.3032288,4289.056416,31,61.45838,60.5,43.3,67.9,85.7,78.3,41.6,56.8,9.4,19.5,28.9
120,Ramon Laureano,OAK,132,360.0869565,404,82.70289855,49.76811594,18.29710145,0.731884058,13.9057971,47.57246377,43.18115942,30.73913043,0,106.1231884,9.514492754,2.195652174,0.731884058,10.24637681,3.65942029,6.586956522,0.23,0.305454545,0.400406504,26.26811594,7.608695652,361,404,81,50,18,4,9,46,35,33,0,114,9,1,0,12,1,11,0.224,0.304,0.371,28.2,8.2,14.9,28.9,100,94.1,38.4,11.6,43.77358491,8.67768595,48.33140464,108.38,63.0217,48.0371528,3027.383033,32.4,56.597272,65.2,46.3,53.4,84,71.6,42.3,62.4,13.1,18.6,31.7
121,Isaac Paredes,TBR,113,494.6971047,571,118.2694878,71.21603563,24.16258352,1.271714922,21.61915367,68.67260579,68.67260579,63.5857461,0,96.65033408,6.35857461,5.086859688,1.271714922,1.271714922,1.271714922,0,0.238,0.330357143,0.424164524,16.92650334,11.13585746,492,571,123,68,24,0,31,71,98,58,0,104,20,1,0,1,0,1,0.25,0.352,0.488,18.2,10.2,15.8,27.4,98.4,92.5,38.7,6.4,24.1509434,13.01115242,75.93765606,106.58,66.772,38.2225448,2552.195761,25.1,81.944478,62.6,39.8,76.8,90.2,85.1,39.3,55.1,5.9,20.2,26.2
122,Brandon Crawford,SFG,120,285.3333333,320,70,46.66666667,14,1.333333333,8.666666667,36,38,27.33333333,1.333333333,68,4,2.666666667,0.666666667,2.666666667,1.333333333,1.333333333,0.246,0.317327766,0.397196262,21.25,8.541666667,283,320,55,36,11,1,7,31,38,28,1,81,4,4,1,3,0,3,0.194,0.273,0.314,25.3,8.8,12.3,31,97.9,92.1,35.1,6.7,25.28301887,5.78778135,29.9213319,105.17,52.1875,30.5344352,1593.515837,30.4,63.541712,77.8,50.6,53.3,78.9,70.1,42.5,60.7,15.1,11.7,26.8
124,Andrew Benintendi,CHW,126,551.7391304,621,147.9130435,103.3043478,27,2.347826087,15.26086957,75.13043478,66.91304348,56.34782609,1.173913043,104.4782609,3.52173913,4.695652174,3.52173913,10.56521739,3.52173913,7.043478261,0.268,0.337142857,0.408510638,16.8241966,9.073724008,562,621,147,106,34,2,5,72,45,52,5,89,3,3,1,13,2,11,0.262,0.326,0.356,14.3,8.4,12.6,39.2,98.2,92,38.7,5.1,19.24528302,3.58974359,15.91878141,105.15,53.4376,30.425384,1625.8595,27.9,72.222262,74.9,48.1,73.4,85.5,81.5,43.1,57.6,8.9,13.1,22
125,Mitch Haniger,SFG,126,203.8351648,229,51.16849817,31.03663004,9.227106227,0.838827839,10.06593407,30.61721612,30.1978022,20.13186813,0.838827839,55.36263736,2.935897436,1.677655678,0.419413919,0.419413919,0.419413919,0,0.251,0.324770642,0.452674897,24.17582418,8.791208791,211,229,44,24,13,1,6,27,28,15,0,65,2,1,0,1,0,1,0.209,0.266,0.365,28.4,6.6,18.2,31.1,102,96.1,47.2,11.8,44.52830189,8.333333333,46.13771398,109.46,76.7728,53.9259176,4140.043687,30.2,64.236156,67.2,45.4,57.1,82.5,72.6,41.1,58.7,12.4,17.9,30.3
126,Jake McCarthy,ARI,139,280.2994652,312,73.41176471,50.05347594,14.45989305,3.336898396,6.117647059,38.37433155,32.81283422,23.9144385,0,71.18716578,4.449197861,1.668449198,1.668449198,16.68449198,3.893048128,12.79144385,0.262,0.327956989,0.404761905,22.81639929,7.664884135,276,312,67,53,7,5,2,37,16,26,0,62,5,1,4,26,4,22,0.243,0.318,0.326,19.9,8.3,8,32.1,98.2,90.3,33.7,4.8,18.11320755,3.861003861,17.64683891,106.49,34.2694,37.7318144,1293.04664,34.5,49.30561,74,51.9,57.2,84.5,74.4,44.2,65.5,13.3,12.8,26.1
127,Brendan Donovan,STL,122,321.1303462,371,84.62729124,61.9592668,17.37881874,1.511201629,5.289205703,44.58044807,36.2688391,39.29124236,0.755600815,61.20366599,7.556008147,2.266802444,0.755600815,3.778004073,1.511201629,2.266802444,0.264,0.355102041,0.381176471,16.49694501,10.59063136,327,371,93,71,10,1,11,48,34,33,2,53,9,1,1,5,1,4,0.284,0.365,0.422,14.3,8.9,6,32.7,98.1,91.4,37.7,3.4,12.83018868,4.179104478,19.67329179,104.18,25.9354,25.1364008,651.9226093,23.2,88.541696,57.5,37.8,72.1,92.9,85.6,42.6,56.6,5.4,22.4,27.8
129,Bryson Stott,PHI,128,576.7588933,640,142.9249012,94.86166008,29.09090909,2.529644269,16.44268775,73.35968379,64.50592885,53.12252964,1.264822134,134.0711462,2.529644269,3.794466403,2.529644269,13.91304348,3.794466403,10.11857708,0.247,0.312127237,0.39254386,20.9486166,8.300395257,585,640,164,115,32,2,15,78,62,39,1,100,7,8,1,31,3,28,0.28,0.329,0.419,15.6,6.1,13.1,29.4,98,90.9,36.8,4.4,16.60377359,6.162464986,32.30824563,105.67,55.5211,33.2607152,1846.671495,31.3,60.416714,61.9,44.8,78.4,89.4,85.1,44,61.4,6.7,20.4,27
130,Randy Arozarena,TBR,145,586.0519481,654,150.7597403,93.42857143,32.91233766,2.123376623,21.23376623,82.81168831,80.68831169,50.96103896,2.123376623,163.5,12.74025974,4.246753247,1.061688312,28.66558442,9.555194805,19.11038961,0.258,0.327922078,0.427536232,25,7.792207792,551,654,140,95,19,3,23,95,83,80,1,156,18,5,0,22,10,12,0.254,0.364,0.425,23.9,12.2,8.8,28.2,101.2,95.1,41,7.9,29.81132076,5.04587156,25.19501214,109.91,37.603,56.3795696,2120.040956,33.4,53.125052,65.6,46,63.8,81.1,73.5,39,60.2,12.2,18.1,30.3
132,Ramon Urias,BAL,111,357.2118451,396,88.40091116,57.73120729,17.13895216,0.902050114,11.72665148,43.29840547,44.20045558,29.76765376,0.902050114,92.00911162,5.412300683,1.804100228,0.902050114,1.804100228,0.902050114,0.902050114,0.248,0.313501144,0.396464646,23.23462415,7.517084282,360,396,95,66,22,3,4,45,42,27,0,101,8,1,0,3,1,2,0.264,0.328,0.375,25.5,6.8,11,31.7,100.7,94,46.5,9.6,36.2264151,6.962025316,37.40182687,107.55,46.7704,43.511528,2035.051569,33.8,51.736164,72.9,49.9,65.2,81.5,75,41.1,66.7,12.5,15.8,28.3
133,Josh Bell,CLE,142,536.8836425,617,142.544688,93.64249578,26.01180438,2.080944351,20.80944351,78.03541315,79.07588533,70.75210793,3.121416526,107.1686341,4.161888702,5.202360877,0,0,0,0,0.265,0.352445194,0.437984496,17.3693086,11.46711636,547,617,135,85,28,0,22,52,74,63,2,134,2,3,0,0,1,-1,0.247,0.325,0.419,21.7,10.2,8.4,30.7,100.6,92.6,40.8,7.2,27.16981132,4.29184549,20.39150589,109.55,35.9362,54.416648,1955.527546,29.1,68.055598,70.1,45.3,71.7,86.3,80.6,39.4,52.9,8.8,14.9,23.7
134,Anthony Santander,BAL,142,594.1950413,656,144.2115702,82.40661157,29.27603306,1.084297521,31.4446281,79.15371901,92.16528926,47.70909091,1.084297521,130.1157025,9.758677686,4.337190083,1.084297521,1.084297521,1.084297521,0,0.244,0.307438017,0.454379562,19.83471074,7.272727273,591,656,152,82,41,1,28,81,95,55,1,152,6,4,0,5,1,4,0.257,0.325,0.472,23.2,8.4,21.4,33.5,101.3,94.3,43.3,11.6,43.77358491,10.30042918,58.66905417,109.81,90.1072,55.8343136,5031.073662,35,47.5695,68.3,47.7,71,88.6,80.6,38.2,59.5,9.2,16.7,26
135,Yasmani Grandal,CHW,95,336.4112903,405,75.12096774,48.99193548,11.97580645,0,14.15322581,41.37096774,43.5483871,59.87903226,0,90.36290323,3.266129032,3.266129032,1.088709677,1.088709677,0,1.088709677,0.221,0.343243243,0.385113269,22.31182796,14.78494624,363,405,85,63,14,0,8,33,33,36,1,86,4,2,0,0,0,0,0.234,0.309,0.339,21.2,8.9,12.1,30,99.5,91.7,40,4.8,18.11320755,5.158730159,25.91397532,107.26,51.3541,41.9302856,2153.29208,24.4,84.375032,59.4,39.7,68.5,86.5,80.3,43.7,55.3,7.8,20.8,28.6
136,Ryan McMahon,COL,142,556.2615385,627,137.1897436,84.67179487,27.86666667,2.143589744,22.50769231,78.24102564,77.16923077,61.09230769,1.071794872,163.9846154,5.358974359,4.287179487,1.071794872,7.502564103,2.143589744,5.358974359,0.247,0.324786325,0.425818882,26.15384615,9.743589744,555,627,133,76,31,3,23,80,70,68,2,198,1,3,0,5,5,0,0.24,0.322,0.431,31.6,10.8,10.8,36.1,102.1,95.4,46.5,10.4,39.24528302,7.012987013,37.72647722,111.18,45.937,63.3043208,2908.010585,28.5,70.13893,66.2,45.2,60,83,74.9,44.2,64.8,11.3,17.1,28.4
138,Tyler Stephenson,CIN,124,461.3395445,517,123.0952381,83.49068323,24.61904762,1.070393375,14.98550725,61.01242236,64.22360248,42.81573499,1.070393375,116.6728778,7.492753623,4.281573499,0,2.140786749,0,2.140786749,0.266,0.336099585,0.424593968,22.56728778,8.281573499,465,517,113,78,20,2,13,59,56,47,2,135,4,1,0,0,1,-1,0.243,0.317,0.378,26.1,9.1,11.1,46.3,97.5,92.7,34.7,6.6,24.90566038,5.785123967,29.9044031,104.76,47.1871,28.2988856,1335.342345,29.6,66.319488,64.2,43.7,59.4,87.5,76.3,40.8,64.5,10.4,18.3,28.7
139,Hunter Renfroe,LAA,131,497.3530499,548,119.5268022,64.82809612,24.31053604,1.012939002,28.36229205,69.89279113,79.00924214,41.53049908,1.012939002,127.6303142,4.051756007,4.051756007,1.012939002,2.025878004,1.012939002,1.012939002,0.24,0.301851852,0.462321792,23.29020333,7.578558226,498,548,116,65,31,0,20,60,60,44,0,125,3,3,0,0,0,0,0.233,0.297,0.416,22.8,8,17.7,32.4,101.6,94.6,43.6,10.9,41.13207548,7.479224377,40.69663194,109.8,74.6893,55.779788,4166.15332,34.4,49.652832,67.6,47.7,63.6,84,75.2,40.1,59,11.8,16.3,28.2
140,Ryan Mountcastle,BAL,141,427.779661,470,109.9322034,68.50847458,20.71186441,0.796610169,19.91525424,54.16949153,64.52542373,33.45762712,0.796610169,118.6949153,3.983050847,4.779661017,0.796610169,3.186440678,1.593220339,1.593220339,0.257,0.313559322,0.448789572,25.25423729,7.118644068,423,470,114,74,21,1,18,64,68,37,1,107,3,7,0,3,1,2,0.27,0.328,0.452,22.8,7.9,15.9,39.5,101.9,94.3,46.3,15,56.60377359,6.617647059,35.20797287,109.86,67.1887,56.1069416,3769.752467,41,26.73618,81.5,56.3,62.4,80.8,72.4,37.7,63.4,15.5,10.3,25.8
141,Alex Verdugo,BOS,143,548,602,154,106,34,2,13,73,67,44,2,88,4,5,1,4,2,2,0.281,0.336106489,0.423357664,14.6179402,7.3089701,546,602,144,89,37,5,13,81,54,45,1,93,6,5,0,5,3,2,0.264,0.324,0.421,15.4,7.5,8.4,37.8,99.1,93.1,38.2,6,22.64150944,4.678362573,22.85380434,107.64,35.9362,44.0022584,1581.273958,29,68.40282,64.9,45.2,72.7,93.3,86.1,45.2,59.6,6.3,18.8,25.1
142,Josh Rojas,ARI,115,307.6200418,350,77.45302714,52.60960334,17.53653445,1.461377871,5.845511482,41.64926931,33.61169102,36.53444676,0.730688935,73.79958246,1.461377871,2.922755741,1.461377871,10.96033403,2.922755741,8.037578288,0.253,0.331236897,0.375296912,21.08559499,10.43841336,314,350,77,56,17,0,4,47,40,27,0,81,1,4,2,12,0,12,0.245,0.303,0.338,23.1,7.7,11.9,33.2,98.1,92,36.1,4.5,16.98113208,3.888888889,17.82447986,104.28,50.5207,25.6816568,1297.455279,22.5,90.97225,65.1,40.8,68.2,85.2,79.9,43,58.6,8.2,19.1,27.3
