#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
385,Dom Hamel,NYY,0,0,4.52,8,0,0,1,,8.0,35,8,4,4,1,3,,0,7,8.11,3.39,1.33,20.8%,8.7%
386,Ken Waldichuk,WSN,1,1,4.47,11,0,0,1,,11.0,48,10,6,5,1,5,,1,11,8.70,4.06,1.39,22.1%,10.3%
387,Jeff Criswell,COL,1,1,4.76,14,0,0,1,,14.0,62,15,8,7,2,6,,0,13,8.24,3.69,1.45,20.8%,9.3%
388,Tyson Neighbors,BAL,1,1,4.45,15,0,0,1,,15.0,65,14,8,7,2,6,,1,15,8.90,3.75,1.34,22.9%,9.6%
389,Carson Seymour,SFG,1,1,3.98,20,0,0,1,,20.0,86,20,10,9,2,7,,1,17,7.54,3.12,1.34,19.4%,8.0%
390,Casey Legumina,SEA,4,4,4.10,54,0,0,7,,54.0,232,50,26,25,7,21,,3,52,8.61,3.54,1.32,22.3%,9.1%
391,Dylan Smith,DET,1,2,4.33,28,0,0,1,,28.0,122,27,15,13,3,11,,1,24,7.73,3.64,1.38,19.7%,9.3%
392,Matt Seelinger,DET,0,0,4.51,6,0,0,1,,6.0,26,6,3,3,1,3,,0,5,8.18,3.76,1.40,20.9%,9.6%
393,Lyon Richardson,CIN,1,1,4.58,18,0,0,1,,18.0,79,17,10,9,2,8,,1,16,7.97,4.22,1.44,20.1%,10.7%
394,Dax Fulton,MIA,1,1,4.36,14,0,0,1,,14.0,62,14,7,7,2,7,,1,12,7.67,4.19,1.45,19.2%,10.5%
395,J.P. France,HOU,1,1,4.27,12,0,0,1,,12.0,52,12,6,6,2,5,,0,11,8.03,3.51,1.37,20.6%,9.0%
396,Jake Eder,WSN,1,1,4.61,12,0,0,1,,12.0,53,12,7,6,2,5,,1,10,7.20,3.45,1.39,18.3%,8.8%
397,Beau Brieske,DET,2,3,4.55,50,0,0,4,,50.0,217,48,27,25,7,21,,1,43,7.80,3.85,1.39,20.0%,9.9%
398,Chris Devenski,PIT,1,1,4.43,16,0,0,1,,16.0,69,16,9,8,2,5,,0,13,7.37,2.85,1.34,19.1%,7.4%
399,Tom Cosgrove,HOU,1,1,4.54,13,0,0,1,,13.0,57,12,7,7,2,6,,1,12,8.11,4.19,1.39,20.6%,10.7%
400,Cionel Perez,WSN,1,1,4.27,32,0,0,1,,32.0,142,30,17,15,3,17,,2,28,7.80,4.76,1.48,19.6%,11.9%
