#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%
378,Cole Henry,WSN,2,2,4.61,65,0,11,8,,64.0,280,55,35,33,9,32,2,6,59,8.33,4.47,1.36,21.1%,11.3%
379,Ryan Loutos,SEA,1,1,4.70,16,0,0,1,,16.2,73,17,9,9,2,7,1,1,13,7.23,3.68,1.42,18.3%,9.3%
380,Nick Hernandez,ATH,0,0,4.62,10,0,0,0,,11.2,51,10,6,6,2,5,0,1,12,9.34,4.11,1.33,24.0%,10.5%
381,Chase Shugart,PHI,1,1,4.79,29,0,0,1,,32.1,142,32,18,17,4,13,1,2,26,7.13,3.67,1.42,18.0%,9.3%
382,Jake Eder,WSN,1,1,4.83,19,0,0,1,,24.0,106,24,14,13,3,11,1,1,21,7.82,3.99,1.42,19.7%,10.1%
383,Taylor Rashi,ARI,0,0,4.79,13,0,0,0,,21.1,94,20,12,11,3,10,1,1,20,8.53,4.29,1.42,21.6%,10.9%
384,Tucker Davidson,PHI,0,0,4.63,6,0,0,1,,6.0,26,6,3,3,1,2,0,0,5,7.55,3.81,1.41,19.2%,9.7%
385,Guillo Zuniga,SEA,0,0,4.56,6,0,0,1,,6.0,25,5,3,3,1,2,0,0,6,8.61,3.75,1.32,22.2%,9.7%
386,Jorge Alcala,TOR,1,1,4.74,17,0,0,0,,18.0,77,17,10,9,3,7,0,1,17,8.56,3.56,1.33,22.1%,9.2%
387,Carson Palmquist,COL,1,1,5.59,16,1,0,1,,22.1,101,23,15,14,3,11,1,1,22,9.00,4.55,1.56,22.0%,11.1%
388,Jesse Scholtens,TBR,1,1,5.09,22,0,0,1,,28.2,127,30,17,16,4,12,1,1,26,8.09,3.64,1.44,20.4%,9.2%
389,Jose Franco,CIN,1,1,4.80,14,0,0,0,,14.2,64,13,8,8,3,7,0,1,15,9.34,4.13,1.37,23.8%,10.5%
390,Cam Sanders,PIT,1,1,4.64,18,0,0,1,,19.1,87,17,11,10,2,12,1,1,19,9.00,5.61,1.49,22.4%,13.9%
391,Shinnosuke Ogasawara,WSN,0,0,4.84,7,0,0,1,,8.1,37,9,5,4,1,3,0,0,7,7.28,3.53,1.41,18.4%,8.9%
392,Dylan Coleman,NYY,0,0,4.52,5,0,0,1,,5.1,23,4,3,3,1,3,0,0,5,9.02,5.43,1.44,22.6%,13.6%
393,Lyon Richardson,CIN,1,1,4.67,17,0,0,1,,20.0,89,19,11,10,2,10,1,1,17,7.56,4.60,1.48,19.0%,11.5%
394,Scott Effross,DET,1,1,4.85,14,0,0,1,,15.0,65,16,9,8,2,5,1,1,10,5.89,2.87,1.38,15.0%,7.3%
395,J.P. France,HOU,1,1,4.87,13,0,0,1,,16.1,72,16,9,9,2,7,0,1,15,8.08,3.92,1.42,20.4%,9.9%
396,Genesis Cabrera,PHI,1,1,4.69,17,0,0,1,,17.2,77,17,10,9,3,7,1,1,15,7.34,3.43,1.36,18.8%,8.8%
397,Bradley Blalock,MIA,0,1,5.22,13,1,0,1,,17.0,76,18,11,10,2,7,1,1,12,6.46,3.89,1.51,16.1%,9.7%
398,Derek Law,ARI,1,1,5.26,18,0,0,1,,19.1,87,22,12,11,2,8,0,1,15,6.90,3.53,1.51,17.1%,8.8%
399,Kirby Yates,LAA,2,2,4.63,55,0,9,12,,56.1,245,47,31,29,9,28,1,3,65,10.36,4.45,1.33,26.5%,11.4%
400,Yilber Diaz,ARI,1,1,5.24,20,1,0,1,,24.2,111,24,15,14,3,14,1,1,23,8.33,5.27,1.57,20.4%,12.9%
