#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
482,David Fry,CLE,42,156,175,35,21,7,0,6,19,20,15,1,47,3,1,0,1,0,1,0.223,0.299,0.385,0.685,0.278,26.80%,8.40%
483,Adrian Del Castillo,ARI,34,125,140,29,18,7,0,4,15,16,12,0,39,1,1,0,1,0,1,0.235,0.306,0.396,0.702,0.304,27.80%,8.70%
484,Brett Wisely,ATL,19,67,75,15,11,3,0,1,8,7,6,0,18,1,1,0,1,0,1,0.229,0.297,0.348,0.645,0.288,23.70%,8.20%
485,Grant McCray,SFG,23,83,91,18,11,4,1,2,9,9,7,0,28,1,1,0,2,1,1,0.215,0.279,0.347,0.625,0.296,30.60%,7.60%
486,Brendan Rodgers,BOS,16,60,66,14,10,3,0,1,7,7,5,0,17,1,0,0,0,0,0,0.238,0.297,0.366,0.664,0.307,26.30%,7.00%
487,Jose Miranda,SDP,15,56,61,14,9,3,0,2,6,7,3,0,12,1,0,0,0,0,0,0.241,0.291,0.381,0.673,0.275,19.10%,5.70%
488,Chas McCormick,CHC,24,86,97,20,14,3,0,3,11,10,8,0,26,1,1,0,3,1,2,0.229,0.304,0.365,0.669,0.29,26.40%,8.50%
489,Michael Stefanic,ATH,6,20,23,5,4,1,0,0,3,2,2,0,3,0,0,0,0,0,0,0.265,0.353,0.351,0.703,0.303,13.90%,10.30%
490,Cesar Prieto,STL,11,44,47,11,8,2,0,1,5,4,2,0,7,1,0,0,1,0,1,0.253,0.295,0.361,0.655,0.287,15.40%,4.60%
491,Jeferson Quero,MIL,5,18,20,4,3,1,0,1,2,2,2,0,4,0,0,0,0,0,0,0.23,0.296,0.37,0.666,0.263,19.70%,7.70%
492,Bryce Eldridge,SFG,85,295,331,68,41,14,1,13,37,40,29,2,98,3,3,1,1,0,1,0.231,0.303,0.411,0.713,0.298,29.70%,8.70%
493,Dylan Moore,PHI,18,62,72,13,8,3,0,2,8,7,7,0,21,1,1,0,4,1,3,0.207,0.299,0.36,0.659,0.271,29.00%,10.10%
494,Trei Cruz,DET,10,35,41,7,5,2,0,1,4,3,5,0,11,0,0,0,1,0,1,0.211,0.308,0.322,0.629,0.282,26.40%,11.80%
495,DJ LeMahieu,,20,68,77,17,13,3,0,1,8,7,7,0,16,1,1,0,1,0,1,0.248,0.322,0.355,0.676,0.304,21.20%,9.30%
496,Matt Thaiss,BOS,8,26,30,6,4,1,0,1,3,3,4,0,8,0,0,0,0,0,0,0.222,0.326,0.34,0.667,0.293,25.90%,12.40%
497,Korey Lee,CHW,30,112,120,24,16,5,0,4,12,13,7,0,33,1,1,0,2,0,2,0.218,0.266,0.36,0.626,0.272,27.00%,5.70%
498,Christian Koss,SFG,13,48,51,12,8,2,0,1,5,5,3,0,12,1,0,0,1,0,1,0.243,0.288,0.359,0.647,0.302,23.00%,4.90%
499,Bryan Ramos,BAL,13,48,53,10,7,2,0,2,5,6,4,0,13,1,0,0,1,0,1,0.214,0.278,0.357,0.634,0.257,24.10%,7.00%
500,Willie MacIver,TEX,8,29,32,7,4,1,0,1,3,3,2,0,9,0,0,0,1,0,1,0.225,0.293,0.357,0.65,0.291,26.90%,7.50%
501,Zac Veen,COL,27,102,112,25,17,5,1,3,13,12,8,0,26,1,1,0,3,1,2,0.249,0.309,0.399,0.709,0.303,22.80%,7.30%
