#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%
171,Sean Murphy,ATL,86,304,348,67,38,14,0,15,39,43,34,1,94,8,2,0,0,0,0,0.221,0.313,0.415,0.728,0.266,27.10%,9.70%
172,Ha-Seong Kim,ATL,96,360,413,88,62,16,1,9,48,42,44,1,74,4,3,2,15,4,11,0.244,0.33,0.368,0.697,0.282,17.90%,10.70%
173,Nolan Schanuel,LAA,143,531,616,141,100,25,1,15,76,63,69,3,85,9,4,3,6,1,5,0.265,0.357,0.402,0.759,0.289,13.80%,11.20%
174,Jared Triolo,PIT,128,485,553,119,83,23,3,9,61,51,58,1,125,4,3,2,15,4,11,0.245,0.329,0.363,0.693,0.309,22.70%,10.60%
175,Jurickson Profar,ATL,149,556,644,141,92,28,1,19,82,74,73,1,104,9,4,1,9,2,7,0.253,0.347,0.409,0.756,0.279,16.20%,11.40%
176,Kerry Carpenter,DET,113,449,490,116,67,20,4,24,62,78,32,2,116,6,3,0,2,2,0,0.257,0.314,0.481,0.795,0.293,23.70%,6.50%
177,Nick Gonzales,PIT,97,384,420,101,66,23,4,8,46,45,27,0,86,6,4,1,2,2,0,0.264,0.318,0.405,0.723,0.318,20.40%,6.30%
178,Victor Scott II,STL,134,515,581,117,86,20,3,9,65,50,46,0,125,9,4,6,38,7,31,0.226,0.299,0.324,0.624,0.279,21.40%,8.00%
179,Gavin Lux,TBR,105,402,455,103,73,21,2,7,53,41,48,0,99,2,2,1,3,1,2,0.257,0.337,0.373,0.71,0.321,21.70%,10.50%
180,Ryan McMahon,NYY,113,428,490,90,56,17,1,17,53,55,56,2,156,3,3,1,3,2,1,0.211,0.304,0.37,0.675,0.285,31.90%,11.30%
181,Pedro Pages,STL,91,327,358,74,50,14,1,10,34,39,24,1,92,3,3,2,1,0,1,0.228,0.284,0.366,0.65,0.283,25.70%,6.60%
182,Luis Garcia Jr.,WSN,121,489,525,133,90,26,2,16,63,67,29,1,82,2,5,0,13,5,8,0.272,0.312,0.43,0.742,0.295,15.60%,5.50%
183,Christian Walker,HOU,138,530,595,122,71,23,1,27,70,80,51,2,155,9,5,0,3,1,2,0.231,0.306,0.43,0.736,0.271,26.10%,8.50%
184,Brandon Marsh,PHI,115,440,497,113,73,22,3,14,59,59,49,1,141,3,5,2,10,3,7,0.256,0.331,0.415,0.746,0.341,28.30%,9.80%
185,Eugenio Suarez,CIN,143,546,616,128,69,23,1,35,79,97,53,1,185,11,6,0,3,1,2,0.235,0.312,0.474,0.786,0.28,30.10%,8.60%
186,Ryan O'Hearn,PIT,126,486,546,130,88,25,1,15,64,63,50,3,103,6,4,0,3,1,2,0.267,0.341,0.42,0.76,0.308,18.90%,9.20%
187,Justin Crawford,PHI,99,388,427,107,81,18,3,6,56,43,31,0,88,2,2,4,22,6,16,0.276,0.331,0.383,0.714,0.342,20.70%,7.30%
188,Adolis Garcia,PHI,141,556,609,134,78,27,1,27,75,88,41,1,160,6,5,1,13,4,9,0.241,0.298,0.442,0.74,0.285,26.30%,6.70%
189,Sal Stewart,CIN,117,454,504,120,76,25,0,18,65,69,40,0,96,5,4,0,8,2,6,0.264,0.328,0.44,0.768,0.295,19.00%,8.00%
