#,Name,Team,G,AB,PA,HIP,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_HIP,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%
1,Ronald Acuna Jr.,ATL,157,189.30486008836525,222.0,45.77319587628866,0.2650957290132548,0.7428571428571429,0.2428571428571428,0.014285714285714285,0.058910162002945514,0.19882179675994108,0.1561119293078056,0.12076583211711711,0.005891016200294551,0.16053019145802652,0.016200294550810016,0.005891016200294551,0.004418262150220913,0.0780559646539028,0.017673048600883652,0.060382916053019146,0.311,0.403846154,0.583765112,0.987611266,0.322580645,16.05301915,12.07658321,192,222,44,0.21621621621621623,0.7954545454545454,0.18181818181818182,0.022727272727272728,0.018018018018018018,0.17117117117117117,0.06756756756756757,0.12162162162162163,0.0,0.23873873873873874,0.013513513513513514,0.0,0.0,0.07207207207207207,0.013513513513513514,0.05855855855855856,0.25,0.351,0.365,0.716,0.326,23.9,12.2
2,Juan Soto,NYY,157,563.8895434462445,713.0,119.70839469808544,0.22091310751104568,0.7543859649122806,0.22807017543859642,0.0087719298245614,0.053019145802650956,0.16347569955817381,0.15463917525773194,0.19587628863955117,0.016200294550810016,0.16200294550810013,0.005891016200294551,0.005891016200294551,0.0029455081001472753,0.016200294550810016,0.005891016200294551,0.010309278350515465,0.28,0.423303835,0.530726257,0.954030092,0.288607595,16.20029455,19.58762887,576,713,125,0.23281907433380084,0.72,0.248,0.032,0.05750350631136045,0.17952314165497896,0.15287517531556802,0.18092566619915848,0.002805049088359046,0.16690042075736325,0.005610098176718092,0.005610098176718092,0.0,0.009817671809256662,0.005610098176718092,0.004207573632538569,0.288,0.419,0.569,0.989,0.298,16.7,18.1
3,Mookie Betts,LAD,157,438.48600883652426,516.0,98.03240058910161,0.23711340206185566,0.7131782945736433,0.2713178294573643,0.015503875968992248,0.047128129602356406,0.16936671575846834,0.14138438880706922,0.1251840942562592,0.004418262150220913,0.15758468335787923,0.013254786450662739,0.007363770250368188,0.004418262150220913,0.01914580265095729,0.004418262150220913,0.0147275405,0.279,0.377218935,0.512998267,0.890217202,0.291196388,15.75846834,12.51840943,450,516,111,0.25193798449612403,0.7387387387387387,0.21621621621621623,0.04504504504504504,0.03682170542635659,0.14534883720930233,0.14534883720930233,0.1182170542635659,0.003875968992248062,0.11046511627906977,0.001937984496124031,0.007751937984496124,0.0,0.031007751937984496,0.003875968992248062,0.027131782945736434,0.289,0.372,0.491,0.863,0.294,11.0,11.8
4,Kyle Tucker,HOU,157,297.56111929307804,339.0,67.40058910162003,0.24594992636229748,0.6962962962962963,0.2740740740740741,0.02962962962962963,0.047128129602356406,0.14580265095729014,0.16494845360824742,0.1089837997054492,0.010309278350515464,0.15022091310751104,0.004418262150220913,0.008836524300441826,0.0014727540500736377,0.03829160530191458,0.008836524300441826,0.029455081001472753,0.28,0.359351988,0.516778523,0.876130512,0.288461538,15.02209131,10.89837997,277,339,57,0.2359882005899705,0.7719298245614035,0.22807017543859648,0.0,0.06784660766961652,0.16519174041297935,0.14454277286135694,0.16519174041297935,0.008849557522123894,0.1592920353982301,0.0029498525073746312,0.0058997050147492625,0.0,0.032448377581120944,0.0,0.032448377581120944,0.289,0.408,0.585,0.993,0.282,15.9,16.5
5,Corbin Carroll,ARI,157,598.3740795287187,684.0,139.0162002945508,0.2385861561119293,0.717391304347826,0.2173913043478261,0.06521739130434781,0.03534609720176731,0.1531664212076583,0.12960235640350878,0.09425625920471281,0.0029455081001472753,0.20913107511045656,0.019145802650957288,0.005891016200294551,0.007363770250368188,0.06185567010309278,0.011782032400589101,0.05007363770250368,0.272,0.354074074,0.474747475,0.828821549,0.319444444,20.91310751,9.42562592,589,684,114,0.19883040935672514,0.6842105263157895,0.19298245614035087,0.12280701754385964,0.03216374269005848,0.17690058479532164,0.10818713450292397,0.1067251461988304,0.0,0.19005847953216373,0.014619883040935672,0.013157894736842105,0.0043859649122807015,0.05116959064327485,0.011695906432748537,0.039473684210526314,0.231,0.322,0.428,0.749,0.256,19.0,10.7
6,Alex Bregman,HOU,157,538.7599411,634.0,121.38438880706923,0.22680412371134023,0.7307692308027178,0.25384615384615383,0.015384615384615385,0.035346097201767304,0.13843888070692195,0.1354933726067747,0.1281296023564065,0.0029455081001472758,0.1251840942562592,0.013254786450662739,0.007363770250368189,0.0014727540500736379,0.004418262150220913,0.0014727540500736379,0.0029455081001472758,0.267,0.368731563,0.455805893,0.824537456,0.274841438,12.51840943,12.81296024,581,634,125,0.23817034700315456,0.744,0.24,0.016,0.04100946372239748,0.12460567823343849,0.11829652996845426,0.0694006309148265,0.0015772870662460567,0.13564668769716087,0.007886435331230283,0.006309148264984227,0.0,0.00473186119873817,0.0015772870662460567,0.0031545741324921135,0.26,0.315,0.453,0.768,0.264,13.6,6.9
7,Trea Turner,PHI,157,492.9587628865979,539.0,120.65979381443297,0.2592047128129602,0.7500000000000001,0.2302631578947368,0.026315789473684213,0.035346097201767304,0.1443298969072165,0.1266568483116883,0.06774668630338733,0.0014727540500736377,0.19734904270986744,0.007363770250368187,0.005891016200294551,0.0029455081001472753,0.039764359351988215,0.005891016200294551,0.03387334315169367,0.284,0.335798817,0.47020934,0.806008156,0.325481799,19.73490427,6.77466863,505,539,128,0.2764378478664193,0.8046875,0.1953125,0.0,0.03896103896103896,0.16326530612244897,0.1150278293135436,0.05009276437847866,0.0,0.18181818181818182,0.011131725417439703,0.0018552875695732839,0.0,0.03525046382189239,0.0074211502782931356,0.027829313543599257,0.295,0.338,0.469,0.807,0.331,18.2,5.0
8,Freddie Freeman,LAD,157,552.4948453608247,638.0,141.88217967861559,0.26067746686303384,0.7284768211785934,0.25827814569059215,0.01324503311233806,0.03829160529780564,0.15758468335787923,0.14285714285714285,0.11192930780559647,0.016200294550810016,0.1634756995581738,0.013254786450662739,0.007363770250368188,0.0014727540500736377,0.020618556701030927,0.004418262150220913,0.016200294550810016,0.3,0.386430678,0.506802721,0.8932334,0.331140351,16.34756996,11.19293078,542,638,131,0.23981191222570533,0.7175572519083969,0.26717557251908397,0.015267175572519083,0.034482758620689655,0.12695924764890282,0.13949843260188088,0.12225705329153605,0.014106583072100314,0.15673981191222572,0.01567398119122257,0.012539184952978056,0.0,0.014106583072100314,0.003134796238244514,0.0109717868338558,0.282,0.378,0.476,0.854,0.306,15.7,12.2
9,Austin Riley,ATL,157,417.1958762886598,469.0,91.17525773340206,0.24742268041237114,0.7424242424124898,0.2424242424204048,0.0151515151512753,0.05301914579957356,0.14580265095729014,0.1605301914580265,0.08541973490427099,0.004418262150220912,0.24005891016200295,0.016200294550810013,0.008836524300441824,0.0,0.002945508100147275,0.0014727540500736377,0.0014727540500736377,0.278,0.34904271,0.516556291,0.865599001,0.321167883,24.00589102,8.54197349,425,469,90,0.232409381663113,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.04051172707889126,0.13432835820895522,0.11940298507462686,0.07889125799573561,0.0,0.2515991471215352,0.010660980810234541,0.0042643923240938165,0.0,0.0,0.0,0.0,0.256,0.322,0.461,0.783,0.31,25.2,7.9
10,Marcus Semien,TEX,157,640.8070692194403,718.0,142.7540500736377,0.23711340206185566,0.725925925925926,0.2518518518518519,0.022222222222222223,0.03829160530191458,0.15022091310751104,0.12371134020618556,0.09131075110456553,0.001472754050073638,0.16053019145802652,0.005891016200294552,0.005891016200294552,0.004418262150220914,0.01914580265095729,0.004418262150220914,0.014727540500736377,0.265,0.335798817,0.46039604,0.796194856,0.284210526,16.05301915,9.13107511,650,718,131,0.21448467966573817,0.7786259541984732,0.20610687022900764,0.015267175572519083,0.03203342618384401,0.14066852367688024,0.10306406685236769,0.08913649025069638,0.002785515320334262,0.14623955431754876,0.004178272980501393,0.001392757660167131,0.0,0.011142061281337047,0.004178272980501393,0.006963788300835654,0.237,0.308,0.391,0.699,0.25,14.6,8.9
