#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
210,Hayden Birdsong,SFG,2,4,4.80,20,8,0,1,,55.0,242,50,31,29,8,28,1,3,53,8.60,4.53,1.42,21.7%,11.4%,1
211,Martin Perez,ATL,3,4,5.37,9,9,0,0,,47.2,213,54,30,28,7,19,0,2,32,6.10,3.53,1.52,15.2%,8.8%,3
212,Tanner Houck,BOS,1,1,4.15,6,3,0,0,,21.2,92,21,11,10,2,7,0,2,17,6.99,3.09,1.31,18.1%,8.0%,0
213,Carson Whisenhunt,SFG,1,2,4.55,12,4,0,1,,27.1,119,28,15,14,4,10,0,1,23,7.69,3.21,1.36,19.7%,8.3%,0
214,McCade Brown,COL,2,3,5.66,7,7,0,1,,34.2,155,39,23,22,6,13,0,3,30,7.88,3.29,1.49,19.5%,8.1%,2
215,Tomoyuki Sugano,COL,5,9,5.77,21,21,0,0,,117.1,522,140,80,75,21,33,1,6,69,5.26,2.56,1.48,13.2%,6.4%,9
216,Tanner Gordon,COL,2,5,5.95,23,9,0,1,,62.2,279,76,44,41,12,18,1,2,47,6.82,2.53,1.50,17.0%,6.3%,1
217,Gage Jump,ATH,1,1,4.60,3,3,0,0,,16.1,70,16,9,8,3,5,0,1,15,8.25,2.89,1.31,21.4%,7.5%,1
218,Walker Buehler,SDP,2,3,4.82,19,6,0,1,,46.0,200,44,26,25,7,19,1,3,35,6.93,3.69,1.38,17.7%,9.4%,0
219,Mitch Bratt,ARI,1,1,4.43,3,2,0,0,,13.0,55,13,7,6,2,3,0,0,12,8.03,2.22,1.25,21.1%,5.8%,1
220,Tink Hence,STL,1,1,4.11,2,2,0,0,,9.2,40,9,5,4,1,3,0,0,9,8.34,2.79,1.25,22.0%,7.4%,0
221,Wade Miley,,2,3,5.14,7,6,0,0,,32.2,144,35,20,19,5,12,0,1,23,6.43,3.38,1.44,16.3%,8.5%,2
222,Tony Gonsolin,,1,1,4.42,4,3,0,0,,17.1,73,15,9,8,3,7,0,1,16,8.13,3.60,1.30,21.2%,9.4%,1
223,Gunnar Hoglund,ATH,2,2,4.85,16,5,0,1,,38.0,163,38,22,20,7,12,1,2,32,7.55,2.86,1.31,19.6%,7.4%,0
224,Mitch Farris,LAA,2,3,5.32,6,6,0,0,,31.1,138,32,20,19,6,12,0,1,27,7.67,3.54,1.43,19.4%,8.9%,2
225,Adam Macko,TOR,1,1,4.24,7,2,0,0,,14.1,62,13,7,7,2,6,0,1,14,8.86,3.63,1.31,22.9%,9.4%,0
226,Didier Fuentes,ATL,1,1,4.54,6,2,0,0,,12.0,51,12,6,6,2,4,0,0,12,9.07,2.77,1.28,23.6%,7.2%,0
227,Thomas Harrington,PIT,1,1,4.91,7,2,0,1,,16.0,69,17,9,9,2,5,0,1,13,7.20,2.79,1.35,18.4%,7.2%,0
228,Cal Quantrill,TEX,1,2,5.08,5,4,0,0,,20.1,88,20,12,11,3,8,0,1,14,6.43,3.38,1.37,16.4%,8.6%,1
229,Nestor Cortes,,1,1,4.67,3,3,0,0,,13.1,57,12,7,7,2,5,0,0,11,7.62,3.15,1.29,19.8%,8.2%,1
230,Dane Dunning,SEA,1,1,4.57,7,2,0,1,,16.1,71,16,9,8,2,6,0,1,14,7.56,3.38,1.34,19.4%,8.7%,0
231,Brandon Walter,HOU,0,0,4.06,1,1,0,0,,7.1,30,7,3,3,1,2,0,0,7,8.21,2.16,1.19,21.9%,5.8%,0
232,German Marquez,SDP,5,8,5.79,19,19,0,1,,97.1,432,111,67,63,18,34,0,3,60,5.58,3.11,1.49,14.0%,7.8%,7
233,Jose Quintana,COL,5,10,6.18,22,22,0,0,,127.2,583,158,93,88,20,52,0,4,75,5.31,3.70,1.65,12.9%,9.0%,11
234,Jean Cabrera,PHI,1,1,4.75,2,2,0,0,,11.0,47,11,6,6,2,4,0,0,8,6.63,3.13,1.38,17.0%,8.0%,1
235,Matt Waldron,SDP,1,1,5.21,4,3,0,0,,18.2,81,19,12,11,4,6,0,1,16,7.54,3.04,1.36,19.2%,7.8%,1
236,Bryse Wilson,PHI,1,1,5.03,9,3,0,1,,22.0,95,23,13,12,3,7,0,1,15,5.99,2.81,1.38,15.3%,7.2%,0
237,Pete Hansen,STL,0,1,4.73,2,2,0,0,,8.0,34,8,4,4,1,2,0,0,6,6.53,2.66,1.35,16.8%,6.9%,1
238,Jackson Jobe,DET,0,1,4.36,3,1,0,0,,8.2,37,8,4,4,1,4,0,0,7,7.80,3.67,1.30,20.3%,9.5%,0
239,Yoniel Curet,PHI,0,1,4.51,2,1,0,0,,7.1,32,7,4,4,1,3,0,0,7,8.38,3.99,1.37,21.4%,10.2%,0
240,Michael Lorenzen,COL,6,11,6.11,25,25,0,0,,142.2,645,168,103,97,27,56,0,7,105,6.61,3.52,1.57,16.2%,8.7%,12
