#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,WHIP,K%,BB%,QS
211,Quinn Mathews,STL,3,3,4.27,8,8,0,0,,46.1,203,45,24,22,5,23,0,2,39,7.68,4.42,1.46,19.4%,11.2%,4
212,Drew Thorpe,CHW,2,3,4.78,8,8,0,0,,45.2,199,48,26,24,7,17,0,1,35,6.92,3.31,1.41,17.6%,8.4%,3
213,Jason Alexander,HOU,3,3,4.31,29,5,0,1,,51.1,220,54,27,24,7,16,1,2,40,6.96,2.78,1.36,18.0%,7.2%,2
214,Thomas White,MIA,2,2,4.18,5,5,0,0,,27.2,121,26,14,13,3,13,0,1,26,8.60,4.36,1.41,21.9%,11.1%,2
215,Tanner Gordon,COL,3,4,5.18,30,6,0,1,,59.1,256,69,36,34,11,13,1,2,43,6.59,2.02,1.38,16.9%,5.2%,2
216,River Ryan,LAD,3,3,4.67,14,6,0,1,,44.2,195,46,25,23,7,17,0,2,37,7.36,3.45,1.41,18.8%,8.8%,3
217,Spencer Turnbull,,2,3,4.79,6,6,0,0,,35.2,158,38,20,19,5,15,0,2,27,6.76,3.66,1.46,17.0%,9.2%,2
218,Josiah Gray,WSN,6,9,5.11,21,21,0,0,,118.0,521,121,71,67,22,49,1,6,99,7.57,3.70,1.43,19.1%,9.3%,7
219,JP Sears,SDP,3,3,4.34,27,5,0,1,,48.2,205,47,25,23,8,13,1,3,44,8.16,2.33,1.23,21.5%,6.1%,2
220,Caden Dana,LAA,4,7,5.07,16,16,0,0,,90.1,400,93,54,51,15,40,0,4,76,7.59,3.96,1.47,19.0%,9.9%,6
221,Ty Johnson,TBR,1,1,4.22,3,3,0,0,,18.1,79,17,9,9,3,7,0,1,18,8.77,3.35,1.31,22.8%,8.7%,1
222,George Klassen,LAA,2,2,4.32,15,3,0,1,,30.1,132,29,16,15,4,13,0,1,28,8.33,3.79,1.39,21.4%,9.7%,1
223,Gage Jump,ATH,1,1,4.42,3,3,0,0,,18.1,80,19,10,9,3,7,0,1,16,7.58,3.29,1.38,19.5%,8.5%,1
224,Tanner McDougal,CHW,2,3,4.60,19,5,0,1,,41.2,184,41,23,21,6,20,0,2,36,7.72,4.29,1.47,19.4%,10.8%,2
225,Ryan Bergert,KCR,3,4,4.79,28,8,0,1,,64.1,281,66,36,34,10,25,1,3,53,7.45,3.56,1.42,18.9%,9.0%,3
226,Wade Miley,,1,2,4.58,5,5,0,0,,27.0,119,30,15,14,4,9,0,1,18,6.08,3.09,1.44,15.3%,7.8%,2
227,Carson Whisenhunt,SFG,2,2,4.14,15,3,0,1,,30.0,130,30,15,14,4,10,0,1,25,7.41,3.10,1.35,19.1%,8.0%,1
228,Noah Schultz,CHW,1,1,4.42,3,3,0,0,,18.1,81,19,10,9,2,8,0,1,15,7.28,3.96,1.45,18.4%,10.0%,1
229,Ronel Blanco,HOU,1,1,4.11,10,2,0,1,,17.0,73,16,8,8,2,7,0,1,18,9.42,3.43,1.29,24.7%,9.0%,1
